sample-id	Substrate	line	experimental-day	diet	type	replicate	expid	gutmass	biomass	endpoint	temperature	humidity	group	fat	protein	ash	carb	MR	BCR	growth	SR
#q2:types	categorical	categorical	categorical	categorical	categorical	numeric	categorical	numeric	numeric	numeric	numeric	numeric	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
LDD0R1	D0	LD	D0	D0	Fresh	1	LD_D0	1	11.38909091	0	28.93563028	84.95341151	LD_D0	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001
LDD0R2	D0	LD	D0	D0	Fresh	2	LD_D0	1	10.30772727	0	28.93563028	84.95341151	LD_D0	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001
LDD0R3	D0	LD	D0	D0	Fresh	3	LD_D0	1	15.12681818	0	28.93563028	84.95341151	LD_D0	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001
LDD5CF70R1	Plant	LD	D5	CF	Homo	1	LD_D5_Control	126.3	291.915	11	28.78396625	86.14838423	LD_CF70	0.01214	0.03912	0.0177	0.11106	0.759714286	0.258367925	19.3	1.006134969
LDD5CF70R2	Plant	LD	D5	CF	Homo	2	LD_D5_Control	98.6	493.095	11	28.78396625	86.14838423	LD_CF70	0.01214	0.03912	0.0177	0.11106	0.785428572	0.281878683	18.8	1.018404908
LDD5CF70R3	Plant	LD	D5	CF	Homo	3	LD_D5_Control	126.2	438.87	11	28.78396625	86.14838423	LD_CF70	0.01214	0.03912	0.0177	0.11106	0.753714285	0.371613169	19.1	1.006134969
LDD5OKAR1	Plant	LD	D5	OKA	Homo	1	LD_D5_OKA	92	278.64	11	28.93563028	84.95341151	LD_OKA	0.01882	0.05412	0.00818	0.11028	0.657142858	0.280593478	15.7	1.27607362
LDD5OKAR2	Plant	LD	D5	OKA	Homo	2	LD_D5_OKA	87.2	353.28	11	28.93563028	84.95341151	LD_OKA	0.01882	0.05412	0.00818	0.11028	0.730000001	0.221690802	14.6	1.17791411
LDD5OKAR3	Plant	LD	D5	OKA	Homo	3	LD_D5_OKA	123.3	253.68	11	28.93563028	84.95341151	LD_OKA	0.01882	0.05412	0.00818	0.11028	0.641428571	0.294436526	16.2	1.251533742
LDD5PKMR1	Plant	LD	D5	PKM	Homo	1	LD_D5_PKM	36.7	65.715	15	28.93563028	84.95341151	LD_PKM	0.02079	0.04929	0.01278	0.18732	0.569657143	0.142107199	8.7	0.962406015
LDD5PKMR2	Plant	LD	D5	PKM	Homo	2	LD_D5_PKM	23.7	64.59	15	28.93563028	84.95341151	LD_PKM	0.02079	0.04929	0.01278	0.18732	0.564304761	0.14007966	8.7	0.952380952
LDD5PKMR3	Plant	LD	D5	PKM	Homo	3	LD_D5_PKM	31.1	60.33	15	28.93563028	84.95341151	LD_PKM	0.02079	0.04929	0.01278	0.18732	0.589025715	0.15845375	8.1	1.182957393
LDD5RIBR1	Plant	LD	D5	RIB	Homo	1	LD_D5_RIB	73.3	110.565	14	28.93563028	84.95341151	LD_RIB	0.0225	0.0453	0.0264	0.1668	0.59047619	0.151983871	8.6	1.162907268
LDD5RIBR2	Plant	LD	D5	RIB	Homo	2	LD_D5_RIB	35.4	89.49	14	28.93563028	84.95341151	LD_RIB	0.0225	0.0453	0.0264	0.1668	0.623809524	0.189442748	9.6	0.94235589
LDD5RIBR3	Plant	LD	D5	RIB	Homo	3	LD_D5_RIB	26.5	80.385	14	28.93563028	84.95341151	LD_RIB	0.0225	0.0453	0.0264	0.1668	0.585714284	0.14474271	9.6	0.832080201
LDD5SBMR1	Plant	LD	D5	SBM	Homo	1	LD_D5_SBM	94.1	336.285	14	28.93563028	84.95341151	LD_SBM	0.0057	0.041301639	0.0057	0.034386885	0.8	0.147675	12	0.601503759
LDD5SBMR2	Plant	LD	D5	SBM	Homo	2	LD_D5_SBM	87.7	302.76	14	28.93563028	84.95341151	LD_SBM	0.0057	0.041301639	0.0057	0.034386885	0.825714286	0.16138985	11.6	0.781954887
LDD5SBMR3	Plant	LD	D5	SBM	Homo	3	LD_D5_SBM	91.1	384.6	14	28.93563028	84.95341151	LD_SBM	0.0057	0.041301639	0.0057	0.034386885	0.810476191	0.162961222	13.1	0.64160401
LDD5MR1	Meat	LD	D5	M	Homo	1	LD_D5_M	36.7	120.225	22	28.78396625	86.14838423	LD_M	0.00892	0.05436	0.0249	0.09432	0.471772858	0.107239864	4.7	0.613496933
LDD5MR2	Meat	LD	D5	M	Homo	2	LD_D5_M	25.4	135.705	22	28.78396625	86.14838423	LD_M	0.00892	0.05436	0.0249	0.09432	0.528429999	0.097818065	4.4	0.662576687
LDD5MR3	Meat	LD	D5	M	Homo	3	LD_D5_M	19.1	116.685	22	28.78396625	86.14838423	LD_M	0.00892	0.05436	0.0249	0.09432	0.495501426	0.074686249	3.2	0.711656442
LDD5PR1	Plant	LD	D5	P	Hete	1	LD_D5_P	189.9	451.02	10	28.78396625	86.14838423	LD_P	0.03884	0.04078	0.00626	0.096	0.771301429	0.196115656	14.7	1.27607362
