# Constructed from biom file
#OTU ID	LDD0R1	LDD0R2	LDD0R3	LDD10CF70R1	LDD10CF70R2	LDD10CF70R3	LDD10MHPR1	LDD10MHPR2	LDD10MHPR3	LDD10MLPR1	LDD10MLPR2	LDD10MLPR3	LDD10MR1	LDD10MR2	LDD10MR3	LDD10NUSR1	LDD10NUSR2	LDD10NUSR3	LDD10OKAR1	LDD10OKAR2	LDD10OKAR3	LDD10PKMR1	LDD10PKMR2	LDD10PKMR3	LDD10PR1	LDD10PR2	LDD10PR3	LDD10RIBR1	LDD10RIBR2	LDD10RIBR3	LDD10SBMR1	LDD10SBMR2	LDD10SBMR3	LDD5CF70R1	LDD5CF70R2	LDD5CF70R3	LDD5MHPR1	LDD5MHPR2	LDD5MHPR3	LDD5MLPR1	LDD5MLPR2	LDD5MLPR3	LDD5MR1	LDD5MR2	LDD5MR3	LDD5NUSR1	LDD5NUSR2	LDD5NUSR3	LDD5OKAR1	LDD5OKAR2	LDD5OKAR3	LDD5PKMR1	LDD5PKMR2	LDD5PKMR3	LDD5PR1	LDD5PR2	LDD5PR3	LDD5RIBR1	LDD5RIBR2	LDD5RIBR3	LDD5SBMR1	LDD5SBMR2	LDD5SBMR3	WTD0R1	WTD0R2	WTD0R3	WTD10CF70R1	WTD10CF70R2	WTD10CF70R3	WTD10MHPR1	WTD10MHPR2	WTD10MHPR3	WTD10MLPR1	WTD10MLPR2	WTD10MLPR3	WTD10MR1	WTD10MR2	WTD10MR3	WTD10NUSR1	WTD10NUSR2	WTD10NUSR3	WTD10OKAR1	WTD10OKAR2	WTD10OKAR3	WTD10PKMR1	WTD10PKMR2	WTD10PKMR3	WTD10PR1	WTD10PR2	WTD10PR3	WTD10RIBR1	WTD10RIBR2	WTD10RIBR3	WTD10SBMR1	WTD10SBMR2	WTD10SBMR3	WTD5CF70R2	WTD5CF70R3	WTD5MHPR1	WTD5MHPR2	WTD5MHPR3	WTD5MLPR1	WTD5MLPR2	WTD5MLPR3	WTD5MR1	WTD5MR2	WTD5MR3	WTD5NUSR1	WTD5NUSR2	WTD5NUSR3	WTD5OKAR1	WTD5OKAR2	WTD5OKAR3	WTD5PKMR1	WTD5PKMR2	WTD5PKMR3	WTD5PR1	WTD5PR2	WTD5PR3	WTD5RIBR1	WTD5RIBR2	WTD5RIBR3	WTD5SBMR1	WTD5SBMR2	WTD5SBMR3
1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation	0.0	0.0	2.0	16.0	30.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	83.0	76.0	0.0	9.0	12.0	27.0	0.0	0.0	0.0	25.0	0.0	3.0	6.0	0.0	0.0	2.0	2.0	8.0	4.0	1.0	2.0	26.0	7.0	23.0	5.0	1.0	2.0	1.0	3.0	5.0	3.0	483.0	4.0	5.0	3.0	5.0	136.0	17.0	8.0	0.0	3.0	3.0	463.0	762.0	1148.0	0.0	0.0	0.0	88.0	2.0	140.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	252.0	4.0	53.0	189.0	12.0	30.0	0.0	0.0	0.0	12.0	0.0	0.0	6.0	2.0	23.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	88.0	7.0	20.0
ABC transporters	292844.0	222713.0	235388.0	136983.0	76422.0	139173.0	180666.0	269123.0	296439.0	625897.0	238553.0	203378.0	145255.0	353316.0	238082.0	191159.0	381386.0	309273.0	431494.0	265695.0	401048.0	219843.0	237694.0	694524.0	313657.0	240997.0	447366.0	200644.0	501257.0	160837.0	206634.0	167431.0	203884.0	190249.0	101977.0	245326.0	286197.0	524359.0	233560.0	279408.0	204406.0	376989.0	302153.0	213470.0	381332.0	127924.0	830314.0	1790923.0	522605.0	649520.0	326139.0	763513.0	408847.0	1157682.0	466629.0	528059.0	265275.0	228367.0	224616.0	297061.0	396944.0	701948.0	607614.0	339964.0	336230.0	378675.0	181383.0	110067.0	353743.0	20209.0	120574.0	225359.0	552329.0	174607.0	443288.0	437318.0	56487.0	139395.0	465323.0	402978.0	685814.0	1109873.0	138924.0	333301.0	911298.0	259717.0	284225.0	366765.0	209807.0	462204.0	139277.0	205879.0	32619.0	178775.0	207185.0	91791.0	366171.0	216516.0	625016.0	538289.0	473605.0	409090.0	161123.0	142043.0	251417.0	319597.0	138261.0	52852.0	84675.0	328625.0	709412.0	516845.0	313364.0	1226300.0	1479982.0	1590659.0	100404.0	352551.0	167123.0	189881.0	757340.0	418516.0	738778.0	405927.0	475628.0
Adherens junction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adipocytokine signaling pathway	1804.0	1192.0	1753.0	2182.0	1699.0	5471.0	2180.0	1383.0	2658.0	3154.0	2237.0	2592.0	1812.0	3727.0	2888.0	2296.0	2963.0	3274.0	7257.0	4690.0	4332.0	3726.0	3320.0	9703.0	2695.0	1388.0	4494.0	4353.0	4487.0	3313.0	4987.0	2862.0	4142.0	702.0	975.0	1532.0	3642.0	2322.0	3205.0	3839.0	1257.0	2670.0	3487.0	2477.0	4176.0	795.0	3740.0	6720.0	6301.0	12180.0	4391.0	3268.0	2723.0	4317.0	7183.0	4366.0	1834.0	1181.0	755.0	1164.0	3196.0	8112.0	9904.0	2020.0	4489.0	3152.0	3051.0	1003.0	3614.0	282.0	1610.0	2803.0	3568.0	2709.0	2739.0	2583.0	608.0	1982.0	3193.0	3574.0	4125.0	15292.0	1576.0	4700.0	11898.0	1966.0	2731.0	2450.0	654.0	1618.0	2351.0	2685.0	726.0	4217.0	3667.0	931.0	1156.0	328.0	3344.0	2113.0	1340.0	1870.0	493.0	716.0	2839.0	2226.0	1298.0	637.0	762.0	1433.0	7445.0	3594.0	5876.0	3739.0	5769.0	9687.0	317.0	1331.0	584.0	984.0	3185.0	2963.0	5856.0	2156.0	2140.0
African trypanosomiasis	704.0	479.0	761.0	666.0	440.0	510.0	988.0	859.0	1369.0	378.0	276.0	586.0	1005.0	2395.0	1528.0	1231.0	1773.0	1841.0	1554.0	875.0	1045.0	1412.0	1442.0	3884.0	866.0	135.0	1360.0	1824.0	2516.0	1735.0	837.0	1002.0	968.0	387.0	582.0	877.0	1937.0	1017.0	1577.0	473.0	85.0	397.0	1749.0	1203.0	2132.0	529.0	3153.0	6099.0	4010.0	2530.0	1474.0	2493.0	1487.0	3819.0	1706.0	1188.0	550.0	823.0	655.0	759.0	940.0	1423.0	2397.0	243.0	748.0	363.0	852.0	560.0	1402.0	139.0	823.0	1340.0	532.0	210.0	558.0	1318.0	353.0	1016.0	1846.0	1744.0	2597.0	7624.0	710.0	2281.0	3732.0	899.0	1544.0	402.0	99.0	381.0	878.0	1397.0	331.0	992.0	1291.0	459.0	593.0	276.0	1692.0	1030.0	688.0	220.0	69.0	89.0	1412.0	1254.0	664.0	321.0	378.0	1147.0	3499.0	1928.0	1367.0	3603.0	4991.0	7398.0	124.0	479.0	160.0	591.0	2468.0	1653.0	3854.0	1615.0	1802.0
Alanine, aspartate and glutamate metabolism	74209.0	55904.0	58072.0	35044.0	21400.0	56187.0	43487.0	59223.0	77317.0	99314.0	47606.0	46223.0	32164.0	77202.0	54069.0	38909.0	67568.0	58442.0	82802.0	62636.0	66213.0	49885.0	55975.0	141691.0	51875.0	32794.0	86603.0	59984.0	90213.0	52388.0	47422.0	37731.0	45030.0	47006.0	19154.0	60507.0	66943.0	159365.0	53526.0	53623.0	30885.0	61654.0	70258.0	50877.0	85751.0	21184.0	116866.0	241613.0	114619.0	130516.0	87089.0	126480.0	95815.0	164295.0	90861.0	91249.0	42549.0	46623.0	52754.0	65831.0	56795.0	105223.0	115910.0	97538.0	80728.0	96401.0	48899.0	19951.0	70888.0	4639.0	28207.0	50674.0	103987.0	40108.0	78168.0	83878.0	11089.0	31473.0	82417.0	84033.0	112065.0	225180.0	25253.0	76728.0	159038.0	47005.0	54708.0	64324.0	29896.0	75167.0	42273.0	49778.0	10378.0	39920.0	45550.0	19907.0	98377.0	54960.0	181817.0	163851.0	144181.0	63279.0	23707.0	21100.0	59400.0	61333.0	31627.0	12336.0	18837.0	46839.0	128628.0	91976.0	65145.0	188263.0	197060.0	268389.0	14174.0	53147.0	24287.0	41606.0	132245.0	93583.0	127712.0	64066.0	69901.0
Aldosterone-regulated sodium reabsorption	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alzheimer's disease	3920.0	2948.0	2923.0	3386.0	1516.0	3163.0	2065.0	3965.0	4155.0	4930.0	2573.0	2501.0	1330.0	3340.0	2254.0	1659.0	3840.0	2709.0	11469.0	5642.0	6816.0	5947.0	6396.0	18008.0	3141.0	2364.0	4474.0	5230.0	7662.0	6173.0	2566.0	1725.0	2414.0	2343.0	975.0	2982.0	2702.0	9602.0	2148.0	4148.0	1858.0	3509.0	3049.0	2373.0	3846.0	1304.0	8411.0	18386.0	11494.0	11276.0	8320.0	11289.0	10385.0	15342.0	11329.0	8281.0	2947.0	2964.0	3349.0	3518.0	5134.0	11072.0	11009.0	5307.0	4745.0	5540.0	3741.0	1137.0	6742.0	180.0	1097.0	2319.0	4621.0	1850.0	3603.0	6865.0	483.0	1146.0	5502.0	5238.0	7918.0	32841.0	1819.0	9077.0	19125.0	4495.0	6515.0	3380.0	1545.0	3349.0	2852.0	4249.0	911.0	2520.0	2555.0	1160.0	4394.0	2579.0	10408.0	9863.0	8770.0	3272.0	1147.0	1218.0	2427.0	3464.0	1364.0	526.0	967.0	3570.0	11129.0	6973.0	4752.0	18497.0	15640.0	20919.0	772.0	3493.0	1366.0	2119.0	11067.0	4799.0	8328.0	4071.0	4943.0
Amino acid metabolism	21552.0	16311.0	16317.0	8562.0	4937.0	14268.0	10672.0	25183.0	18562.0	39258.0	12892.0	13648.0	8085.0	18733.0	11889.0	11056.0	25211.0	18925.0	17685.0	15583.0	24683.0	11467.0	11359.0	40193.0	13042.0	9501.0	21268.0	11226.0	37618.0	11083.0	6882.0	7181.0	8265.0	12355.0	6045.0	14348.0	14257.0	30798.0	13219.0	20321.0	13275.0	26668.0	18738.0	13673.0	24110.0	8917.0	60493.0	134084.0	20946.0	24749.0	17766.0	56489.0	29554.0	87909.0	21976.0	24808.0	14545.0	15705.0	16148.0	19545.0	19440.0	33452.0	30112.0	25199.0	25456.0	28888.0	13806.0	6506.0	33345.0	1106.0	6902.0	14677.0	35223.0	18298.0	27460.0	46103.0	3330.0	7238.0	37773.0	34802.0	56114.0	44369.0	7809.0	20060.0	49703.0	17235.0	17321.0	20717.0	9966.0	27312.0	9543.0	14124.0	2778.0	7184.0	9966.0	5475.0	23126.0	14107.0	36204.0	30715.0	28808.0	23912.0	8656.0	7614.0	14934.0	21697.0	8500.0	2982.0	6156.0	24784.0	45512.0	34619.0	20703.0	92257.0	111642.0	117847.0	5122.0	19732.0	8568.0	12163.0	58942.0	24849.0	48485.0	26693.0	33445.0
Amino acid related enzymes	111362.0	83872.0	85916.0	53220.0	31142.0	79755.0	60167.0	89031.0	107598.0	145128.0	67155.0	61719.0	45599.0	109379.0	75376.0	53965.0	97587.0	81705.0	121198.0	87868.0	99699.0	67439.0	77412.0	196863.0	79322.0	55595.0	116067.0	83218.0	137324.0	72654.0	60843.0	50363.0	58472.0	67821.0	26900.0	87904.0	90441.0	197647.0	73449.0	81504.0	47809.0	92725.0	101228.0	73823.0	123416.0	30728.0	172263.0	359442.0	144448.0	176952.0	109488.0	184990.0	138005.0	243280.0	139837.0	140445.0	64554.0	68674.0	79594.0	97142.0	84556.0	155789.0	165724.0	138216.0	112675.0	137350.0	68761.0	28026.0	107655.0	6510.0	38878.0	71210.0	142179.0	55291.0	107208.0	139491.0	15511.0	43764.0	125218.0	128998.0	171909.0	314916.0	36364.0	109935.0	216338.0	65935.0	76099.0	91900.0	46903.0	106309.0	58870.0	74325.0	16927.0	51489.0	60907.0	27933.0	140462.0	79203.0	228496.0	202436.0	177117.0	94157.0	35539.0	32614.0	83230.0	88306.0	44544.0	17075.0	27566.0	69974.0	197444.0	134805.0	96846.0	280309.0	293467.0	404871.0	21990.0	80759.0	37437.0	59615.0	201832.0	132715.0	197956.0	93047.0	103431.0
