""	"LDD0R1"	"LDD0R2"	"LDD0R3"	"LDD10CF70R1"	"LDD10CF70R2"	"LDD10CF70R3"	"LDD10MHPR1"	"LDD10MHPR2"	"LDD10MHPR3"	"LDD10MLPR1"	"LDD10MLPR2"	"LDD10MLPR3"	"LDD10MR1"	"LDD10MR2"	"LDD10MR3"	"LDD10NUSR1"	"LDD10NUSR2"	"LDD10NUSR3"	"LDD10OKAR1"	"LDD10OKAR2"	"LDD10OKAR3"	"LDD10PKMR1"	"LDD10PKMR2"	"LDD10PKMR3"	"LDD10PR1"	"LDD10PR2"	"LDD10PR3"	"LDD10RIBR1"	"LDD10RIBR2"	"LDD10RIBR3"	"LDD10SBMR1"	"LDD10SBMR2"	"LDD10SBMR3"	"LDD5CF70R1"	"LDD5CF70R2"	"LDD5CF70R3"	"LDD5MHPR1"	"LDD5MHPR2"	"LDD5MHPR3"	"LDD5MLPR1"	"LDD5MLPR2"	"LDD5MLPR3"	"LDD5MR1"	"LDD5MR2"	"LDD5MR3"	"LDD5NUSR1"	"LDD5NUSR2"	"LDD5NUSR3"	"LDD5OKAR1"	"LDD5OKAR2"	"LDD5OKAR3"	"LDD5PKMR1"	"LDD5PKMR2"	"LDD5PKMR3"	"LDD5PR1"	"LDD5PR2"	"LDD5PR3"	"LDD5RIBR1"	"LDD5RIBR2"	"LDD5RIBR3"	"LDD5SBMR1"	"LDD5SBMR2"	"LDD5SBMR3"	"WTD0R1"	"WTD0R2"	"WTD0R3"	"WTD10CF70R1"	"WTD10CF70R2"	"WTD10CF70R3"	"WTD10MHPR1"	"WTD10MHPR2"	"WTD10MHPR3"	"WTD10MLPR1"	"WTD10MLPR2"	"WTD10MLPR3"	"WTD10MR1"	"WTD10MR2"	"WTD10MR3"	"WTD10NUSR1"	"WTD10NUSR2"	"WTD10NUSR3"	"WTD10OKAR1"	"WTD10OKAR2"	"WTD10OKAR3"	"WTD10PKMR1"	"WTD10PKMR2"	"WTD10PKMR3"	"WTD10PR1"	"WTD10PR2"	"WTD10PR3"	"WTD10RIBR1"	"WTD10RIBR2"	"WTD10RIBR3"	"WTD10SBMR1"	"WTD10SBMR2"	"WTD10SBMR3"	"WTD5CF70R2"	"WTD5CF70R3"	"WTD5MHPR1"	"WTD5MHPR2"	"WTD5MHPR3"	"WTD5MLPR1"	"WTD5MLPR2"	"WTD5MLPR3"	"WTD5MR1"	"WTD5MR2"	"WTD5MR3"	"WTD5NUSR1"	"WTD5NUSR2"	"WTD5NUSR3"	"WTD5OKAR1"	"WTD5OKAR2"	"WTD5OKAR3"	"WTD5PKMR1"	"WTD5PKMR2"	"WTD5PKMR3"	"WTD5PR1"	"WTD5PR2"	"WTD5PR3"	"WTD5RIBR1"	"WTD5RIBR2"	"WTD5RIBR3"	"WTD5SBMR1"	"WTD5SBMR2"	"WTD5SBMR3"
"LDD0R1"	0	0.123427644493256	0.121255521408998	0.8062342163376	0.746307016862958	0.808482975048385	0.829171618363043	0.920096164919098	0.861885362668406	0.93556804535506	0.932083593695758	0.93402439831524	0.766737880467489	0.775678215486047	0.780195580413894	0.854760686733415	0.711009308175753	0.890239393718379	0.8320658384711	0.881131994559956	0.819540354518535	0.860832998158658	0.866856478964333	0.902225885980367	0.922711669532964	0.951682369503018	0.918057436097164	0.873941259099799	0.840484387337156	0.833249812008406	0.821048201909095	0.810626981831135	0.818116344740975	0.58526265378647	0.751463413816218	0.574286266518872	0.786960196352606	0.908624096311263	0.799085221995745	0.782139233320352	0.868688358054061	0.85659579195111	0.706574673649877	0.704586995505399	0.696292768376652	0.691366094136169	0.774136118450186	0.62561042931146	0.71565482304026	0.727176042853187	0.723703298322016	0.580341272852498	0.68106273576451	0.716070107202625	0.831691759440165	0.877546475912211	0.801986675591806	0.519480604390625	0.465020194714937	0.440020376644719	0.578490215347786	0.687336296349716	0.786912549542813	0.645898242977121	0.66081804802326	0.59705774264599	0.782724295075889	0.741875046353486	0.844131833093973	0.800573601503818	0.894159687659517	0.839502713387484	0.938800561521584	0.873843269872087	0.928450199208118	0.856574543716365	0.857337341074936	0.808654298162237	0.860357304658252	0.850618140725054	0.84432043675262	0.875663611822146	0.89337105239796	0.886611850453586	0.870535676368632	0.882285207487646	0.856372554844639	0.927485687662129	0.914955136769859	0.960444015932774	0.820746167465111	0.835338852593484	0.828608212027646	0.852613557516131	0.805734918065547	0.864066238913195	0.686262191608765	0.678525545587627	0.86550309122726	0.785982126803386	0.831679367394443	0.911713886088747	0.852557610299695	0.90171481393954	0.766750181265236	0.698639782094415	0.710460156488908	0.750732029610444	0.738907400601455	0.654456704618708	0.803246084460721	0.809251970653761	0.842676041808253	0.620501108034187	0.689135731063053	0.706572100697814	0.858484850133096	0.884499198338062	0.864405349206808	0.576082978152354	0.652482140219917	0.588085338630246	0.770224533316733	0.693855980374375	0.723500388651478
"LDD0R2"	0.123427644493256	0	0.152783676362624	0.844951002562943	0.816744531406783	0.840703673907214	0.891717596272341	0.931317102044403	0.895258605538081	0.941619595722761	0.941717836561828	0.942653989507118	0.837849866367122	0.840697531590158	0.833068513879315	0.882921759159289	0.749492943179125	0.920470028314959	0.871719980392058	0.918652661064426	0.872218069643847	0.901025386541687	0.905496797398	0.911512915301062	0.930472234766465	0.958123199380631	0.939530546558084	0.899570378339609	0.865062998608337	0.862139682180626	0.862763002496599	0.858854645566209	0.866556528423354	0.560105589672104	0.788802608244469	0.549785976165884	0.835388292458715	0.911456344255209	0.832139473304897	0.810378708905887	0.8988995215311	0.883189580426782	0.743398507644597	0.740382678535255	0.739574340012942	0.742593645657637	0.804457115734232	0.638368409203476	0.762032871448686	0.722000373471103	0.774214867497594	0.602996467450075	0.689636735215226	0.729719160578895	0.86465269047386	0.904949131923324	0.839153602159888	0.579968540365487	0.453911028720572	0.427825101898178	0.643120219167594	0.750785489221946	0.814482397298081	0.584693980384512	0.631660342401083	0.53675978496083	0.818677493049586	0.792345834583458	0.88673832272196	0.856893433861976	0.93036828066652	0.882912291569872	0.94863258250712	0.909264075826481	0.938361366500974	0.905714576165489	0.890050830889541	0.874787516239161	0.874790494876826	0.887805172632738	0.890809572904302	0.911015920214439	0.930131954114449	0.92603915410876	0.910069339019911	0.910133363217453	0.896209152885149	0.93655553200711	0.92746780679773	0.966809504320955	0.853793939393939	0.871320440031064	0.860251140850126	0.892492388348081	0.864122436276493	0.899907726203982	0.648886462247504	0.626989970123773	0.88363659718573	0.841613187027779	0.858003815386297	0.934952085912511	0.879274984039315	0.929327823691461	0.794018882720672	0.679815282379096	0.702306404406784	0.774315777945702	0.76992225127136	0.659290760655013	0.822967828786505	0.84023492432031	0.86690388401212	0.653198018435723	0.725231200043081	0.745513079434766	0.909148815342364	0.91382269786152	0.89898052429409	0.583054448039523	0.673928157252301	0.593577078288943	0.7960347739692	0.70622897302199	0.717645110902843
"LDD0R3"	0.121255521408998	0.152783676362624	0	0.810755329451323	0.743071338121878	0.826301697750231	0.850509829380364	0.930494135537225	0.878116483310692	0.939887542876992	0.940009214408188	0.941539070270292	0.779233792002612	0.795350187312467	0.783626719841957	0.866368778901595	0.709424436100127	0.903996571946766	0.848438441270903	0.900007371369601	0.833480561434182	0.862997492467586	0.867136825193571	0.895129507731714	0.928189066901534	0.957655288906122	0.929064421697657	0.883092645845682	0.852060263758376	0.844643462854828	0.81975038456746	0.803904650798251	0.811562265420454	0.593176291560046	0.742729662558304	0.585253812892473	0.795450366836579	0.910225753688528	0.809579151093163	0.792953644556498	0.880775170248855	0.866258873973366	0.706780042447679	0.704605891449032	0.700295077220345	0.687556821710551	0.769510489080768	0.644011216749154	0.732709035406583	0.691268454143461	0.733666434353376	0.60563171078635	0.686754431671776	0.710284637342337	0.832759903284889	0.888811026908805	0.802437712665557	0.525699609498726	0.476118340961808	0.449503420956288	0.583425967427671	0.689453987271702	0.779031469449239	0.662514494473289	0.576790226595295	0.614049908714725	0.802904647825089	0.762642028613889	0.851861893738612	0.818837688437809	0.910862666580923	0.858717681958065	0.94612461818614	0.891481943728559	0.938307632782281	0.873986066959868	0.872452187817213	0.835018753264017	0.869589491314217	0.869359196100172	0.864501127550178	0.894362356623058	0.912182535112398	0.907825893684973	0.891049227835483	0.893759169724375	0.879524849679515	0.937752547205074	0.924957035954479	0.967225364252283	0.836470231133389	0.855052299960041	0.844368606230749	0.868613247542091	0.81689512477815	0.880305144304059	0.702955811288644	0.693563991159432	0.872057427974678	0.803377047263845	0.841434683016451	0.917209625018723	0.856198774468972	0.9114360741155	0.776635403455219	0.72771405601462	0.733474302702255	0.75875495670067	0.752512008492695	0.68881968397341	0.807425370619053	0.821053972641805	0.854157104932977	0.636774940538961	0.704960484481068	0.726020957473728	0.874054311405755	0.896655426571717	0.876875286808571	0.604924688938829	0.684377645912063	0.621803610206822	0.78004405269656	0.719049153148116	0.745926672350981
"LDD10CF70R1"	0.8062342163376	0.844951002562943	0.810755329451323	0	0.540303499560196	0.684258747826968	0.745882416478342	0.837874118142185	0.755088528358097	0.779912668000366	0.803736101482451	0.72731570595365	0.634164251883602	0.704277019387753	0.695730520690426	0.780198965583799	0.641086147047806	0.822341912903572	0.634499194597178	0.655699095558622	0.613537848963993	0.477641486778893	0.503421784261478	0.716592878613058	0.831516899643928	0.858936404006537	0.855644746556827	0.481702791404284	0.534881904932412	0.451387506753589	0.66578495452355	0.652436883772581	0.654435215914088	0.728363294729557	0.648377405501668	0.66162088699417	0.719823487539485	0.864966257886418	0.74305402538855	0.772568035968088	0.633260531473414	0.7528233237288	0.712009475686268	0.692038936918501	0.724001306328409	0.67814127331285	0.675335689790629	0.794787700920854	0.717840131648679	0.772063692395362	0.711327094838228	0.845566181779445	0.852091201293316	0.766446744394583	0.767541981275372	0.797752325164466	0.673159460056011	0.622279227273303	0.670271679938167	0.671109863258875	0.630833609947368	0.617299186261979	0.740774874213885	0.935698760678079	0.933213415579363	0.925570032808505	0.657651642969242	0.611991883267929	0.690161668805423	0.80080970267822	0.791455634610287	0.760421840259238	0.87461514407524	0.711463798574921	0.789560607322908	0.819058535405758	0.769536724977264	0.765079182022754	0.893080162735483	0.840429075842784	0.887745368111632	0.771760304363345	0.679356046173219	0.663724430182165	0.747262570142863	0.601599144513995	0.633456283348239	0.757317846530688	0.707346861882687	0.784517542450207	0.384219983416252	0.344453388279635	0.372286831493969	0.736832106782545	0.716100770978344	0.793845611875511	0.887020272770273	0.922200762618831	0.894731697093443	0.775538272234593	0.855990097176095	0.900005693672167	0.803901852813346	0.88055472343125	0.806122142023123	0.789918437725217	0.807478843656034	0.832504145936982	0.81923917000364	0.840751557480964	0.834507576953552	0.787335740718158	0.821661245221055	0.783434716218543	0.764768408528568	0.769122714147168	0.828861262046144	0.807306402655892	0.799096806552855	0.78812348513841	0.814946818539988	0.799847449961288	0.762913863423263	0.805051078394771	0.79330960698607
"LDD10CF70R2"	0.746307016862958	0.816744531406783	0.743071338121878	0.540303499560196	0	0.513591639302241	0.534916783962078	0.7658072391959	0.674507186262876	0.836713799171972	0.839194063816142	0.824765434744787	0.42235513827542	0.554428718704397	0.603542835357248	0.693986370762731	0.465743566048243	0.735427647362602	0.602107803588178	0.641313828360965	0.497857715102766	0.657231630759138	0.67131230254375	0.777559715022775	0.848960724519665	0.905502532712004	0.849491993131824	0.767789300188689	0.761069597997174	0.720996368708861	0.509519564348088	0.485423225922818	0.505817162418811	0.686729143489023	0.483189022077055	0.555156647610846	0.571740559288363	0.762910642855983	0.558559075016781	0.762949912053925	0.764007097816787	0.747758167242308	0.614845741422819	0.595218039407126	0.635147733767065	0.485748211849102	0.531507658004509	0.667072951452472	0.621549464935746	0.76939911834634	0.587849637644832	0.797893138017396	0.785969204222701	0.716081334974686	0.770807825864529	0.806616708239864	0.658141411325975	0.394368970530337	0.5495389250956	0.6132142387566	0.569856957001615	0.576139104019134	0.733852591865755	0.941174771524404	0.939798990878216	0.931423395903374	0.552376444337018	0.589136838628675	0.682932083260917	0.651363444098878	0.615951639786527	0.585874973205321	0.87556027863952	0.761267655658344	0.877588807647942	0.733560106193463	0.624943124595977	0.580464086368228	0.810640602508962	0.763155492293229	0.780541815105696	0.782568947385178	0.570320270539089	0.638793760088762	0.803739406712974	0.835511620905814	0.71785480752967	0.862695896815982	0.84160881295923	0.890097539306376	0.791673660445515	0.743470446944343	0.791838868056638	0.672675644639996	0.57710879777962	0.728471186189311	0.853881818873827	0.908390587857872	0.837079403304569	0.629518733133448	0.849542438380744	0.872917770172438	0.762779093208924	0.844124568989108	0.668869511864488	0.659202759924761	0.670612368006515	0.7329881481388	0.672679976864916	0.78199756190328	0.789040871328792	0.650207274181924	0.757971063036108	0.707206048835622	0.661208301166336	0.699732434698181	0.739789015371156	0.793274559928302	0.720757811548144	0.691944402011615	0.755882977969285	0.695490478765819	0.687432566955663	0.704774287440139	0.716051183416515
"LDD10CF70R3"	0.808482975048385	0.840703673907214	0.826301697750231	0.684258747826968	0.513591639302241	0	0.749210152220294	0.844751293272473	0.73006366349876	0.825463025402853	0.827220972240538	0.818296453477193	0.759767441125303	0.739028454414434	0.74261947914424	0.809887515773207	0.759894285033929	0.83639032726042	0.742947182500705	0.747195330264045	0.724641313402555	0.70813878924911	0.758095627123484	0.793764557783613	0.837002383389011	0.87759443964345	0.867853698946212	0.762391998743258	0.748810290581023	0.758100068294	0.789244083041098	0.769208825955068	0.775815319300214	0.763795990335861	0.784679270787524	0.749250078115564	0.797011234503444	0.714347167657689	0.804906996343053	0.768661799033968	0.763674707014251	0.790831126240202	0.779199140923651	0.77084756297344	0.782744765023418	0.796074458551463	0.77353065959751	0.814393882944422	0.725423687507992	0.796169450276269	0.695918816774228	0.836052545413005	0.84236517504083	0.815735834092645	0.821384993860223	0.801750594766363	0.777410093651776	0.735815148035103	0.75139251170298	0.754452178399336	0.759397098904102	0.761592939697385	0.804265602581481	0.939478573320467	0.935185973452116	0.92640447505172	0.450961880268322	0.726065526906673	0.673010064267436	0.845927321162902	0.803773374212431	0.815493052976281	0.878137129001282	0.767163263791578	0.849976726063799	0.823523971418982	0.826035630560323	0.81059333842577	0.901679798558579	0.855602635905812	0.894853214491085	0.785741237769812	0.760401110307193	0.752084112380193	0.787988359249415	0.810278221163559	0.766300910743027	0.834304384251329	0.81678728910696	0.871455186560233	0.746891583981407	0.716050623309727	0.743858784602687	0.778834435853883	0.771269973428284	0.831116166490628	0.887535339613541	0.906706232523414	0.72568154303793	0.797657176159321	0.860122473736264	0.872355974667066	0.802016558118243	0.838084906065598	0.83860505543086	0.836020205148618	0.856620261052691	0.864775360579257	0.859699354609329	0.834617416096524	0.826388083532717	0.802506672565279	0.780659402445796	0.814136700434394	0.806415154789815	0.822213044651043	0.863293841312682	0.843483879865701	0.838511700445483	0.813556220999096	0.819255537543131	0.82769381011469	0.7983887117112	0.818436277233973	0.842722401871506
"LDD10MHPR1"	0.829171618363043	0.891717596272341	0.850509829380364	0.745882416478342	0.534916783962078	0.749210152220294	0	0.611758910454777	0.509569504150831	0.875508923341391	0.872557955557696	0.864240145013551	0.424899896784178	0.492345077766839	0.387744953625355	0.659385271177667	0.542543659180597	0.658004030112225	0.711959519766237	0.64225759927778	0.593095317948918	0.793262689618865	0.813025715801538	0.896132141378414	0.74733437232984	0.945007583899755	0.653400676711248	0.618465644406127	0.808197031774057	0.769505166659264	0.67027085364926	0.58694159414116	0.673550981213913	0.745849643140776	0.537129650183461	0.595104414302353	0.313104085181807	0.727141708061009	0.538158185492724	0.828185954230163	0.815663034621928	0.811298916377882	0.624819046091205	0.607365053388343	0.630231531605547	0.61349204611268	0.628707289954573	0.6293627161839	0.694323150894208	0.822026473065888	0.681243529393198	0.788696316350767	0.79073460027204	0.763844826685786	0.85211886959871	0.853034938638311	0.773939784797923	0.624101857912523	0.758647325502205	0.725678536254644	0.712115500119684	0.706108096277038	0.841551117611811	0.962098392411857	0.961560852612488	0.951706859596937	0.721953087935095	0.695359960048837	0.812853119144547	0.635600884332732	0.543314511396267	0.512878842848128	0.913741655225701	0.805401677305296	0.915776974181649	0.66140356965675	0.588849185505648	0.548833054858045	0.689136052992851	0.642703168150352	0.649148816250485	0.854549913646205	0.542667985080418	0.698798120843271	0.855201635012763	0.872561786237972	0.726761759764832	0.900748826880913	0.87769670820803	0.926490787247459	0.800125627657014	0.812679713474841	0.857452620207817	0.740990551050441	0.677155865522513	0.778727339543368	0.836630382217732	0.890190694984053	0.828705690420386	0.604909388818872	0.832346605234644	0.861067422970749	0.79269500781426	0.84399564160679	0.648667921687444	0.659168949001765	0.67273794297333	0.674491260469381	0.572980407628158	0.785539859622316	0.804536480388007	0.619534268591477	0.776816911924224	0.726974805471874	0.707167869269481	0.699545488238233	0.765314911653504	0.786264523564501	0.766013926878151	0.745216924920596	0.760641554350169	0.699319559569467	0.66152461822546	0.57263346624797	0.685023317099972
"LDD10MHPR2"	0.920096164919098	0.931317102044403	0.930494135537225	0.837874118142185	0.7658072391959	0.844751293272473	0.611758910454777	0	0.53577394759806	0.860011799262617	0.865208432603212	0.870523552318838	0.66591351655223	0.531989107688416	0.632683626273685	0.789570877040235	0.775818289052811	0.801777825539416	0.856312037239774	0.739251795636612	0.774895301356413	0.880710474854803	0.908791808733284	0.894850683670769	0.814759601142156	0.938225541023997	0.785138705521475	0.796707001224017	0.905264442987609	0.898940795681451	0.737319904520069	0.785696926756212	0.734436792577013	0.837302307703156	0.705362132251645	0.732152608492639	0.628222816273445	0.816111625326619	0.799259258608735	0.892524088198195	0.908993798815254	0.839330193036719	0.795514937399024	0.806657161704986	0.792714447241348	0.772252064299872	0.702228720800875	0.691882442600272	0.826933756291483	0.864006597367992	0.832361003758544	0.85944101086894	0.85271644665834	0.822171295045063	0.924454027208567	0.88201727525423	0.863437765862034	0.795384373802338	0.877455548063226	0.801747103134708	0.871120904954946	0.857388844739541	0.902632049962198	0.942576205145638	0.956357721610843	0.911264548737107	0.902753316393084	0.854650867701349	0.62395293041329	0.813771248790932	0.656074884161913	0.73376379883487	0.913834272481693	0.857517129925256	0.920693542442611	0.524902512641438	0.77539997627756	0.807290372638126	0.840900775488262	0.845935583350637	0.835682705869372	0.885371414660064	0.748407225024746	0.824654133591292	0.899252148129612	0.895382461422479	0.865184501235845	0.903578036266245	0.893606594886694	0.925284383132488	0.804925774454448	0.891233627400424	0.942003374110651	0.873950676277037	0.838638109384374	0.912168416978833	0.893587229980694	0.900612059738256	0.888853012705301	0.794885826835052	0.908793760429567	0.913470266145315	0.887009748450174	0.916262235699551	0.860112281473543	0.864229506242455	0.877501751767681	0.877107520227468	0.851968888996784	0.862682936352459	0.8550998075667	0.79004384200871	0.859010090912749	0.875525153780889	0.872837076521278	0.879002270234902	0.924667188466581	0.907168546510745	0.901629977928726	0.906063333919095	0.602544237347187	0.863901893563039	0.826452165939305	0.642635500230183	0.857382023290925
"LDD10MHPR3"	0.861885362668406	0.895258605538081	0.878116483310692	0.755088528358097	0.674507186262876	0.73006366349876	0.509569504150831	0.53577394759806	0	0.86684099611502	0.863480680293772	0.869116400179991	0.60453224917681	0.513466136262251	0.615192263290353	0.786660335910406	0.725467695777979	0.790630185803856	0.765562385372017	0.669677173299059	0.723784683596935	0.792521877567118	0.818893552819126	0.891851406731767	0.810155088586507	0.941094264309834	0.784051466036905	0.730005514956808	0.809848703533664	0.792470654018036	0.636651210413605	0.702853328765393	0.632200091779819	0.758573461912544	0.639082231648495	0.638637645553433	0.573512545774062	0.748425685825066	0.73319986542614	0.812581234543568	0.812595457608098	0.817275836997331	0.764182610178485	0.738954462768615	0.775229678091512	0.756796786639426	0.630581946787806	0.66746468397941	0.752331910928339	0.798232480217623	0.739636052146411	0.849009569740674	0.865338242678453	0.823531075611635	0.840993022162067	0.843980526788843	0.786816518475072	0.728349021320654	0.773076691194989	0.744691693688045	0.776881516757511	0.761162979929622	0.838822591556938	0.961192355525332	0.959991491367846	0.950082840468139	0.749218848132222	0.791805812537361	0.794453431637016	0.780234543283985	0.624300191958649	0.717121084348419	0.913168030229802	0.814232030656231	0.915640174450266	0.746855027443717	0.72713503647438	0.744390796557441	0.869861215495189	0.821817007343665	0.86597348167507	0.854402193507031	0.7190107543848	0.767946208087446	0.845918004503649	0.877419833777858	0.78753256286877	0.901461923689166	0.880884005120371	0.936151717877775	0.749243522561863	0.803213498060898	0.854393364734065	0.783939199926095	0.752268232977866	0.822536210827088	0.879394630100211	0.886285363714403	0.80236138846079	0.683543267169841	0.810240885442916	0.853185651892387	0.79019023173892	0.833537112616112	0.801977772827668	0.808110927706831	0.825787466787524	0.822821354379345	0.799297866311027	0.83694879043621	0.84900642510278	0.792648328085762	0.828284544697445	0.7858552637617	0.793506172921626	0.789021749532001	0.849937849163092	0.816167775272661	0.817027593451339	0.817673751943451	0.814281893091615	0.801803900094182	0.779725330359486	0.626964409533096	0.808405873052701
"LDD10MLPR1"	0.93556804535506	0.941619595722761	0.939887542876992	0.779912668000366	0.836713799171972	0.825463025402853	0.875508923341391	0.860011799262617	0.86684099611502	0	0.458882563408035	0.518743032416244	0.879712390759443	0.881427883661838	0.881258178993508	0.879104194068287	0.873155194979274	0.885439392573432	0.769006422759055	0.695180573206226	0.769602132726859	0.759376392151542	0.764603216762672	0.787352959108589	0.599325153233766	0.621277660021514	0.640537732355568	0.813124036412881	0.779328145618476	0.837701648658255	0.878204050579647	0.853531332306818	0.862789392428785	0.899867640873884	0.886230001357186	0.888727882318783	0.875718063068426	0.888934011981118	0.880626510264734	0.648392477127772	0.526770574879417	0.470280552913543	0.87790427067248	0.881689800611199	0.879665136319765	0.883738557374006	0.883362704855266	0.883504228392212	0.859020098707494	0.83671329464978	0.857538700406528	0.87917556452805	0.880229808103667	0.877867629996113	0.752363642837487	0.68173282706798	0.669461873156004	0.861819597946479	0.902774514901429	0.875781194620684	0.888089874847789	0.876550208286947	0.910556496003769	0.954458422491705	0.950787804061652	0.940227622388807	0.822174041625226	0.782733109184306	0.822116375923249	0.907240382145025	0.882234888885562	0.874584995691682	0.570941537917778	0.678688706999896	0.553547752933926	0.889756954700556	0.887433077076839	0.8932401181242	0.90270489352949	0.891293604818366	0.903340843503961	0.78517108219285	0.785233692729056	0.764944449431166	0.766670005900404	0.757340838567243	0.799749794340469	0.633827090120163	0.600349290142797	0.658708061867544	0.810971655594633	0.766742214743094	0.826075514639615	0.876061464046226	0.849996058696909	0.910788852072814	0.909157324011069	0.949480728974603	0.919575081843241	0.887920536400017	0.938039917746528	0.649110454310183	0.678147140197528	0.685423955300327	0.901367639556809	0.896221934853119	0.908294504165356	0.902059168942437	0.900820350918422	0.887454102971845	0.878936783655503	0.87788345824044	0.885698846583013	0.893666439246888	0.862181409321381	0.921306343458388	0.803134054741285	0.744045228903451	0.76446817305801	0.915709164221876	0.874815980234206	0.894448890117219	0.885438587141394	0.88839087108215	0.896869093665926
