Group	Acetobacter	Achromobacter	Acinetobacter	Agathobaculum	Agrobacterium	Agromyces_B_382064	Alcaligenes	Alcanivorax_A	Aliarcobacter	Alkaliphilus_B	Aminipila	Amphibacillus_B_287853	Anaerocolumna	Anaerosalibacter	Anaerosphaera_226805	Anaerosporobacter	Anaerotignum_189125	Anaerovorax	Aquabacter	Atopostipes	Bacillus_A	Bacillus_P_294101	Bacteroides_E	Bacteroides_H	Bifidobacterium_387352	Bifidobacterium_388775	Bilophila	Blautia_A_142742	Brachybacterium	Brevibacillus_D	Brevibacterium	Brevundimonas	CABMKH01	Cellulomonas	Cellulosimicrobium	Chryseobacterium_796614	Citrobacter_A_692098	Clostridioides_A	Clostridium_B	Clostridium_E	Clostridium_H	Clostridium_J	Clostridium_L	Clostridium_T	Comamonas_F_589250	Companilactobacillus	Coprosoma	Corticimicrobacter	Corynebacterium	Cupriavidus	Cytobacillus_298193	Desulfovibrio_R_446353	Dietzia	Dysgonomonas	Elizabethkingia	Empedobacter_790298	Empedobacter_790305	Empedobacter_790330	Enteractinococcus	Enterococcus_A	Enterococcus_B	Enterococcus_C	Enterococcus_D	Enterococcus_G	Enterococcus_H_360604	Erysipelatoclostridium	Erysipelothrix	Eubacterium_J	Fimimorpha	Fimivivens	Flaviflexus	Flavobacterium	Franconibacter	Fusobacterium_A	Globicatella	Gluconobacter_A_506042	Gluconobacter_C	Glutamicibacter	Gordonia_B_376796	Gulosibacter	GWA2-37-10	Halopseudomonas_641337	Herbaspirillum	Heyndrickxia	Ignatzschineria	Irregularibacter	JAAYNZ01	JC017	Kerstersia	Ketogulonicigenium	Klebsiella_711353	Klebsiella_724518	Kurthia	Lachnoclostridium_A_184689	Lachnotalea	Lacrimispora	Lacticaseibacillus	Lactiplantibacillus	Lactobacillus	Lactococcus_A_343306	Lactococcus_A_343473	Lactococcus_A_346120	Lampropedia	Lapidilactobacillus	Latilactobacillus	Lederbergia_302195	Leminorella	Lentilactobacillus	Leucobacter	Leuconostoc_B	Levilactobacillus	Ligilactobacillus	Limosilactobacillus	Liquorilactobacillus	Loigolactobacillus	Lysinibacillus_304693	Macrococcus_B	Mammaliicoccus_319276	Massilibacillus	Metasolibacillus_304750	Methylobacterium	Morganella	Nocardiopsis_A_393323	Novosphingobium_485351	Oceanobacillus	Ochrobactrum_A_499024	Ochrobactrum_A_499060	Ochrobactrum_A_499075	Ochrobactrum_A_499084	Ornithinibacillus_287146	Oxalophagus	Paenalcaligenes	Paenibacillus_A	Paenibacillus_AB	Paenibacillus_C	Paenibacillus_D_363757	Paenibacillus_D_364430	Paenibacillus_D_364450	Paenibacillus_G_363720	Paenibacillus_J_366884	Paenibacillus_S_363727	Paenibacillus_T	Paenibacillus_V	Paenirhodobacter_493197	Paenirhodobacter_493297	Paenisporosarcina_303918	Paenochrobactrum	Pandoraea	Paracaedibacter_A_512622	Paraclostridium	Paracoccus	Paucilactobacillus	Pauljensenia	Pediococcus	Peptoniphilus_B_226804	Peptostreptococcus	Phascolarctobacterium_A	Phytobacter	Populibacterium	Proteus	Providencia_A_732258	Pseudochrobactrum	Pseudoclavibacter_A_383750	Pseudogracilibacillus	Pseudomonas_A	Pseudomonas_E_647464	Pseudomonas_E_650325	Pseudomonas_E_650326	Pseudomonas_F	Psychrobacter	QFOI01	Rarobacter	Rhodococcus_C_375578	Robinsoniella	Rouxiella_729010	Rummeliibacillus	Savagea	Schleiferilactobacillus	Scrofimicrobium	Secundilactobacillus	Sedimentibacter	Serratia_B	Serratia_D_727245	Serratia_D_727363	Sphingobacterium	Sphingobium_A_485959	Sporosarcina	Staphylococcus	Stenotrophomonas_A_615274	Streptococcus	Sutterella	Thermoactinomyces_A	Tissierella_A	Tissierella_B_224123	Tissierella_B_224124	Turicibacter	UBA1258	UBA945	Unclassified	Vagococcus_B	Vagococcus_C	Weissella_A_338544	Wohlfahrtiimonas	Xanthobacter_502409	Xanthomonas_B
LDD10CF70R1	0.070480929	0.012437811	1.509121061	0	0	0	0.037313433	0	0	0	0	0.029021559	0	0	0.078772803	0	0	0	0	0.020729685	0.186567164	0.024875622	0.049751244	0	0	0	0	0.087064677	0	0	0.045605307	0	0	0	0	0	0	0.045605307	0	0	0.016583748	0	0	0	0.053897181	0	0	0	0.696517413	0	0	0	0	0.248756219	0	0.074626866	0	0	0	0.941127695	0	0	0.83747927	0	10.06633499	0	0.107794362	0	0	0	0	2.533167496	0	0.020729685	0.240464345	0	0	0.029021559	0	0	0	0	0	0	2.935323383	0	0	0	0	0	0	0.128524046	0	0	0	0.091210614	0	0.066334992	0	0	0	0	0	0.422885572	0	0	0	0	0	0	0.062189055	0.045605307	0	0	0.033167496	0.078772803	0	0	0	0	0	1.459369818	0	0	0	0	0	0	0	0.020729685	0	0.066334992	0	0	0.116086235	0	0	0	0	0.058043118	0	0	0	0	0	0	0.024875622	0	0	0.037313433	0	0	0	0	0	0	0	0	0	0.675787728	8.320895522	0.04145937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.36401327	0	0.107794362	0	0	0	0.48092869	0	0	0	0	0	0	0	0	0	0.045605307	0	0	0	19.03814262	0.451907131	0	0.045605307	0.717247098	0	0
LDD10CF70R2	0	0	0.45153522	0	0	0	0.371262292	0	0	0	0	0	0	0	4.505318081	0	0	0	0	0	0	0	8.288179811	0	0	0	0	0.15051174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.060204696	0	0	0	0.832831628	0	0	0	0	0.080272928	0	0	0	0.60204696	0	1.304435079	0	0	0	0	14.55950231	0	0	0	0	0	0	1.374673891	0	0	0.983343367	0	0	0	0	0	0	0	0	0	1.053582179	0	0	0	0	0	0	0.090307044	0	0	0	0	0	0.120409392	0	0	0	0	0	0.722456352	0	0	0	0	0	0	0.120409392	0.110375276	0	0	0	0.080272928	0	0	0	0	0	2.508528999	0	0	0	0	0	0	0	0	0	0.15051174	0	0	0.180614088	0	0	0	0	0	0	0	0	0	0	0	0.120409392	0	0	0	0	0	0	0	0	0	0	0	0.140477624	3.572145294	15.60305037	0	0	0	0.180614088	0	0	0	0	0	0	0	0	0	0	0	0	0	3.812964078	0	0	0	0	0	0.872968092	0	0	0	0	0	0	0	0	0	0	0	0	0	35.13947421	0.35119406	0	0	1.505117399	0	0
LDD10CF70R3	0	0	0.120675784	0	0	0	0.026816841	0	0	0	0	0	0	0	15.12022884	0	0	0	0	0	0	0	29.53875034	0	0	0	0	0.058103155	0	0	0	0.035755788	0	0	0	0.026816841	0	0	0	0	0	0	0	0	0	0	0	0	0.884955752	0	0	0	0	0.08938947	0	0	0	1.363189416	0	0.236882095	0	0	0	0	3.03030303	0	0	0	0	0	0	0.808974703	0	0	0.978814696	0	0	0	0	0	0	0	0	0	0.621256816	0	0	0	0	0	0	0.214534728	0	0	0	0	0.290515777	0.487172611	0	0	0	0	0	4.442656655	0	0	0	0	0	0	0.3709663	1.676052561	0	0	0.049164208	0.062572629	0	0	0	0	0	1.644766247	0	0	0	0	0	0	0	0	0	0.08938947	0	0	0.10279789	0	0	0	0	0.053633682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.080450523	0	0	0.040225261	1.363189416	4.916420846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.78913024	0	0.017877894	0	0	0	0.241351569	0	0	0	0	0	0	0	0	0	0.026816841	0	0	0	22.17305801	0.65254313	0	0.791096809	0.482703138	0	0
LDD5CF70R1	0.621632822	0.041442188	0.033153751	0	0	0	0.033153751	0	0	0	0	0	0	0	0.024865313	0	0	0	0	0	0.215499378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.555325321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.611272275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94488189	0	0	0	0	0	50.25279735	2.652300041	0	0	0	0	2.188147534	0	0	0	0	0	0.024865313	7.459593867	0.513883133	0	0	0	0.149191877	0	0	0	0	0	4.997927891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.513883133	0	0	0	0	0	0.198922503	8.213841691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066307501	0	0	0	0	0	0.14090344	0	0	0	0	0	0	0	0	0	0.058019063	0	0	0	13.7670949	0	0	0.721094074	0	0	0
LDD5CF70R2	0.166112957	0.063889599	0	0	0	0	0.115001278	0	0	0	0	0	0	0	0.089445438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.345003833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.25530284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.776130846	0	0	0	0	0	1.150012778	0	0	0	0	0	0.140557117	0	0	0	0	0	0	0.319447994	0.127779198	0	0	0	0.102223358	0	0	0	0	0	21.6713519	0	0	0	0	0	0	0	0	0	0	0	0	0.115001278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063889599	0	0	0	0.063889599	14.26015845	0	0	0	0	0.051111679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02555584	0	0	0	31.80424227	0.127779198	0	0.166112957	0	0	0
LDD5CF70R3	0.777356986	0.114610325	0.074745864	0	0	0	0.034881403	0	0	0	0	0	0	0	0.01993223	0	0	0	0	0	0	0.01993223	0	0	0	0	0	0	0	0	0	0	0.014949173	0	0	0	0	0	0	0	0	0	0	0	0.014949173	0	0	0	0.114610325	0	0	0	0	0	0	0.169423959	0	0	0	0.054813634	0	0	0	0	7.773569862	0	0	0	0	0	0	0	0	0.034881403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.219254535	0	0	0	0	0	22.99182779	5.152481563	0	0	0	0	2.586206897	0	0	0	0	0	0.034881403	5.780346821	0.448475184	0	0	0.029898346	0.144508671	0	0	0	0	0	14.41598565	0	0	0	0	0	0	0	0	0	0	0	0	0.129559498	0	0	0	0	0.089695037	0	0	0	0	0	0	0	0	0	0	0	0	0	0.378712378	0	0.069762806	0	0	0	0.119593382	12.40781343	0	0	0	0	0.064779749	0	0	0	0	0	0	0	0	0	0	0	0	0.039864461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.064779749	0	0	0	20.72453658	0.089695037	0	4.798684473	0	0	0
WTD10CF70R1	0	0	3.066700741	0	0	0	0.034074453	0	0	0	0	0.021296533	0	0	15.00979641	0.02555584	0	0	0	0	0	0.017037226	11.81531647	0	0	0	0	0.042593066	0	0	0.038333759	0.01277792	0	0	0	0	0	0.017037226	0	0	0	0	0	0	0	0.110741971	0	0	0.268336315	0	0	0	0	6.78507539	0	0	0	0.647414601	0	0.268336315	0	1.286310589	0	0	3.296703297	0.02555584	1.02223358	0	0	0	0	1.686685408	0	0.553709856	0.051111679	0	0	0	0	0.055370986	0	0	0	0	0.136297811	0	0	0	0	0	0	0.566487776	0	0.034074453	0	0.072408212	0.157594344	1.588721356	0.008518613	0	0	0	0	2.602436323	0.136297811	0	0	0	0.268336315	0	1.392793253	2.530028111	0	0	0.7113042	0.200187409	0	0	0	0	0	1.37149672	0	0	0	0	0	0	0	0	0	0.017037226	0	0	0.076667519	0	0	0	0	0.085186132	0	0	0	0	0	0	0.460005111	0	0	0	0	0.038333759	0	0.285373541	0	0.345003833	0.01277792	0	0	0.988159128	1.341681574	0.49833887	0	0	0.144816424	0	0	0	0	0	0	0	0	0	0	0	0	0	12.30939603	0	0	0	0	0	1.635573729	0	0	0	0.110741971	0	0	0	0	0	0	0	0	0	22.78303092	0.915750916	0	0	0.017037226	0	0
WTD10CF70R2	0	0	2.878621195	0	0	0	0	0.036670334	0	0	0	0	0	0	0.238357169	0	0	0	0	0	0	0	0.586725339	0	0	0	0	0.898423176	0	0	0.128346168	0	0	0	0	0	0	0	0	1.448478181	0	0	0	0	0	0	0	0	0.34836817	0	0	0	0	0.605060506	0	0.29336267	0	0	0	1.943527686	0	0	0	0	3.3186652	0	0.220022002	0	0	0	0	0.99009901	0	0	0.238357169	0	0	0	0	0	0	0.073340667	0	0	1.961862853	0	0	0	0	0	0	1.906857352	0	0	0	2.475247525	0	0	0	0	0	0	0	0.220022002	0	0	0	0	0.275027503	0	0.165016502	0	0	0	0	0	0	0	0	0	0	20.88375504	0	0	0	0	0	0	0	0	0	0.201686835	0	0	0	0	0	0	0	0.091675834	0	0	0	0	0	0	0.146681335	0	0	0	0	0	0	0	0	0.073340667	0	0	0	3.483681702	13.2746608	0.29336267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.13788045	0	0	0	0	0	0.128346168	0	0	0	0.055005501	0	0	0	0	0	0	0	0	0	27.41107444	0.366703337	0	0	0.201686835	0	0
WTD10CF70R3	0	0.053942282	2.813989032	0	0	0	0.130360514	0	0	0	0	0.035961521	0	0	2.930863976	0	0	0	0	0	0	0.035961521	4.800863077	0.049447092	0	0	0	0.040456711	0.049447092	0	0.121370134	0.197788366	0	0	0	0.022475951	0.085408613	0.022475951	0	0	0	0	0	0	0.076418232	0	0	0	0.287692169	0	0	0	0	1.856513531	0	0	0	0.053942282	0	0	0	0.107884564	0.098894183	0	30.37849501	0	0.274206599	0	0	0	0	2.521801672	0	0	0.031466331	0	0	0.022475951	0	0	0	1.649734784	0	0	2.876921694	0	0	0	0	0	0	1.510383889	0.660792952	0.022475951	0	0.067427852	0.134855704	0.134855704	0	0	0	0	0	0.92600917	0	0	0	0	0.242740268	0	0.206778747	0.328148881	0	0	0.031466331	0	0	0	0	0.085408613	0	3.99172885	0	0	0	0	0	0	0	0	0	0.107884564	0	0	0.031466331	0	0	0.01348557	0	0.071923042	0	0	0	0	0	0	0.364110402	0	0	0	0.035961521	0	0	0	0	0.112379754	0	0	0.179807606	0.3191585	2.045311517	0.062932662	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031466331	0	0	9.435404118	0	0	0	0	0	2.737570799	0	0	0	0.112379754	0	0	0	0	0	0	0	0	0	23.74359435	0.62483143	0	0	0	0	0
WTD5CF70R2	0.484128797	0	0.041105275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.251198904	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018269011	0	0	0	0	0	0	0	0.077643298	0	0	0	0	0	0	0	0	0	0	0	0.027403517	0	0.027403517	0	0	1.009362868	0	0	0	0.278602421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018269011	0	0	0	0.260333409	0	0	0	0.063941539	0.036538022	67.27106645	0	0	0	0	0	0.100479562	0	0	0	0	0	0	5.727335008	0.406485499	0	0	0.073076045	0.027403517	0	0	0	0	0	0.059374286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.050239781	0	0	0	0	0	0	0	0	0	0.009134506	0	0	0	1.242292761	0	0.127883078	0	0	0	0.054807034	16.83032656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.384791048	0	0	0.041105275	0	0	0
WTD5CF70R3	0.052816901	0	0.035211268	0	0	0	0	0	0	0	0	0	0	0	0.052816901	0	0	0	0	0	0	0.211267606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.554577465	0	0	0	0.11443662	0	0	0	0	0	0	0.026408451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.021126761	0.052816901	0	0	0	0	76.26760563	0	0	0	0	0	0.695422535	0	0	0	0	0	0	6.646126761	0.554577465	0	0	0.184859155	0	0	0	0	0	0	6.311619718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.461267606	0	0.070422535	0	0	0	0	1.408450704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.278169014	0	0	0	0	0	0
