Group	Acetobacter	Achromobacter	Acinetobacter	Agathobaculum	Agrobacterium	Agromyces_B_382064	Alcaligenes	Alcanivorax_A	Aliarcobacter	Alkaliphilus_B	Aminipila	Amphibacillus_B_287853	Anaerocolumna	Anaerosalibacter	Anaerosphaera_226805	Anaerosporobacter	Anaerotignum_189125	Anaerovorax	Aquabacter	Atopostipes	Bacillus_A	Bacillus_P_294101	Bacteroides_E	Bacteroides_H	Bifidobacterium_387352	Bifidobacterium_388775	Bilophila	Blautia_A_142742	Brachybacterium	Brevibacillus_D	Brevibacterium	Brevundimonas	CABMKH01	Cellulomonas	Cellulosimicrobium	Chryseobacterium_796614	Citrobacter_A_692098	Clostridioides_A	Clostridium_B	Clostridium_E	Clostridium_H	Clostridium_J	Clostridium_L	Clostridium_T	Comamonas_F_589250	Companilactobacillus	Coprosoma	Corticimicrobacter	Corynebacterium	Cupriavidus	Cytobacillus_298193	Desulfovibrio_R_446353	Dietzia	Dysgonomonas	Elizabethkingia	Empedobacter_790298	Empedobacter_790305	Empedobacter_790330	Enteractinococcus	Enterococcus_A	Enterococcus_B	Enterococcus_C	Enterococcus_D	Enterococcus_G	Enterococcus_H_360604	Erysipelatoclostridium	Erysipelothrix	Eubacterium_J	Fimimorpha	Fimivivens	Flaviflexus	Flavobacterium	Franconibacter	Fusobacterium_A	Globicatella	Gluconobacter_A_506042	Gluconobacter_C	Glutamicibacter	Gordonia_B_376796	Gulosibacter	GWA2-37-10	Halopseudomonas_641337	Herbaspirillum	Heyndrickxia	Ignatzschineria	Irregularibacter	JAAYNZ01	JC017	Kerstersia	Ketogulonicigenium	Klebsiella_711353	Klebsiella_724518	Kurthia	Lachnoclostridium_A_184689	Lachnotalea	Lacrimispora	Lacticaseibacillus	Lactiplantibacillus	Lactobacillus	Lactococcus_A_343306	Lactococcus_A_343473	Lactococcus_A_346120	Lampropedia	Lapidilactobacillus	Latilactobacillus	Lederbergia_302195	Leminorella	Lentilactobacillus	Leucobacter	Leuconostoc_B	Levilactobacillus	Ligilactobacillus	Limosilactobacillus	Liquorilactobacillus	Loigolactobacillus	Lysinibacillus_304693	Macrococcus_B	Mammaliicoccus_319276	Massilibacillus	Metasolibacillus_304750	Methylobacterium	Morganella	Nocardiopsis_A_393323	Novosphingobium_485351	Oceanobacillus	Ochrobactrum_A_499024	Ochrobactrum_A_499060	Ochrobactrum_A_499075	Ochrobactrum_A_499084	Ornithinibacillus_287146	Oxalophagus	Paenalcaligenes	Paenibacillus_A	Paenibacillus_AB	Paenibacillus_C	Paenibacillus_D_363757	Paenibacillus_D_364430	Paenibacillus_D_364450	Paenibacillus_G_363720	Paenibacillus_J_366884	Paenibacillus_S_363727	Paenibacillus_T	Paenibacillus_V	Paenirhodobacter_493197	Paenirhodobacter_493297	Paenisporosarcina_303918	Paenochrobactrum	Pandoraea	Paracaedibacter_A_512622	Paraclostridium	Paracoccus	Paucilactobacillus	Pauljensenia	Pediococcus	Peptoniphilus_B_226804	Peptostreptococcus	Phascolarctobacterium_A	Phytobacter	Populibacterium	Proteus	Providencia_A_732258	Pseudochrobactrum	Pseudoclavibacter_A_383750	Pseudogracilibacillus	Pseudomonas_A	Pseudomonas_E_647464	Pseudomonas_E_650325	Pseudomonas_E_650326	Pseudomonas_F	Psychrobacter	QFOI01	Rarobacter	Rhodococcus_C_375578	Robinsoniella	Rouxiella_729010	Rummeliibacillus	Savagea	Schleiferilactobacillus	Scrofimicrobium	Secundilactobacillus	Sedimentibacter	Serratia_B	Serratia_D_727245	Serratia_D_727363	Sphingobacterium	Sphingobium_A_485959	Sporosarcina	Staphylococcus	Stenotrophomonas_A_615274	Streptococcus	Sutterella	Thermoactinomyces_A	Tissierella_A	Tissierella_B_224123	Tissierella_B_224124	Turicibacter	UBA1258	UBA945	Unclassified	Vagococcus_B	Vagococcus_C	Weissella_A_338544	Wohlfahrtiimonas	Xanthobacter_502409	Xanthomonas_B
LDD10MR1	0	0	0	0	0	0	0	0	0.017043034	0	0	0	0	0	0.051129101	0	0	0	0	0	0	0	0.076693651	0	0	0	0	0.034086067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.059650618	0	0	0	0	0.042607584	0	0	0	0	0	0.298253089	0	0	0	0	15.13421389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093736685	0	0	0	0	0	0	0.213037921	0	0	0	0	0	0.085215168	0.102258202	0	0	0	0	0	0	0	0	0	0	0.093736685	0.53685556	0	0	0.042607584	0	0	0	0	0	0	0	14.18832552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093736685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02556455	0	0	0	12.26246272	29.97869621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.332339156	0	0	0	0	0	0.059650618	0	0	0	0	0	0	0	0	0	0	0	0	0	25.32594802	0.852151683	0	0	0	0	0
LDD10MR2	0	0	0	0	0	0	0	0	0	0	0	0.046715538	0	0	0.057496047	0	0	0	0.007187006	0	0	0	0.014374012	0	0	0	0	0.050309041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068276556	0	0	0	0	0.104211585	0	0.032341527	0	0	0	1.131953428	0	0	0	0	6.608451919	0	0	0	0	0	0	0	0	0.010780509	0.010780509	0	0	0	0	0	0	0	0	0	0.035935029	0	0	0	0	0	0	0.449187868	0	0	0	0.053902544	0	0.571366969	0.237171194	0	0	0	0	0.032341527	0	0	0	0	0	0.147333621	1.30444157	0	0	0.481529395	0	0.06108955	0	0	0	0	0	35.44990657	0	0	0	0	0	0	0	0	0	0	0	0	0.079057065	0	0	0	0	0.071870059	0	0	0	0	0	0	0	0	0	0.032341527	0	0	0	0	0	0.043122035	0	0	0	9.199367543	8.20756073	0	0	0	0	0	0	0	0	0.010780509	0	0	0	0	0	0	0	0	0.309041253	0	0	0	0	0	0	0	0	1.839873509	0	0	0	0	0	0	0.035935029	0	0	0	32.79071439	0.413252839	0	0	0	0	0
LDD10MR3	0	0	0	0	0	0	0.012329696	0	0.012329696	0	0	0	0	0	0.036989088	0	0	0	0	0	0	0	0	0	0	0	0	0.03082424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03082424	0	0	0	0	0.092472721	0	0	0	0	0.073978176	0	0	0	0	0	3.051599778	0	0	0	0	10.49873621	0	0	0	0	0	0	0.012329696	0	0.018494544	0.024659392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067813328	0	0	0	0.086307873	0	0.776770853	0.154121201	0	0	0	0	0	0	0	0	0	0	1.072683558	3.914678503	0	0	0.141791505	0	0.049318784	0	0	0	0	0	50.18186302	0	0	0	0	0	0	0	0	0	0.049318784	0	0	0.055483632	0	0	0	0	0.067813328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.113248258	9.160964182	0.03082424	0	0	0	0	0	0	0	0.086307873	0	0	0	0	0	0	0	0	0.456198755	0	0	0	0	0	0	0	0	0.228099377	0	0	0	0	0	0	0	0	0	0	15.7080328	0.702792676	0	0	0	0	0
LDD5MR1	0.143999206	0.049654898	0	0	0	0	0.044689409	0	0	0	0	0	0.00993098	0	0.069516858	0.019861959	0	0	0	0	0	0.029792939	0	0	0	0	0	0	0	0	0	0	0.01489647	0	0	0	0	0	0	0	0	0	0	0.054620388	0	0	0	0	0.129102736	0	0	0	0	0.024827449	0	0	0	0	0	1.549232832	0	0	0	0	6.867272456	0	0	0	0	0	0	0.029792939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203585084	0	0	0	0.059585878	0	2.999155867	1.176821093	0	0	0	0	0.024827449	0	0	0	0	0.019861959	7.919956304	7.170167337	0.049654898	0	0.30786037	0	0	0	0	0	0	0	1.747852426	0	0	0	0	0	0	0	0	0	0	0	0	0.099309797	0	0	0	0	0.089378817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104275287	0	0	0	1.59888773	54.15363226	0	0	0	0	0.089378817	0	0	0	0.109240777	0	0	0	0	0.139033716	0	0	0	0.104275287	0	0	0	0.089378817	0	0	0	0	0	0	0	0	0	0	0	0.129102736	0	0	0	12.53786186	0	0	0.039723919	0	0	0
LDD5MR2	0	0.032769695	0	0	0	0	0.05898545	0	0	0	0	0	0	0	0.05898545	0	0	0	0	0	0	0.039323634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052431511	0	0	0	0	0.124524839	0	0	0	0	0	0	0	0	0	0	0.609516319	0	0	0	0	7.189670992	0	0	0	0	0	0	0.026215756	0	0.019661817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18351029	0	0	0	0	0	2.824747673	0.249049679	0	0	0	0	0.045877572	0	0	0	0	0	10.47319439	7.897496395	0.098309084	0	0	0	0.091755145	0	0	0	0	0	1.723685935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072093328	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026215756	0	0.052431511	0	0	0	1.494298073	49.04312492	0	0	0	0	0.085201206	0	0	0	1.415650806	0	0	0	0	0.104863023	0	0	0	0.05898545	0	0	0	0.137632717	0	0	0	0	0	0	0	0	0	0	0	0.052431511	0	0	0	15.58526675	0.072093328	0	0	0	0	0
LDD5MR3	0.082297397	0.025988652	0.02165721	0	0	0	0.038982977	0	0	0	0	0	0	0	0.051977303	0	0	0	0	0	0	0.047645861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.229566423	0	0	0	0	0.069303071	0	0	0	0	0	1.342747	0	0	0	0	7.787932603	0	0.043314419	0	0	0	0	0	0	0.02165721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.589076103	0	0	0	0.043314419	0.060640187	3.486810759	0.528435916	0	0	0	0	0.025988652	0	0	0	0	0	7.909212977	6.098670247	0.069303071	0.034651535	1.069866158	0	0.095291723	0	0	0	0	0	1.481353142	0	0	0	0	0	0	0	0	0	0	0	0	0.103954606	0	0	0	0	0.073634513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.060640187	0	0	0	2.434270369	55.38181661	0	0	0	0	0.099623165	0	0	0	0.073634513	0	0	0	0	0	0	0	0	0.069303071	0	0	0	0.129943258	0	0	0	0	0	0	0	0	0	0	0	0.038982977	0	0	0	9.776064452	0.44613852	0	0.056308745	0	0	0
WTD10MR1	0	0	0	0	0	0	0.014095426	0	0	0	0	0.035238565	0	0	0.024666996	0	0	0	0	0	0	0.095144126	0	0	0	0	0	0.049333991	0	0	0	0.042286278	0	0	0	0	0	0.007047713	0	0	0	0	0	0.024666996	0.031714709	0	0	0	0.031714709	0	0	0	0	0.052857848	0	0	0	0	0	0	0	0	0	0	56.12093876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.084572556	0	0	0	0	0	0	0	0	0	0	0.119811121	0	0.236098386	0	0	0	0	0	0.052857848	0	0.017619283	0	0	0	0	1.324970047	0.045810135	0	0	0	0	0	0	0	0	0	10.07470576	0	0	0	0	0	0	0	0	0	0.017619283	0	0	0	0	0	0.017619283	0	0.176192825	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031714709	0	0	0	0	0	2.720417225	15.14905913	0.045810135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.768200719	0	0	0	0	0	0.017619283	0	0	0	0	0	0	0	0	0	0	0	0	0	12.53788146	0.031714709	0	0	0	0	0
WTD10MR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038402458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.384024578	0	0	0	0.115207373	0	0	0	0	0	0	6.298003072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192012289	0	0	0	0	0	0	0	0	0	0	0	0	0.249615975	0	0	0	0	0	0	0	0	0	0	0	0	1.132872504	0	0	0	0	0	0	0	0	0	0	9.811827957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.076804916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.382488479	27.88018433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.209677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.22887865	0	0	0	0	0	0
WTD10MR3	0	0	0	0	0	0	0.019940179	0	0	0	0	0	0	0	0.026586906	0	0	0	0	0	0	0.026586906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026586906	0	0	0	0	0	0	0	0	0	0	0.059820538	0	0	0	0	0.059820538	0	0	0	0	0	0	0	0	0	0	5.117979395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172814889	0	0	0	0	0	0	0.066467265	0	0	0	0	0	0.418743769	0	0	0	0	0	0.013293453	0	0	0	0	0	0	0.285809239	0.026586906	0	0	0	0	0	0	0	0	0	5.31738119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139581256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.019607843	27.86307743	0.046527085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.292455965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.00033234	0	0	0	0	0	0
WTD5MR1	0	0	0.146205955	0	0	0	0.014620596	0	0	0	0	0	0	0	0.043861787	0	0	0	0	0	0	0.731029777	0	0	0	0	0	0	0	0.014620596	0	0	0	0	0	0.034114723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038988255	0	0.229055997	0	0.07797651	0	0	0.087723573	0	0	0.229055997	1.759344997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.268044252	0	0	0	0	0.029241191	11.92553243	0	0	0	0	0	0	0	0	0	0	0	2.290559969	0.44836493	0.043861787	0	0	0	0	0	0	0	0	0.029241191	0.916223988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.087723573	0	0	0	0	0	0	0	0	0	0	0	0	0	0.599444417	0	0.165700083	0	0	0	0.082850041	37.22890979	0	0	0	0	0	0	0	0	0.058482382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082850041	0	0	0	0	0	0	0	0	0	0	0	0	0	42.33637117	0	0	0	0	0	0
