Group	Acetobacter	Achromobacter	Acinetobacter	Agathobaculum	Agrobacterium	Agromyces_B_382064	Alcaligenes	Alcanivorax_A	Aliarcobacter	Alkaliphilus_B	Aminipila	Amphibacillus_B_287853	Anaerocolumna	Anaerosalibacter	Anaerosphaera_226805	Anaerosporobacter	Anaerotignum_189125	Anaerovorax	Aquabacter	Atopostipes	Bacillus_A	Bacillus_P_294101	Bacteroides_E	Bacteroides_H	Bifidobacterium_387352	Bifidobacterium_388775	Bilophila	Blautia_A_142742	Brachybacterium	Brevibacillus_D	Brevibacterium	Brevundimonas	CABMKH01	Cellulomonas	Cellulosimicrobium	Chryseobacterium_796614	Citrobacter_A_692098	Clostridioides_A	Clostridium_B	Clostridium_E	Clostridium_H	Clostridium_J	Clostridium_L	Clostridium_T	Comamonas_F_589250	Companilactobacillus	Coprosoma	Corticimicrobacter	Corynebacterium	Cupriavidus	Cytobacillus_298193	Desulfovibrio_R_446353	Dietzia	Dysgonomonas	Elizabethkingia	Empedobacter_790298	Empedobacter_790305	Empedobacter_790330	Enteractinococcus	Enterococcus_A	Enterococcus_B	Enterococcus_C	Enterococcus_D	Enterococcus_G	Enterococcus_H_360604	Erysipelatoclostridium	Erysipelothrix	Eubacterium_J	Fimimorpha	Fimivivens	Flaviflexus	Flavobacterium	Franconibacter	Fusobacterium_A	Globicatella	Gluconobacter_A_506042	Gluconobacter_C	Glutamicibacter	Gordonia_B_376796	Gulosibacter	GWA2-37-10	Halopseudomonas_641337	Herbaspirillum	Heyndrickxia	Ignatzschineria	Irregularibacter	JAAYNZ01	JC017	Kerstersia	Ketogulonicigenium	Klebsiella_711353	Klebsiella_724518	Kurthia	Lachnoclostridium_A_184689	Lachnotalea	Lacrimispora	Lacticaseibacillus	Lactiplantibacillus	Lactobacillus	Lactococcus_A_343306	Lactococcus_A_343473	Lactococcus_A_346120	Lampropedia	Lapidilactobacillus	Latilactobacillus	Lederbergia_302195	Leminorella	Lentilactobacillus	Leucobacter	Leuconostoc_B	Levilactobacillus	Ligilactobacillus	Limosilactobacillus	Liquorilactobacillus	Loigolactobacillus	Lysinibacillus_304693	Macrococcus_B	Mammaliicoccus_319276	Massilibacillus	Metasolibacillus_304750	Methylobacterium	Morganella	Nocardiopsis_A_393323	Novosphingobium_485351	Oceanobacillus	Ochrobactrum_A_499024	Ochrobactrum_A_499060	Ochrobactrum_A_499075	Ochrobactrum_A_499084	Ornithinibacillus_287146	Oxalophagus	Paenalcaligenes	Paenibacillus_A	Paenibacillus_AB	Paenibacillus_C	Paenibacillus_D_363757	Paenibacillus_D_364430	Paenibacillus_D_364450	Paenibacillus_G_363720	Paenibacillus_J_366884	Paenibacillus_S_363727	Paenibacillus_T	Paenibacillus_V	Paenirhodobacter_493197	Paenirhodobacter_493297	Paenisporosarcina_303918	Paenochrobactrum	Pandoraea	Paracaedibacter_A_512622	Paraclostridium	Paracoccus	Paucilactobacillus	Pauljensenia	Pediococcus	Peptoniphilus_B_226804	Peptostreptococcus	Phascolarctobacterium_A	Phytobacter	Populibacterium	Proteus	Providencia_A_732258	Pseudochrobactrum	Pseudoclavibacter_A_383750	Pseudogracilibacillus	Pseudomonas_A	Pseudomonas_E_647464	Pseudomonas_E_650325	Pseudomonas_E_650326	Pseudomonas_F	Psychrobacter	QFOI01	Rarobacter	Rhodococcus_C_375578	Robinsoniella	Rouxiella_729010	Rummeliibacillus	Savagea	Schleiferilactobacillus	Scrofimicrobium	Secundilactobacillus	Sedimentibacter	Serratia_B	Serratia_D_727245	Serratia_D_727363	Sphingobacterium	Sphingobium_A_485959	Sporosarcina	Staphylococcus	Stenotrophomonas_A_615274	Streptococcus	Sutterella	Thermoactinomyces_A	Tissierella_A	Tissierella_B_224123	Tissierella_B_224124	Turicibacter	UBA1258	UBA945	Unclassified	Vagococcus_B	Vagococcus_C	Weissella_A_338544	Wohlfahrtiimonas	Xanthobacter_502409	Xanthomonas_B
LDD10MHPR1	0	0	0	0	0	0	0	0	0	0	0	0.032084704	0	0	2.935750381	0	0	0	0	0	0	0	3.384936232	0.144381166	0	0	0	0.048127055	0	0	0	0	0	0	0	0	0	0	0	0	0.906392877	0	0	0	0	0	0	0	0.080211759	0	0	0	0	0.104275287	0	0	0	0	0	2.598860993	0	0	0	0	8.815272319	0	0	0	0.024063528	0	0	0.016042352	0	0.056148231	0	0	0	0	0	0	0	0	0	0	0.216571749	0	0	0	0	0	0	0.112296463	0	0	0	0	0.072190583	0.537418786	0	0	0	0	0	0	0	0	0	0.168444694	0	0	0	0	0.120317639	0	0	0	0	0	0	0	0	29.4938638	0	0	0	0	0	0	0	0	0	0.032084704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112296463	0	0	0	0.04010588	0.104275287	2.454479827	0	0	0	4.652282025	18.50485281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.481270554	0.152402342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.99406433	1.37162108	0.232614101	0	0	0	0
LDD10MHPR2	0	0	0	0	0	0	0	0	0.015260186	0	0	0.038150465	0	0	1.625209828	0	0	0	0	0	0	0.068670838	0.343354189	0.389134747	0	0	0	0.083931024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.076300931	0	0	0	0	3.082557607	0	0	0	0	0	1.6557302	0	0	0	0	27.06394018	0	0	0	0.053410652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.357698764	0	0	0	0	0	0	0	0	0	0	0	0	0.114451396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053410652	0	0	0	0	0	29.64291164	0	0	0	0	0	0	0	0	0	0	0	0	0.122081489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.85762246	0	0	0	0	0	1.670990386	0	0	0	1.205554708	11.17045628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.785899588	0.068670838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015260186	0.022890279	0	0	6.485579124	0.930871357	0	0	0	0	0
LDD10MHPR3	0	0	0	0	0	0	0.018661591	0	0.007464636	0	0	0.022393909	0	0	5.318553353	0	0	0	0	0	0	0.111969544	3.441197328	0.070914045	0	0	0	0.048520136	0	0	0	0	0	0	0	0	0	0	0	0	5.736572985	0	0	0	0.022393909	0.070914045	0	0	0.0410555	0	0	0	0	0.0410555	0	0.011196954	0	0	0	0.335908633	0	0	0	0	3.374015601	0	0	0	0	0	0	0	0	0.130631135	0	0	0	0	0	0	0	0	0	0	20.41204792	0	0	0	0	0	0	0	0	0	0	0.05971709	0.153025044	0.58224163	0.0410555	0	0.022393909	0	0	0.033590863	0	0	0	0.287388497	0	0.022393909	0.209009816	0	0.209009816	0	0.052252454	0.033590863	0	0	0	0	0	24.87590042	0	0	0	0	0	0	0	0	0	0	0	0	0.055984772	0	0	0	0	0.063449408	0	0	0	0	0	0	0	0	0	0.048520136	0	0	0	0.029858545	0.287388497	4.333221364	0	0	0	0.895756354	6.154592617	0.022393909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.317247042	0.403090359	0.018661591	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026126227	0	0	0	15.38088307	5.564886351	0.548650767	0.011196954	0.0410555	0	0
LDD5MHPR1	0.12311632	0.039397222	0	0	0	0	0.078794445	0	0	0	0	0	0	0	0.19206146	0	0	0	0	0	0	0.029547917	0.118191667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039397222	0	0	0	0	0.059095834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.107160445	0	0	0	0	0	0	0.014773958	0	0.078794445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103417709	0	0	0	0	0.039397222	0.226534029	0.024623264	0	0	0	0	0.044321875	0	0	0	0.15758889	0	0	0.12311632	0.054171181	0	0	0	0.098493056	0	0	0	0	0	39.05742145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137890279	0	0	0	0	0	0	0	0	0	0	0	0	0	0.059095834	0	1.964936472	0	0	0	1.048951049	23.46597065	0	0	0	0	0.093568403	0	0	0	0	0	0	0	0	0	0	0	0	0.108342362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093568403	0	0	0	28.12961686	0.049246528	0	0.039397222	0	0	0
LDD5MHPR2	0.111554324	0.013521736	0	0	0	0	0.03380434	0	0	0.006760868	0	0	0	0	20.07301738	0	0	0	0	0	0	0.050706511	0.544249882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.040565209	0	1.916706105	0	0	0.040565209	0	0	0	0	0.010141302	0	0	0	0	0	0.104793455	0	0	0	0	0.419173822	0	0	0	0.027043472	0	0	0.013521736	0	11.95997566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.098032587	0	0	0	0.047326077	0.69298898	1.737543101	0.256912988	0	0.202826043	0.03380434	0	0.094652153	0	0	0	0.865391116	0	0.091271719	0.520586843	0.077749983	1.416401866	0	1.392738828	0.064228247	0	0	0	0	0	2.078966939	0	0	0	0	0	0	0	0	0	0	0	0	0.057467379	0	0	0	0	0.027043472	0	0	0	0	0	0	0	0	0	0	0	0.104793455	0	0.064228247	0	24.72787506	0	0	0	0.321141235	20.34683253	0	0	0	0	0.020282604	0	0	0	0	0	0	0	0	0	0	0	0.023663038	0.064228247	1.568521398	0	0	0	0	0	0	0	0	0	0	0.131836928	0	0	0	0.060847813	0	0	0	5.682509634	0.094652153	1.311608411	0.354945575	0	0	0
LDD5MHPR3	0.129191379	0.035234013	0	0	0	0	0.052851019	0	0	0	0	0	0	0	0.634212226	0	0	0	0	0	0	0	0.510893182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428680486	0	0	0	0	0.052851019	0	0	0.06459569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.423571554	0	0	0	0	0	0	0	0	0.334723119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164425392	0	0	0	0	0.023489342	0.252510423	0	0	0.023489342	0	0	0	0	0	0	0	0	0.052851019	0.158553057	0.041106348	0	0	0	0	0	0	0	0	0	0.634212226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070468025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.256679782	0	0	0	1.597275236	60.17969346	0	0	0	0	0.082212696	0	0	0	0	0	0	0	0	0	0	0	0	0.06459569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046978683	0	0	0	29.62593223	0	0	0.058723354	0	0	0
WTD10MHPR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.476644423	0	0	0	0	0	0	0.524308866	0.571973308	0.142993327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.095328885	0	0	0	0	0	0	0	0	0	0	2.573879886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238322212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.432793136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142993327	0	0	0	0	0	0	0	0	0	0.095328885	0	0	0	0	0	0.095328885	0	0	0	13.58436606	22.44995234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428979981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.14680648	0	0	0	0	0	0
WTD10MHPR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.426763318	0	0	0	0	0	0	0.149580025	1.771947992	0	0	0	0	0	0	0	0	0	0.046024623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115061558	0	0	0	0	0	0	0	0	0	0	1.748935681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.783454148	0	0	0	0	0	0	0	0	0	0	0.126567714	0.35669083	0	0	0	0	0	0	0	0	0	0	0	0	0	0.080543091	0.069036935	0	0	0	0	0	0	0	0	0	15.00402715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115061558	0	0	0	0	0	0	0.046024623	0	0	1.541824876	0	0	0	0	0	0.586813945	0	0	0	1.956046485	44.49430445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.276147739	0.149580025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.55724313	0	0.368196985	0	0.230123116	0	0
WTD10MHPR3	0	0	0	0	0	0	0	0	0	0	0	0.039750142	0	0	0.380465645	0	0	0	0	0.051107325	0	2.964224872	0.425894378	0	0	0	0	0.051107325	0	0	0	0	0.022714367	0	0	0	1.317433277	0	0	0	0	0	0	0	0.051107325	0	0	0	0	0	0	0	0	0.335036911	0	0	0	0	0	0	0	0	0	0	5.985235662	0	0.022714367	0	0	0	0	0.022714367	0	0.022714367	0	0	0	0	0	0	0	0	0	0	2.254400909	0	0	0	0	0	0	0	0	0	0	0.096536059	0.056785917	0.073821692	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045428734	0	0	0	0	0	0	0	0	0	5.769449177	0	0	0	0	0	0	0	0	0	0.017035775	0	0	0	0	0	0	0	0.056785917	0	0	0	0	0	0	0.039750142	0	0	1.226575809	0	0	0	0	0	0.442930153	0	0	0	2.055650199	42.49858035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.772288472	0.079500284	0	0	0	0	0.039750142	0	0	0	0	0	0	0	0	0	0	0.045428734	0	0	32.68597388	0	0	0	0.051107325	0	0
WTD5MHPR1	0.029193671	0	0.07006481	0	0	0	0	0	0	0	0	0	0	0	22.00618906	0	0	0	0	0	0	0.277339873	0.099258481	0	0	0.008758101	0	0.017516202	0	0	0	0	0	0	0	0.017516202	0	0	0	0	0	0	0	0.072984177	0	0.242307468	0	0	0.026274304	0	0	0	0	0	0	0.035032405	0	0.035032405	0	0	0	0	0	0	0.303614176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072984177	0	0.011677468	0	0.037951772	1.865475565	1.891749869	0	0	0.040871139	0.084661645	0	0.11969405	1.33998949	0	0	2.91060898	0	0.388275822	2.046476324	0.364920885	0.023354937	0.032113038	2.063992526	0	0	0	0	0	0	1.053891516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061306709	0	0	0	0	0	0	0	0	0	0	0	0.86997139	0	0.166403924	0	21.48362235	0	0	0	3.182110119	3.596660244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035032405	0	1.258247212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.74385473	0.026274304	0.592631517	0.394114556	0	0	0
