Group	Acetobacter	Achromobacter	Acinetobacter	Agathobaculum	Agrobacterium	Agromyces_B_382064	Alcaligenes	Alcanivorax_A	Aliarcobacter	Alkaliphilus_B	Aminipila	Amphibacillus_B_287853	Anaerocolumna	Anaerosalibacter	Anaerosphaera_226805	Anaerosporobacter	Anaerotignum_189125	Anaerovorax	Aquabacter	Atopostipes	Bacillus_A	Bacillus_P_294101	Bacteroides_E	Bacteroides_H	Bifidobacterium_387352	Bifidobacterium_388775	Bilophila	Blautia_A_142742	Brachybacterium	Brevibacillus_D	Brevibacterium	Brevundimonas	CABMKH01	Cellulomonas	Cellulosimicrobium	Chryseobacterium_796614	Citrobacter_A_692098	Clostridioides_A	Clostridium_B	Clostridium_E	Clostridium_H	Clostridium_J	Clostridium_L	Clostridium_T	Comamonas_F_589250	Companilactobacillus	Coprosoma	Corticimicrobacter	Corynebacterium	Cupriavidus	Cytobacillus_298193	Desulfovibrio_R_446353	Dietzia	Dysgonomonas	Elizabethkingia	Empedobacter_790298	Empedobacter_790305	Empedobacter_790330	Enteractinococcus	Enterococcus_A	Enterococcus_B	Enterococcus_C	Enterococcus_D	Enterococcus_G	Enterococcus_H_360604	Erysipelatoclostridium	Erysipelothrix	Eubacterium_J	Fimimorpha	Fimivivens	Flaviflexus	Flavobacterium	Franconibacter	Fusobacterium_A	Globicatella	Gluconobacter_A_506042	Gluconobacter_C	Glutamicibacter	Gordonia_B_376796	Gulosibacter	GWA2-37-10	Halopseudomonas_641337	Herbaspirillum	Heyndrickxia	Ignatzschineria	Irregularibacter	JAAYNZ01	JC017	Kerstersia	Ketogulonicigenium	Klebsiella_711353	Klebsiella_724518	Kurthia	Lachnoclostridium_A_184689	Lachnotalea	Lacrimispora	Lacticaseibacillus	Lactiplantibacillus	Lactobacillus	Lactococcus_A_343306	Lactococcus_A_343473	Lactococcus_A_346120	Lampropedia	Lapidilactobacillus	Latilactobacillus	Lederbergia_302195	Leminorella	Lentilactobacillus	Leucobacter	Leuconostoc_B	Levilactobacillus	Ligilactobacillus	Limosilactobacillus	Liquorilactobacillus	Loigolactobacillus	Lysinibacillus_304693	Macrococcus_B	Mammaliicoccus_319276	Massilibacillus	Metasolibacillus_304750	Methylobacterium	Morganella	Nocardiopsis_A_393323	Novosphingobium_485351	Oceanobacillus	Ochrobactrum_A_499024	Ochrobactrum_A_499060	Ochrobactrum_A_499075	Ochrobactrum_A_499084	Ornithinibacillus_287146	Oxalophagus	Paenalcaligenes	Paenibacillus_A	Paenibacillus_AB	Paenibacillus_C	Paenibacillus_D_363757	Paenibacillus_D_364430	Paenibacillus_D_364450	Paenibacillus_G_363720	Paenibacillus_J_366884	Paenibacillus_S_363727	Paenibacillus_T	Paenibacillus_V	Paenirhodobacter_493197	Paenirhodobacter_493297	Paenisporosarcina_303918	Paenochrobactrum	Pandoraea	Paracaedibacter_A_512622	Paraclostridium	Paracoccus	Paucilactobacillus	Pauljensenia	Pediococcus	Peptoniphilus_B_226804	Peptostreptococcus	Phascolarctobacterium_A	Phytobacter	Populibacterium	Proteus	Providencia_A_732258	Pseudochrobactrum	Pseudoclavibacter_A_383750	Pseudogracilibacillus	Pseudomonas_A	Pseudomonas_E_647464	Pseudomonas_E_650325	Pseudomonas_E_650326	Pseudomonas_F	Psychrobacter	QFOI01	Rarobacter	Rhodococcus_C_375578	Robinsoniella	Rouxiella_729010	Rummeliibacillus	Savagea	Schleiferilactobacillus	Scrofimicrobium	Secundilactobacillus	Sedimentibacter	Serratia_B	Serratia_D_727245	Serratia_D_727363	Sphingobacterium	Sphingobium_A_485959	Sporosarcina	Staphylococcus	Stenotrophomonas_A_615274	Streptococcus	Sutterella	Thermoactinomyces_A	Tissierella_A	Tissierella_B_224123	Tissierella_B_224124	Turicibacter	UBA1258	UBA945	Unclassified	Vagococcus_B	Vagococcus_C	Weissella_A_338544	Wohlfahrtiimonas	Xanthobacter_502409	Xanthomonas_B
LDD10MLPR1	0	0	0.729451609	0	0	0	0.133515696	0	0	0.117233294	0.065129608	1.06812557	0.481959099	0	0.055360167	0.094437931	0.240979549	0	0	0.296339716	1.80734662	0.065129608	0.188875863	0.071642569	0	0	0	3.135990621	0	0.322391559	0	0	1.475185619	0	0	0	0	0	0	0	0	2.445616777	0.16282402	1.787807737	0	0	0	0	0.065129608	0	0	0	0	15.05145239	0	0	0	0	0	0.198645304	0	0	0	0	0.394034128	0	0.019538882	0	0	0.524293344	0	0.065129608	0	5.418783379	0	0	0	0	0	0	0	0	0	0.127002735	1.719421649	0	0	0	0	0	0	0	0	0.397290608	0	15.95024098	0	0	0	0	0	0	0	0	0	0.407060049	0	0	0	0	0.019538882	0	0	0	0	5.565324997	0	0	0	0	0	0.638270158	0	0	0	0	0	0	0	0	0	0.071642569	0.537319265	0	8.118405627	0	0	0.039077765	0	1.751986453	0	0	0	0	0	0.045590726	0	0	0	0.035821284	0	0	0	0	0	0.358212844	0	0	0	0.182362902	6.366419174	0.029308324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.45655855	0	0.039077765	0	0	0	0	0	0	0	0	0	0	0	0.08466849	0.286570275	4.383222613	0	0	0	5.669532369	0.16282402	0	0	0.074899049	0	0
LDD10MLPR2	0	0	2.874401166	0	0	0	0.673470805	0	0	0	0.236061932	0.798444768	0.847045754	0	0.090258974	2.200930362	0.111087968	0	0	0.083315976	0.367978893	0.076372978	0.13885996	0	0	0	0	3.096577102	0	0.576268833	0.03471499	0.03471499	0.152745956	0	0	0	0	0	0	0.222175936	0	1.353884607	0	1.06922169	0	0	0	0	0.17357495	0	0	0	0	20.10692217	0	0.020828994	0	0	0.041657988	0.222175936	0	0	0	0	0.694299799	0	0.06942998	0	0	0.222175936	0	1.006734708	0	0	0	0	0	0	0	0	0	0	0	0.229118934	1.541345553	0	0	0	0	0	0	0	0	1.319169617	0.090258974	8.887037423	0	0.124973964	0.020828994	0	0	0	0	0	0	0.062486982	0	0	0.166631952	0.027771992	0.076372978	0	0	0.03471499	0	4.06859682	0	0	0	0	0	4.27688676	0	0	0	0	0	0	0	0	0	0.222175936	0.083315976	0	5.887662293	0.118030966	0	0	0	4.624036659	0.124973964	0	0	0	0	0	0.270776921	0	0	0.027771992	0	0	0	0	0	0	0.256890926	0	0	0.187460946	2.478650281	0.201346942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.67097133	0	1.687148511	0	0	0	1.971811428	0	0	0.097201972	0	0	0	0	0.10414497	0	1.950982434	0	0	1.409428591	6.949940985	0.152745956	0	0	0	0	0
LDD10MLPR3	0	0	0.307607548	0	0	0	0.555530049	0	0.013773472	0	0	10.62393829	0.436159956	0.009182315	0.036729259	0	0	0	0	0.045911574	0.055093889	0	0.261695974	0	0	0	0	7.511133557	0	0.013773472	0.027546945	0	0.192828612	0	0	0	0	0	0	0	0	0.041320417	0	0.257104816	0	0	0	0	0.105596621	0	0	0.01836463	0	26.04104495	0	0	0	0	0	0.440751113	0	0	0	0	0.752949819	0	0.073458519	0	0	0.183646297	0	0.19741977	0	0	0	0	0	0	0	0	0	0	0	0	0.17905514	0	0.022955787	0	0	0	0	0.064276204	0	0	0	4.026445067	0	0.027546945	0	0	0	0	0	0.032138102	0	1.074330839	0	0	0	0	0.064276204	0	0	0	0	3.282677563	0	0	0	0.050502732	0	1.955833066	0	0	0	0	0	0	0	0	0	0.032138102	0.123961251	0	2.084385474	0	0	0	0	0.105596621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30301639	0	0	0	0.050502732	5.711399844	0.064276204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.76208622	0	1.280932923	0	0	0	0.720811717	0	0	0	0	0	0	0	0.399430696	0	1.524264267	0	0	0	6.592902071	0.261695974	0	0	0	0	0
LDD5MLPR1	0.105485232	0.45917101	0	0	0	0	4.889550757	0	0	0.899726979	0.018615041	0.260610573	2.370315215	0.049640109	0.086870191	0.055845123	0	0	0	0.086870191	0.570861256	0.086870191	4.957805907	0	0	0	0	0	0	0.055845123	0	0	2.618515761	0	0	0	0	0	0	0	0	0.347480764	0	1.929759245	0	0	0	0	0	0	0	0	0	0.452965997	0	0	0	0	0	0.297840655	0	0.471581037	0.055845123	0	2.215189873	0	0.198560437	0	0	0	0	2.941176471	0	0.018615041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124100273	0	0.037230082	0	1.998014396	0	0.223380491	0	0	0	0.192355423	0	0.043435096	0	0.471581037	0	0	0	0.297840655	0.142715314	0.117895259	0.074460164	0	0	24.20575825	0	0	0	0.800446761	0	0.788036734	0	0	0	0	0	0	0	0	0	0	0.130305287	0.031025068	5.752047655	0	0	0.626706379	0	0.198560437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.191362621	0	0	0	0.614296351	11.90121618	0	0	0	0	0.062050137	0	0	0	0	0	0	0	0	0	0	0	0	3.971208737	0	0	0	0	0	0	0	0	0	0	0	0	0	0.055845123	0	7.694216927	0	0	0	10.30032266	1.085877389	0	0.366095805	0	0	0
LDD5MLPR2	0.135566188	0.135566188	0	0	0	0	0.031897927	0	0	0.717703349	0.223285486	0	1.842105263	0	0.350877193	2.232854864	0.127591707	0	0	0	0.661881978	0.111642743	0.295055821	0	0	0	0.087719298	0.167464115	0	0.917065391	0	0	0.063795853	0	0	0	0	0	0	0	0	1.650717703	0	2.145135566	0	0	0	0	0.09569378	0	0.127591707	0	0	0.406698565	0	0	0	0	0	0.135566188	0	0.127591707	0	0	2.543859649	0	0.023923445	0	0	0.079744817	0	0	0	0.023923445	0	0	0	0	0	0	0	0	0	0.311004785	0	0	0	0	0	0	0	0.111642743	0	1.889952153	0.151515152	8.006379585	0	0.303030303	0	0	0	0	0	0.055821372	0	0.023923445	0	0	0	0.055821372	0.167464115	0.079744817	0	0	0	19.32216906	0	0	0	0	0	0.558213716	0	0	0	0	0	0	0	0	0	0	1.148325359	0	6.961722488	0.09569378	0	0.326953748	0	4.673046252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.797448166	0	0	0	0	2.416267943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.53110048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.899521531	0	0	0	16.10845295	0.510366826	0	0.031897927	0	0	0
LDD5MLPR3	0	0.252343187	0	0	0	0	0.020599444	0	0	1.472860233	0	0.05664847	0.993923164	0	0.092697497	0.139046246	0.113296941	0	0	0	1.431661345	0.066948192	1.163868576	0	0	0	0	0	0	0.386239572	0	0	1.009372747	0	0.015449583	0	0	0	0	0	0	2.919971161	0.334740962	2.3740859	0	0	0	0	0.123596663	0	0	0	0	3.434957256	0	0	0	0	0	0.308991657	0	0.257493048	0	0	1.73035328	0	0.041198888	0	0	0.169945411	0	0	0	0.030899166	0	0	0	0	0	0	0	0	0	0.154495829	0	0	0	0	0	0	0	0.087547636	0	0.411988876	0	8.492120713	0	0.190544855	0	0	0	0.05149861	0	0.041198888	0	0.298691935	0	0	0	0.128746524	0.169945411	0.072098053	0.036049027	0	0	20.4294984	0	0	0	0.190544855	0	0.942424555	0	0	0	0	0	0	0	0	0	0	1.951797301	0	6.344628695	0	0	0.113296941	0	1.138119271	0	0	0	0	0	0.066948192	0	0	0	0	0	0	0	0	0	0.684931507	0	0	0	0.607683593	10.6035637	0	0	0	0	0.05149861	0	0	0	0	0	0	0.061798331	0	0	0	0	0	4.526727778	0	0	0	0	0	0	0	0	0	0.015449583	0	0	0	0	0.308991657	13.14759501	0	0	0	8.873210423	0.597383871	0	0.26779277	0	0	0
WTD10MLPR1	0	0	0.027413533	0	0	0	0	0.0411203	0	0.086809522	0	1.055421026	1.955498698	0	0.059395988	0.43861653	0.050258144	0	0.109654133	0.132498744	0.054827066	0.447754375	0.132498744	1.082834559	0	0	0	1.014300726	0	0	0.036551378	0.009137844	0.685338329	0	0	0	0	0.287842098	0	0.338100242	0	0.836112761	0	6.140631425	0	0	0	0	0.260428565	0	0	2.526613972	0	18.79197697	0	0	0	0	0	0.319824553	0	0	0	0	0.246721798	0	0	0	0	0.127929821	0	0.013706767	0	5.802531183	0	0	0	0	0	0	0	0	0	0	0.85438845	0	0	0	0	0	0	0	0	2.101704208	0.169050121	20.91652579	0	0	0	0	0	0	0	0	0	0.10508521	0	0	0	0	0	0	0	0	0	2.06515283	0	0	0	0	0	0.639649107	0	0	0	0	0	0	0	0	0	0.045689222	0	0	0.196463654	0	0	0	0	10.46740074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027413533	0.054827066	0	0	0.360944853	3.454105177	0	0	0	0	0	0	0	0	0	0	0	0	0.694476173	0	0	0	0	5.076072554	0	0	0	0	0	0.018275689	0	0	0	0.013706767	0	0	0	0.100516288	0.205601499	0.278704254	0	0	0	8.210353178	0.406634075	0	0	0.424909764	0	0
WTD10MLPR2	0	0	0.018948964	0	0	0	0	0	0	0	0	0	0	0	0.025265285	0	0	0	0	0	0	0	0	0	0	0	0	3.947700859	0	0	0	0	0	0	0	0	0	0.707427994	0	0	0	0	0	0	0	0	0	0	0.025265285	0	0	1.174835776	0	21.20389085	0	0	0	0.012632643	0	0.113693785	0	0	0	0	3.802425467	0	0	0	0	0	0	0	0	36.24305205	0	0	0	0	0	0	0	0	0	0	0.13895907	0	0	0	0	0	0	0	0	0	0	0.675846387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.448458818	0	0	0	0	0	0	0	0	0	0.031581607	0	0	0	0	0	0	0	0.050530571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.467407782	0	0	0.410560889	7.105861546	0.031581607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.01364325	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031581607	0	0	0	0	0	11.05356241	0.265285498	0	0	0	0	0
WTD10MLPR3	0	0	0	0	0	0	0	0	0	0.048016326	0.018006122	0.108036732	0.95432447	0	0.036012244	0.840285697	0.156053058	0	0	0.126042855	0	0.114038773	0.054018366	0	0	0	2.59888362	1.620550987	0	0	0	0	0.180061221	0	0	0	0	0	0	0.108036732	0	0.462157133	0	2.178740772	0	0	0	0	0.102034692	0	0	0.042014285	0	18.79839145	0	0	0	0	0	0.534181622	0	0	0	0	0.834283656	0	0.024008163	0	0	0.08402857	0	0.096032651	0	5.755957025	0	0	0	0	0	0	0	0	0	0	1.014344877	0	0	0	0	0	0	0	0	2.040693836	0.042014285	19.87875878	0	0	0	0	0	0	0	0	0	0.042014285	0	0	0	0	0.030010203	0.036012244	0	0	0	1.47049997	0	0	0	0	0	1.344457115	0	0	0	0	0	0	0	0	0	0.498169378	0	0	0.132044895	0	0	0	0	11.13978753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08402857	0.324110197	0	0	0.138046936	2.298781586	0.048016326	0	0	0	0	0	0	0	0	0	0	0	0.276093872	0	0	0.540183662	0	11.94406098	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066022448	0.060020407	0	0	0.042014285	0.096032651	8.342836564	2.070704039	0	0	0.126042855	0	0
WTD5MLPR1	0	0	0	0	0	0	0	0	0	1.157215012	0	0	3.848858769	0	1.221149543	0.82475545	0.044754172	0	0	0.127869062	0.08311489	0.588197686	1.591969823	0.031967266	0	0	0.038360719	0	0	0.070327984	0.332459561	0	1.323444793	0	0	0	0	0	0	0	0	0.632951857	0	6.898535899	0	0	0	0	2.020331181	0	0	0.057541078	0	6.546895979	0	0	0	0.012786906	0	0	0	0	0.402787546	0	0	0	0.345246468	0	0	0	0	0	0	5.875583403	1.19557573	0	0	0	0	0	0	0	0	0	0.479508983	0	0	0	0	0	0	0.127869062	0	5.114762483	0.115082156	17.66511093	0	0.383607186	0	0	0	0.031967266	0	0	0	0.10229525	0	0	0	0.070327984	0	0.044754172	0	0	0	9.129851033	0	0	0	0	0	0.204590499	0	0	0	0	0	0	0	0	0	0.038360719	0	0	0.364426827	0	0	0	0	15.72150118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.636723995	0	0	0	0.447541717	1.943609744	0.127869062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.537050061	0	0	0	8.925260533	0.901476888	0	0	0.613771498	0	0
