Group	Acetobacter	Achromobacter	Acinetobacter	Agathobaculum	Agrobacterium	Agromyces_B_382064	Alcaligenes	Alcanivorax_A	Aliarcobacter	Alkaliphilus_B	Aminipila	Amphibacillus_B_287853	Anaerocolumna	Anaerosalibacter	Anaerosphaera_226805	Anaerosporobacter	Anaerotignum_189125	Anaerovorax	Aquabacter	Atopostipes	Bacillus_A	Bacillus_P_294101	Bacteroides_E	Bacteroides_H	Bifidobacterium_387352	Bifidobacterium_388775	Bilophila	Blautia_A_142742	Brachybacterium	Brevibacillus_D	Brevibacterium	Brevundimonas	CABMKH01	Cellulomonas	Cellulosimicrobium	Chryseobacterium_796614	Citrobacter_A_692098	Clostridioides_A	Clostridium_B	Clostridium_E	Clostridium_H	Clostridium_J	Clostridium_L	Clostridium_T	Comamonas_F_589250	Companilactobacillus	Coprosoma	Corticimicrobacter	Corynebacterium	Cupriavidus	Cytobacillus_298193	Desulfovibrio_R_446353	Dietzia	Dysgonomonas	Elizabethkingia	Empedobacter_790298	Empedobacter_790305	Empedobacter_790330	Enteractinococcus	Enterococcus_A	Enterococcus_B	Enterococcus_C	Enterococcus_D	Enterococcus_G	Enterococcus_H_360604	Erysipelatoclostridium	Erysipelothrix	Eubacterium_J	Fimimorpha	Fimivivens	Flaviflexus	Flavobacterium	Franconibacter	Fusobacterium_A	Globicatella	Gluconobacter_A_506042	Gluconobacter_C	Glutamicibacter	Gordonia_B_376796	Gulosibacter	GWA2-37-10	Halopseudomonas_641337	Herbaspirillum	Heyndrickxia	Ignatzschineria	Irregularibacter	JAAYNZ01	JC017	Kerstersia	Ketogulonicigenium	Klebsiella_711353	Klebsiella_724518	Kurthia	Lachnoclostridium_A_184689	Lachnotalea	Lacrimispora	Lacticaseibacillus	Lactiplantibacillus	Lactobacillus	Lactococcus_A_343306	Lactococcus_A_343473	Lactococcus_A_346120	Lampropedia	Lapidilactobacillus	Latilactobacillus	Lederbergia_302195	Leminorella	Lentilactobacillus	Leucobacter	Leuconostoc_B	Levilactobacillus	Ligilactobacillus	Limosilactobacillus	Liquorilactobacillus	Loigolactobacillus	Lysinibacillus_304693	Macrococcus_B	Mammaliicoccus_319276	Massilibacillus	Metasolibacillus_304750	Methylobacterium	Morganella	Nocardiopsis_A_393323	Novosphingobium_485351	Oceanobacillus	Ochrobactrum_A_499024	Ochrobactrum_A_499060	Ochrobactrum_A_499075	Ochrobactrum_A_499084	Ornithinibacillus_287146	Oxalophagus	Paenalcaligenes	Paenibacillus_A	Paenibacillus_AB	Paenibacillus_C	Paenibacillus_D_363757	Paenibacillus_D_364430	Paenibacillus_D_364450	Paenibacillus_G_363720	Paenibacillus_J_366884	Paenibacillus_S_363727	Paenibacillus_T	Paenibacillus_V	Paenirhodobacter_493197	Paenirhodobacter_493297	Paenisporosarcina_303918	Paenochrobactrum	Pandoraea	Paracaedibacter_A_512622	Paraclostridium	Paracoccus	Paucilactobacillus	Pauljensenia	Pediococcus	Peptoniphilus_B_226804	Peptostreptococcus	Phascolarctobacterium_A	Phytobacter	Populibacterium	Proteus	Providencia_A_732258	Pseudochrobactrum	Pseudoclavibacter_A_383750	Pseudogracilibacillus	Pseudomonas_A	Pseudomonas_E_647464	Pseudomonas_E_650325	Pseudomonas_E_650326	Pseudomonas_F	Psychrobacter	QFOI01	Rarobacter	Rhodococcus_C_375578	Robinsoniella	Rouxiella_729010	Rummeliibacillus	Savagea	Schleiferilactobacillus	Scrofimicrobium	Secundilactobacillus	Sedimentibacter	Serratia_B	Serratia_D_727245	Serratia_D_727363	Sphingobacterium	Sphingobium_A_485959	Sporosarcina	Staphylococcus	Stenotrophomonas_A_615274	Streptococcus	Sutterella	Thermoactinomyces_A	Tissierella_A	Tissierella_B_224123	Tissierella_B_224124	Turicibacter	UBA1258	UBA945	Unclassified	Vagococcus_B	Vagococcus_C	Weissella_A_338544	Wohlfahrtiimonas	Xanthobacter_502409	Xanthomonas_B
LDD10NUSR1	0.344418052	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035629454	0	0	0	0	0	0	0.308788599	0	0	0	0	0	0.071258907	0	0	0	0	0	0	0	0	0	0	0	0	0.047505938	0	0	0	0	0	0	0	0.142517815	0	0	0	0	0	0	0	0	0	0	0.926365796	0	0	0	0	0.285035629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106888361	0	0	0	0	0	0	1.7695962	0	0	0	0.095011876	0	0.558194774	0	0	0	0	0	0	0	0	0	0	0	0	0.653206651	0	0	0	0	0	0	0	0	0	0	4.06175772	0	0	0	0	0	0	0	0	0	0.095011876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.463182898	78.39667458	0.071258907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.617577197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.62945368	0.320665083	0	0	0	0	0
LDD10NUSR2	0.053330173	0	0.023702299	0	0	0	0.035553449	0	0	0	0	0.041479023	0	0	0	0	0	0	0	0.029627874	0	0.171841669	0.047404598	0	0	0	0	0	0.171841669	0	0.082958047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177767243	0	0	0	0	0.077032472	0	0	0	0	0	3.774591135	0	0	0	0	12.23038635	0	0	0	0	0	0	0	0	0	0.053330173	0	0.14813937	0	0	0	0	0	0	0	0.029627874	0	0	0	0	0	0	3.733112112	0	0	0	0	0	5.196729083	1.931737379	0	0	0	0	0	0	0	0	0	0	0	5.190803508	0	0.077032472	0	0	0.065181323	0	0	0	0	0	3.454610097	0	0	0.041479023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065181323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017776724	0	0	0	2.068025598	38.08959469	0	0	0	0	0.023702299	0	0	0	0	0	0	0	0	0	0	0	0	0.900687367	0	0.041479023	0	0	0	0.118511496	0	0	0	0.029627874	0	0	0	0	0	0	0	0	0	21.50983645	0.296278739	0	0	0	0	0
LDD10NUSR3	0	0	0.043218947	0	0	0	0	0	0	0	0	0.051862737	0	0	0	0	0	0	0	0	0	0.30253263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034575158	0	0	0	0	0.086437894	0	0	0	0	0	0	0	0	0	0	0.691503155	0	0	0	0	0.544558735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034575158	0	0	0	0	0	0	0	0	0	0	3.293283776	0	0	0	0	0	0.181519578	0	0	0	0	0	0	0	0	0	0	0	0	0.242026104	0	0	0	0	0	0	0	0	0	0	4.46019535	0	0	0	0	0	0	0	0	0	0.017287579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.363039156	78.10528136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.484052208	0	0	0	0	0	0.112369263	0	0	0	0	0	0	0	0	0	0.025931368	0	0	0	10.79609301	0.129656842	0	0	0	0	0
LDD5NUSR1	0.170390004	0.056796668	0	0	0	0	0	0	0	0	0	0	0	0	0.075728891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208254449	0	0	0	0	0	0	0	0	0	0	2.820901174	0	0	0	0	24.95266944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.846648997	0	0	0	0	0	8.254449072	0	0	0	0	0	0	0	0	0	0	0	0	1.571374479	0.113593336	0.132525559	0	0	0.094661113	0	0	0	0	0	4.411207876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075728891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.094661113	0	0	0	0.435441121	30.32942067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037864445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.0715638	0.132525559	0	0.113593336	0	0	0
LDD5NUSR2	0.226578662	0.039404985	0	0	0	0	0.029553739	0	0	0	0	0	0	0	0.029553739	0	0	0	0	0	0	0.073884346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009851246	0	0	0	0.137917447	0	0	0	0	0.014776869	0	0	0	0	0	0.265983647	0	0	0	0	28.99714314	0	0	0	0	0	0	0	0	0	0	0.325091124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.26490001	0	0	0	0	0	5.964929564	0.039404985	0	0	0	0	0.073884346	0	0	0	0	0	0.034479362	1.595901882	0.078809969	0.261058024	0	0	0.118214954	0	0	0	0	0	13.77204216	0	0	0	0	0	0	0	0	0	0	0	0	0.118214954	0	0	0	0	0.073884346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068958723	0	0	0	0.600926017	13.07752931	0	0	0	0	0.049256231	0	0	0	0	0	0	0	0	0	0	0	0	0.054181854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034479362	0	0	0	21.31317112	1.08363708	0	0.172396808	0	0	0
LDD5NUSR3	0.574541852	0.074294205	0.336800396	0	0	0	0.024764735	0	0	0	0	0	0	0	0.059435364	0	0	0	0	0	0	0.183259039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158494304	0	0	0	0	0	0	0	0	0	0	0.950965825	0	0	0	0	3.452204061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.55720654	0	0	0	0	0	19.55918772	0.024764735	0	0	0	0	0.014858841	0	0	0	0	0	0.044576523	3.952451709	0.113917781	0.534918276	0	0	0.108964834	0	0	0	0	0	11.77315503	0	0	0	0	0	0	0	0	0	0	0	0	0.09905894	0	0	0	0	0.069341258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089153046	0	0	0	1.139177811	13.22932145	0	0	0	0	0.069341258	0	0	0	0	0	0	0	0	0	0	0	0	0.079247152	0	0	0	0	0	0.019811788	0	0	0	0	0.014858841	0	0	0	0	0.034670629	0	0	0	15.39871223	2.075284794	0	0.183259039	0	0	0
WTD10NUSR1	0.185851319	0	0.089928058	0	0	0	0.059952038	0	0	0	0	0.029976019	0	0	0.413669065	0	0	0	0	0.059952038	0.041966427	1.378896882	0.443645084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053956835	0	0	0	0	0.059952038	0	0.023980815	0	0.023980815	0	0	0.197841727	0	0	0	33.70503597	0	0	0	0	0	0	0.047961631	0	0.035971223	0	0	0	0	0	0	0	0	0	0	0.125899281	0	0	0	0	0	0	3.405275779	0	0	0	0	0	5.941247002	0	0	0	0.011990408	0	0.047961631	0	0	0	0	0	0	1.654676259	0.023980815	0	0	0	0	0	0	0	0	0	0.191846523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041966427	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047961631	0	0.083932854	0	0	0	0.07793765	48.09952038	0.041966427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.335731415	0	0.035971223	0	0	0	0.089928058	0	0	0	0	0	0	0	0	0	0	0	0	0	2.889688249	0	0	0	0	0	0
WTD10NUSR2	0.194009002	0	0	0	0	0	0	0	0	0	0	0.03492162	0	0	0.03104144	0	0	0	0	0	0	0.873040509	0	0	0	0	0	0	0	0	0	0.01164054	0	0	0	0	0	0.01164054	0	0	0	0	0	0.02716126	0	0	0	0	0.050442341	0	0	0	0	0.065963061	0	0	0	0	0	0	0	0	0	0	33.80800869	0	0	0	0	0	0	0	0	0.0194009	0	0	0	0	0	0	0	0	0	0	0.112525221	0	0	0	0	0	0	0	0	0	0	0.104764861	0	3.763774639	0	0	0	0	0	0.02716126	0	0	0	0	0	0	1.443426975	0.02716126	0	0	0	0	0	0	0	0	0	0.166847742	0	0	0	0	0	0	0	0	0	0.0194009	0	0	0	0	0	0.01552072	0	0.03492162	0	0	0	0	0	0	0.0194009	0	0	0.02328108	0	0	0	0.02716126	0	0	0	0	0	0.058202701	45.65031817	0.02716126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.306534223	0	0.02328108	0	0	0	0.02328108	0	0	0	0	0	0	0	0	0	0	0	0	0	12.99860314	0	0	0	0	0	0
WTD10NUSR3	0.071476222	0	0	0	0	0	0.028590489	0	0	0	0	0.038120652	0	0	0.061946059	0	0	0	0	0	0	0.714762222	0.09530163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061946059	0	0	0	0	0.061946059	0	0	0	0.023825407	0	0	0	0	0	0	37.21528638	0	0	0	0	0	0	0	0	0.019060326	0	0	0	0	0	0	0	0	0	0	0.085771467	0	0	0	0	0	0	5.456018298	0	0	0	0.066711141	0	3.659582579	0	0	0	0	0	0	0	0	0	0	0	0	1.224625941	0.028590489	0.019060326	0	0	0	0	0	0	0	0	0.152482607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.090536548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.724864195	38.85923949	0.023825407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.247784237	0	0.028590489	0	0	0	0.014295244	0	0	0	0	0	0	0	0	0	0	0	0	0	2.92576003	0	0	0	0	0	0
WTD5NUSR1	1.843151428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.686664257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.397542465	0	0	0	0	0	13.55258403	0	0	0	0	0	0	0	0	0	0	0	0	3.397181063	0	0	0	0	0	0	0	0	0	0	0.216841344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.325262017	0	0	0	0	65.34152512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.02240694	0	0	0.216841344	0	0	0
