Group	Acetobacter	Achromobacter	Acinetobacter	Agathobaculum	Agrobacterium	Agromyces_B_382064	Alcaligenes	Alcanivorax_A	Aliarcobacter	Alkaliphilus_B	Aminipila	Amphibacillus_B_287853	Anaerocolumna	Anaerosalibacter	Anaerosphaera_226805	Anaerosporobacter	Anaerotignum_189125	Anaerovorax	Aquabacter	Atopostipes	Bacillus_A	Bacillus_P_294101	Bacteroides_E	Bacteroides_H	Bifidobacterium_387352	Bifidobacterium_388775	Bilophila	Blautia_A_142742	Brachybacterium	Brevibacillus_D	Brevibacterium	Brevundimonas	CABMKH01	Cellulomonas	Cellulosimicrobium	Chryseobacterium_796614	Citrobacter_A_692098	Clostridioides_A	Clostridium_B	Clostridium_E	Clostridium_H	Clostridium_J	Clostridium_L	Clostridium_T	Comamonas_F_589250	Companilactobacillus	Coprosoma	Corticimicrobacter	Corynebacterium	Cupriavidus	Cytobacillus_298193	Desulfovibrio_R_446353	Dietzia	Dysgonomonas	Elizabethkingia	Empedobacter_790298	Empedobacter_790305	Empedobacter_790330	Enteractinococcus	Enterococcus_A	Enterococcus_B	Enterococcus_C	Enterococcus_D	Enterococcus_G	Enterococcus_H_360604	Erysipelatoclostridium	Erysipelothrix	Eubacterium_J	Fimimorpha	Fimivivens	Flaviflexus	Flavobacterium	Franconibacter	Fusobacterium_A	Globicatella	Gluconobacter_A_506042	Gluconobacter_C	Glutamicibacter	Gordonia_B_376796	Gulosibacter	GWA2-37-10	Halopseudomonas_641337	Herbaspirillum	Heyndrickxia	Ignatzschineria	Irregularibacter	JAAYNZ01	JC017	Kerstersia	Ketogulonicigenium	Klebsiella_711353	Klebsiella_724518	Kurthia	Lachnoclostridium_A_184689	Lachnotalea	Lacrimispora	Lacticaseibacillus	Lactiplantibacillus	Lactobacillus	Lactococcus_A_343306	Lactococcus_A_343473	Lactococcus_A_346120	Lampropedia	Lapidilactobacillus	Latilactobacillus	Lederbergia_302195	Leminorella	Lentilactobacillus	Leucobacter	Leuconostoc_B	Levilactobacillus	Ligilactobacillus	Limosilactobacillus	Liquorilactobacillus	Loigolactobacillus	Lysinibacillus_304693	Macrococcus_B	Mammaliicoccus_319276	Massilibacillus	Metasolibacillus_304750	Methylobacterium	Morganella	Nocardiopsis_A_393323	Novosphingobium_485351	Oceanobacillus	Ochrobactrum_A_499024	Ochrobactrum_A_499060	Ochrobactrum_A_499075	Ochrobactrum_A_499084	Ornithinibacillus_287146	Oxalophagus	Paenalcaligenes	Paenibacillus_A	Paenibacillus_AB	Paenibacillus_C	Paenibacillus_D_363757	Paenibacillus_D_364430	Paenibacillus_D_364450	Paenibacillus_G_363720	Paenibacillus_J_366884	Paenibacillus_S_363727	Paenibacillus_T	Paenibacillus_V	Paenirhodobacter_493197	Paenirhodobacter_493297	Paenisporosarcina_303918	Paenochrobactrum	Pandoraea	Paracaedibacter_A_512622	Paraclostridium	Paracoccus	Paucilactobacillus	Pauljensenia	Pediococcus	Peptoniphilus_B_226804	Peptostreptococcus	Phascolarctobacterium_A	Phytobacter	Populibacterium	Proteus	Providencia_A_732258	Pseudochrobactrum	Pseudoclavibacter_A_383750	Pseudogracilibacillus	Pseudomonas_A	Pseudomonas_E_647464	Pseudomonas_E_650325	Pseudomonas_E_650326	Pseudomonas_F	Psychrobacter	QFOI01	Rarobacter	Rhodococcus_C_375578	Robinsoniella	Rouxiella_729010	Rummeliibacillus	Savagea	Schleiferilactobacillus	Scrofimicrobium	Secundilactobacillus	Sedimentibacter	Serratia_B	Serratia_D_727245	Serratia_D_727363	Sphingobacterium	Sphingobium_A_485959	Sporosarcina	Staphylococcus	Stenotrophomonas_A_615274	Streptococcus	Sutterella	Thermoactinomyces_A	Tissierella_A	Tissierella_B_224123	Tissierella_B_224124	Turicibacter	UBA1258	UBA945	Unclassified	Vagococcus_B	Vagococcus_C	Weissella_A_338544	Wohlfahrtiimonas	Xanthobacter_502409	Xanthomonas_B
LDD10OKAR1	0	0.466952026	0	0	0	0	5.008616377	0	0	0	0	0.072266385	0	0	0.033353716	0	0	0	0	0.239034966	0	0	0.027794763	0	0	0	0	3.207515704	0	0	0.016676858	1.612096281	0	0	0	0	0	0	0.027794763	0	0	0	0	3.985769081	0	0	0	0	0.63927956	0	0	0	0	0.111179054	0	0	0	0	0	0.416921452	0	0	0	0	2.112402023	0	0.439157263	0	0	0	0	10.74545556	0	0	0	0	0	0	0	0.08338429	0	0	0	0	2.735004725	0	0	0	0	0	0	0.194563344	0	0	0	0.094502196	0	0	0	0	0	0	0	0	0	0.172327533	0	0	0.216799155	0	0	0	0	0	0	0.027794763	0	0	0	0	0	2.006781922	0	0	0	0	0	0	0	0	0	15.80410251	0	0	0	0	0	0.06114848	0	0	0	0	0	0	0	3.541052866	3.524376008	0	0	0	0	0	0	0	0	0	0	0	0	0.272388682	7.248874312	3.668908778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.064817388	0	0.294624493	0	0	0	0.044471622	0	0	0	0	0	0	0	0	0	0	0	0	0	24.24815165	0.444716215	0	0	0.088943243	0	0
LDD10OKAR2	0	0.378151261	0	0	0	0	6.253501401	0	0.021008403	0.077030812	0	1.708683473	0.140056022	0	0.06302521	0	0	0	0	0.077030812	0.042016807	0	0.021008403	0	0	0	0	0.077030812	0	0	0	0.434173669	0	0	0	0	0	0	0	0	0.021008403	0	0	3.984593838	0	0	0	0	0.077030812	0	0	0	0	11.12745098	0	0	0	0	0	1.183473389	0	0	0	0	3.648459384	0	0	0	0	0	0	3.37535014	0	0	0	0	0	0	0	0	0	0	0	0	0.028011204	0	0	0	0	0	0	0.483193277	0	0	0	0.434173669	0	0	0	0	0	0	0	0	0	2.5	0	0	0.238095238	0	0.028011204	0	0	0	0	3.914565826	0	0	0	0	0	10.12605042	0	0	0	0	0	0	0	0.476190476	0	2.62605042	0.74929972	0	0.147058824	0	0	0.74929972	0	0	0	0	0	0	0	0.140056022	0.847338936	0	0	0.014005602	0	0	0	0	0	0.021008403	0	0	0	0.791316527	7.927170868	1.218487395	0	0	0	0	0	0	0	0	0	0	0	0	0	0.763305322	0	0	8.99859944	0	0	0	0	0	5.700280112	0	0	0	0	0	0	0	0	0	0	0	0	0	15.84033613	0.196078431	0	0	2.331932773	0	0
LDD10OKAR3	0	0	0	0	0	0	9.638100971	0	0	0	0	0.04514333	0	0	0.060191107	0	0	0	0	0.188097209	0	0	0	0	0	0	0	0.060191107	0	0	0	0	0	0	0	0	0.218192762	0	0.323527199	0	0	0	0	7.478745015	0	0	0	0	0.112858325	0	0	0	0	0	0	0	0	0	0	1.77563765	0	0	0	0	4.709954104	0	0.120382214	0	0	0	0	1.00067715	0	0	0	0	0	0	0	0	0	0	0	0	7.200361147	0	0	0	0	0	0	0.519148296	0	0	0	0.075238883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.353622752	0	0	0	0	0	2.919268678	0	0	0	0	0	0	0	0	0	2.008878188	0	0	0	0	0	0	0	0	0	0	0	0	0	0.383718306	0.767436611	0	0	0	0	0	0	0	0	0	0	0	0	0.316003311	12.44451132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.900759913	0	0	0	0	0	0.04514333	0	0	0	0	0	0	0	0	0	0	0	0	0	37.37115341	0.963057708	0	0	0	0	0
LDD5OKAR1	0	0.027634124	0.221072994	0	0	0	0.051320516	0	0	0	0	0	0	0	0.047372784	0	0	0	0	0	0.027634124	0	0	0	0	0	0	0.03947732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.397773479	0	0	0	0	6.640085271	0	0	0	0	0	0	0.098693301	0	0	0	0.986933007	0.260550314	0	0	0	2.392325609	0	0	0	0	0	0	0	0	0.023686392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.343452686	0	0	0	0	0	2.380482413	0.177647941	0	0	0	0	2.439698393	0	0	0	0	0.01973866	0.035529588	0.923769295	6.375587225	0	0.011843196	0	0.094745569	0	0	0	0	0	1.823852197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071059177	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205282065	0	0.094745569	0	0	0	0.698748569	11.8076665	0	0	0	0	32.97935336	0	0	0	0	0	0	0	0	0	0	0	0	1.267221981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.051320516	0	0	0	18.10429908	0.197386601	0	4.682010185	0	0	0
LDD5OKAR2	0.092923167	6.979018927	3.364796792	0	0	0	5.604734191	0	0	0	0	0	0	0	0.039125544	0	0	0	0	0	0.029344158	0	0	0	0	0	0	0	0	0	0	0.053797623	0	0	0	0.068469702	0	0	0	0	0	0	0	4.147307673	2.753460165	0	0	0	7.424071991	0	0	0	0	0	0	1.154203551	0	0	0	0.347239204	0.141830097	0.034234851	2.386658189	0	1.535677606	0	0	0	0	0	0	0.45483445	0	0.053797623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029344158	0	0	0.161392869	0	0	0	0.044016237	0.019562772	0.581992468	0	0.019562772	0	0	0	0.50374138	0	0	0	0	3.853866093	0	0.180955641	0.347239204	0	0	0	3.531080354	0.738494645	0	0	0	0	1.222673253	0	0	0	0	0	0	0	0	0	2.298625715	0	0	0.092923167	0	0	0	0	0.073360395	0	0	0	0	0	0	2.362204724	0	0	0	0	0	0	0.078251088	0	0.092923167	0	0	0	2.07854453	23.5095613	0	0	0	0	0.068469702	0	0	0	0	0	0	0	0	0	0.440162371	0	0	0.865652663	0	0	0	0	0	0.122267325	0	0	0	0.410818213	0	0	0	0	0	0.058688316	0	0	0	10.13840661	7.756639116	0	1.653054238	0	0	0
LDD5OKAR3	15.90336948	0.043570875	0.0580945	0	0	0	0	0	0	0	0	0	0	0	0.048412084	0	0	0	0	0	0	0.019364833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067776917	0	0	0	0	4.003679318	0	0	0	0	12.383811	0	0	0	0	0.014523625	0	0	0	0	0	0.17912471	0.29531371	0	0	0	3.722889233	0	0	0	0	0	0	0.004841208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.074748257	0	0	0	0	0.203330751	1.18609605	0.217854376	0.014523625	0	0	0	9.217660728	0	0	0	0	0	0.043570875	0.677769171	5.673896204	0	0.106506584	0	0.106506584	0	0	0	0	0	3.708365608	0	0	0	0	0	0	0	0	0	0	0	0	0.067776917	0	0	0	0	0.072618125	0	0	0	0	0	0	0	0	0	0	0	0	0	0.508326878	0	0.072618125	0	0	0	0.508326878	7.586173509	0	0	0	0	0.077459334	0	0	0	0	0	0	0	0	0	0	0	0	1.999419055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062935709	0	0	0	27.90956623	0.145236251	0	2.01394268	0	0	0
WTD10OKAR1	0	0.830846365	0.033424854	0	0	0	4.242568939	0.971708249	0	0	0	0.031037364	0	0	0.019099916	0.016712427	0	0	0	0.167124269	0	0.023874896	0.262623851	0	0	0	0	1.692730094	0	0	0.026262385	4.860928733	0	0	0	0	0.014324937	0	0	0	0	0	0	1.114957622	0	0	0	0	0.265011341	0	0	0	0	5.410051331	0	0	0	0.007162469	0	0.823683896	0	0	0.062074728	0	1.026620509	0	0.327086069	0	0	0	0	7.214993434	0	0	0	0	0	0	0	0.298436194	0	0.21487406	0	0	0.475110421	0	0	0	0	0	0	0.121761967	0	0.009549958	0	0.572997493	0	0	0	0	0	0	0	0	0	3.516772114	0	0	2.394652023	0	0.019099916	0.007162469	0	0	0	0.026262385	0	0	0	0	0	0.637459711	0	0	0	0	0	0	0	0.031037364	0	4.1828817	0	0	1.44920616	0	0	1.489793482	0	0.059687239	0	0	0	0	0	1.227169631	4.901516056	0	0	0	0	0	0	0	0	0	0	0	0	0.976483228	4.003819983	7.150531216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062074728	0	6.16688552	0	3.1085114	0	0	0	16.12749194	0	0	0	0	0	0	0	0	0	0	0	0	0.042974812	10.10863077	1.162707413	0	0	0.009549958	0	0
WTD10OKAR2	0	0.060782884	0	0	0	0	0.218818381	0.060782884	0	0	0	0.255288111	0	0	0.024313153	0	0	0	0	2.309749575	0	0	0	0	0	0	0	0	0	0	0	0.230974957	0	0	0	0	0	0	0	0	0	0	0	0.048626307	0	0	0	0	1.385849745	0	0	0	0	0.510576222	0	0	0	0.03646973	0	1.458789205	0	0	0	0	2.394845611	0	0.07293946	0	0	0	0	1.276440554	0	0	0	0	0	0	0	0	0	0.194505227	0	0	0.765864333	0	0	0	0	0	0	0	0	0	0	0.085096037	0	0.07293946	0	0	0	0	0	0	0	0.425480185	0	0	0.14587892	0	0	0	0	0	0	0	0	0	0	0.206661804	0	7.853148553	0	0	0	0	0	0	0	0.194505227	0	2.966204717	0	0	0	0	0	0.218818381	0	0.158035497	0	0	0	0	0	0.778020909	0.425480185	0	0	0	0	0	0	0	0	0	0	0	0	0.534889375	27.10916606	0.461949915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133722344	0	8.230002431	0	0	0	0	0	0.668611719	0	0	0	0	0	0	0	0	0	0	0	0	0	37.90420618	0.121565767	0	0	0	0	0
WTD10OKAR3	0	0.210535361	0	0	0	0	0.201942081	0.528486723	0	0	0	0.270688322	0	0	0.00859328	0	0	0	0	0.180458881	0	0	0.098822721	0	0	0	0	0.03866976	0	0	0	1.61124001	0	0	0	0	0	1.267508808	0	0	0	0	0	1.379221449	0	0	0	0	0.0214832	0	0	0	0	2.195583054	0	0	0	0.0214832	0	1.177279368	0	0	0	0	2.174099854	0	0.01288992	0	0	0	0	5.641488356	0	0.0214832	0	0	0	0	0	0	0	0.494113603	0	0	0.279281602	0	0	0	0	0	0	0	0	0	0	0.717538885	0	0.03866976	0	0	0	0	0	0.01288992	0	2.874452178	0	0	0.515596803	0	0.05585632	0.03437312	0	0	0	0.154679041	0	0	0	0.360917762	0	3.849789465	0	0	0	0	0	0	0	0.335137922	0	3.660737303	0	0	0	0	0	1.671392971	0	0.116009281	0	0	0	0	0	1.288992008	0.631606084	0	0	0	0	0	0	0	0	0	0	0	0	0.915184326	6.075448999	1.297585288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.201942081	0	8.984274297	0	0	0	0	0	11.55366503	0	0	0	0	0	0	0	0	0	0	0	0	0	36.80072184	0	0	0	0.01718656	0	0
WTD5OKAR1	0	0	9.959202176	0	0	0	0.081595648	0	0	0	0	0	0	0	0.049864007	0	0	0	0	0	0	0.126926564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.180417044	1.627379873	0	0	0	0	0	0	0	0	0	0	16.59564823	0	0.031731641	0	0.244786945	1.269265639	0	1.160471442	0	1.074342702	0	0	0	0	0	0	0	0	0.013599275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.707162285	0.063463282	10.19945603	0	0	0	1.24206709	0.507706256	0	0	0	0	0	1.654578422	0	0	0	0	0.027198549	0	0.267452403	6.53218495	0	0.054397099	0	0.435176791	0	0.027198549	0	0	0	2.502266546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46237534	0	0.122393472	0	0	0	0.276518586	11.81323663	0	0	0	0	5.77969175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163191296	0	0	0	1.749773345	0	0	0	0	0	0	0	0	0	14.27470535	0	0	6.722574796	0	0	0
