Group	Acetobacter	Achromobacter	Acinetobacter	Agathobaculum	Agrobacterium	Agromyces_B_382064	Alcaligenes	Alcanivorax_A	Aliarcobacter	Alkaliphilus_B	Aminipila	Amphibacillus_B_287853	Anaerocolumna	Anaerosalibacter	Anaerosphaera_226805	Anaerosporobacter	Anaerotignum_189125	Anaerovorax	Aquabacter	Atopostipes	Bacillus_A	Bacillus_P_294101	Bacteroides_E	Bacteroides_H	Bifidobacterium_387352	Bifidobacterium_388775	Bilophila	Blautia_A_142742	Brachybacterium	Brevibacillus_D	Brevibacterium	Brevundimonas	CABMKH01	Cellulomonas	Cellulosimicrobium	Chryseobacterium_796614	Citrobacter_A_692098	Clostridioides_A	Clostridium_B	Clostridium_E	Clostridium_H	Clostridium_J	Clostridium_L	Clostridium_T	Comamonas_F_589250	Companilactobacillus	Coprosoma	Corticimicrobacter	Corynebacterium	Cupriavidus	Cytobacillus_298193	Desulfovibrio_R_446353	Dietzia	Dysgonomonas	Elizabethkingia	Empedobacter_790298	Empedobacter_790305	Empedobacter_790330	Enteractinococcus	Enterococcus_A	Enterococcus_B	Enterococcus_C	Enterococcus_D	Enterococcus_G	Enterococcus_H_360604	Erysipelatoclostridium	Erysipelothrix	Eubacterium_J	Fimimorpha	Fimivivens	Flaviflexus	Flavobacterium	Franconibacter	Fusobacterium_A	Globicatella	Gluconobacter_A_506042	Gluconobacter_C	Glutamicibacter	Gordonia_B_376796	Gulosibacter	GWA2-37-10	Halopseudomonas_641337	Herbaspirillum	Heyndrickxia	Ignatzschineria	Irregularibacter	JAAYNZ01	JC017	Kerstersia	Ketogulonicigenium	Klebsiella_711353	Klebsiella_724518	Kurthia	Lachnoclostridium_A_184689	Lachnotalea	Lacrimispora	Lacticaseibacillus	Lactiplantibacillus	Lactobacillus	Lactococcus_A_343306	Lactococcus_A_343473	Lactococcus_A_346120	Lampropedia	Lapidilactobacillus	Latilactobacillus	Lederbergia_302195	Leminorella	Lentilactobacillus	Leucobacter	Leuconostoc_B	Levilactobacillus	Ligilactobacillus	Limosilactobacillus	Liquorilactobacillus	Loigolactobacillus	Lysinibacillus_304693	Macrococcus_B	Mammaliicoccus_319276	Massilibacillus	Metasolibacillus_304750	Methylobacterium	Morganella	Nocardiopsis_A_393323	Novosphingobium_485351	Oceanobacillus	Ochrobactrum_A_499024	Ochrobactrum_A_499060	Ochrobactrum_A_499075	Ochrobactrum_A_499084	Ornithinibacillus_287146	Oxalophagus	Paenalcaligenes	Paenibacillus_A	Paenibacillus_AB	Paenibacillus_C	Paenibacillus_D_363757	Paenibacillus_D_364430	Paenibacillus_D_364450	Paenibacillus_G_363720	Paenibacillus_J_366884	Paenibacillus_S_363727	Paenibacillus_T	Paenibacillus_V	Paenirhodobacter_493197	Paenirhodobacter_493297	Paenisporosarcina_303918	Paenochrobactrum	Pandoraea	Paracaedibacter_A_512622	Paraclostridium	Paracoccus	Paucilactobacillus	Pauljensenia	Pediococcus	Peptoniphilus_B_226804	Peptostreptococcus	Phascolarctobacterium_A	Phytobacter	Populibacterium	Proteus	Providencia_A_732258	Pseudochrobactrum	Pseudoclavibacter_A_383750	Pseudogracilibacillus	Pseudomonas_A	Pseudomonas_E_647464	Pseudomonas_E_650325	Pseudomonas_E_650326	Pseudomonas_F	Psychrobacter	QFOI01	Rarobacter	Rhodococcus_C_375578	Robinsoniella	Rouxiella_729010	Rummeliibacillus	Savagea	Schleiferilactobacillus	Scrofimicrobium	Secundilactobacillus	Sedimentibacter	Serratia_B	Serratia_D_727245	Serratia_D_727363	Sphingobacterium	Sphingobium_A_485959	Sporosarcina	Staphylococcus	Stenotrophomonas_A_615274	Streptococcus	Sutterella	Thermoactinomyces_A	Tissierella_A	Tissierella_B_224123	Tissierella_B_224124	Turicibacter	UBA1258	UBA945	Unclassified	Vagococcus_B	Vagococcus_C	Weissella_A_338544	Wohlfahrtiimonas	Xanthobacter_502409	Xanthomonas_B
LDD10PR1	0	0	0.275973337	0	0	0	0.144355284	0	0.021228718	0	0.050948924	0.182566977	0.764233856	0	0.029720205	0.335413748	0	0	0.152846771	0	0	0.04670318	0.04670318	0	0	0	0	0.985012525	0	0.543455186	0.072177642	0	0	0	0	0	0.076423386	0.059440411	0	0.462786057	0	0	0	0.225024413	0	0	0	0	0	0	0	0	0.072177642	23.88655373	0	0.042457436	0	0	0	0.352396722	0	0	0	0	1.583662378	0	0.016982975	0	0	0	0	0.123126566	0	0	0	0	0	0	0	0	0	0.076423386	0	0	0.195304208	0	0	0	0	0	0	0.106143591	0	0.624124315	0.059440411	2.199295207	0	0	0	0	0	0	0	0	0	0	0	0	0.084914873	0	0.012737231	0	0	0	0	0.768479599	0	0	0	0	0	17.88307222	0	0	0	0	0	0	0	0	0	0.063686155	0.335413748	0	13.16605103	0	0.237761644	0.021228718	0	8.691037235	0	0	0.042457436	0	0	0	0.04670318	0	0	0	0	0	0	0	0	0	0	0	0	0.208041438	1.638857046	0.033965949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.96675583	0	0.543455186	0	0	0	0.038211693	0	0	0	0	0	0	0	0	0	0.759988112	0	0	0	9.985989046	0.658090265	0	0	0	0	0
LDD10PR2	0	0	1.448166245	0	0	0	0.047094837	0	0.023547419	0	0.111850238	0.070642256	1.60711132	0	0.08830282	0.741743686	0	0	0	0	0	0	0	0	0	0	0	1.236239477	0	1.507034791	0	0	0.011773709	0	0	0	0	0.17660564	0	0.794725378	0.029434273	0.08830282	0	0.75940425	0	0	0	0	0.147171366	0	0	0.223700477	0	17.91958557	0	0.029434273	0	0	0	0.241361041	0	0	0	0	0.459174663	0	0	0	0	0	0	0.064755401	0	0	0	0	0	0	0	0	0	0	0	0	0.853593925	0	0	0	0	0	0	0	0	1.412845117	0.153058221	4.674162595	0	0	0	0	0	0	0	0.017660564	0	0	0.34143757	0	0.064755401	0	0.023547419	0	0	0	0	1.165597221	0	0	0	0	0	0.606346029	0	0	0	0	0	0	0	0	0	0.023547419	0.647554012	0	17.69588509	0	0.500382646	0	0	16.75398834	0	0	0.052981692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51804321	0.894801907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.69588509	0	2.590216048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182492494	5.168658386	0.135397657	0	0	0	0	0
LDD10PR3	0	0	1.644749166	0	0	0	0.168596156	0	0	0	0.146116669	0.891686336	0.389644449	0	0.037465812	0.535761118	0.022479487	0	1.521111985	0.101157694	0	0	0	0	0	0	0	2.341613278	0	0.224794875	0	0	0	0	0	0	0.243527781	0	0	1.168933348	0.018732906	0.116144019	0	0.397137612	0	0	0.018732906	0	0.101157694	0	0	0	0	25.95631486	0	0	0	0	0	0.996590611	0	0	0	0	1.491139335	0	0.097411112	0	0	0	0	0	0	0.007493162	0.02997265	0	0	0	0	0	0	0	0	0	0.037465812	0	0	0	0	0	0	0	0	0	0.621932487	4.136225694	0	0.026226069	0.011239744	0	0	0	0	0.033719231	0	0	0	0	0.041212394	0.033719231	0.078678206	0	0	0	0	0.479562399	0	0	0	0	0	26.4883294	0	0	0	0	0	0	0	0	0	0.146116669	0	0	2.746244052	0	0	0	0	5.736015886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022479487	0	0	0	0.172342737	1.067775655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.302424038	0	0	0	0	0	0.067438462	0	0	0.02997265	0	0	0	0	0	0	0.014986325	0	0	0.086171369	10.7077292	0.243527781	0	0	0	0	0
LDD5PR1	0	1.605730069	1.633818641	0	0	0	7.157904592	0	0	0.060858574	0	0.028088573	0.159168578	0	0.051495716	0	0	0	0.482187164	0	0	0.042132859	0	0	0	0	0	0	0	0.177894293	0	0.599222883	0	0	0.299611441	0	0	0	0	0	0	0	0	0	0.856701465	0	0	0.051495716	0.098310004	0	0	0	0	5.112120219	0	2.228360096	0	0	0	0.07490286	0	0	0.084265718	0	4.400543046	0	0	0	0	0	0	13.63700201	0	0.028088573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.660081457	0	0	0.117035719	0	0	0	0.500912879	0.023407144	0.22939001	0	0	0	0.126398577	0.023407144	0.042132859	0	0	0	0	0.149805721	0.102991433	0.145124292	0.056177145	0	0	0	1.156312907	0	0	0	0.177894293	0	0.327700014	0.023407144	0	0	0	0.065540003	0	0	0	0	2.247085811	0.299611441	0	12.75221198	0	0.154487149	0	0	4.643977342	0	0	0	0	0.257478582	0	0	0	0	0	0.060858574	0	0	0	0	0.070221432	0	0	0	0.131080006	7.406020317	0.187257151	0.276204298	0	0	0.03745143	0	0	0	0	0	0	0	0	0	0	0	0	0.514957165	0	0	0	0	0	0.3417443	0	0	0	1.554234352	0	0	0	0	0	7.803941763	0	0	0	17.11062216	1.058002902	0	0.234071439	0	0	0.060858574
LDD5PR2	0.057350411	0.175874594	1.617281591	0	0	0.026763525	0.026763525	0	0	0.099407379	0.064997132	0	2.206079144	0	0.045880329	1.085834448	0.007646721	0	0	0	0	0	0	0.022940164	0.019116804	0	0	0	0	0.829669279	0	0	0	0.045880329	0	0	0.057350411	0	0	0.10323074	0	0.20646148	0	0.768495508	0	0	0	0	0.432039763	0	0	0	0	13.02619002	0	0.554387306	0	0	0	0.772318868	0	0.256165169	0.256165169	0	1.87727012	0	0.435863124	0	0	0	0	0	0	0.015293443	0.026763525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.271458612	0	1.846683235	0.091760658	3.708659912	0.04970369	0.275281973	0	0	0	0.359395909	0.05352705	0.04970369	0	0	0	0	0.271458612	0.370865991	0.107054101	0.061173772	0	0	0	2.221372587	0	0	0	0	0	1.135538138	0	0	0	0	0	0	0.091760658	0	0	0	0.405276238	0	16.70043969	0	0.370865991	0	0	12.0741732	0	0	0.179697955	0.084113936	0.994073791	0	0	0	0	0	0.068820493	0	1.051424202	0	0	0.076467215	0	0	0	0.424393041	7.088510801	0	0.649971325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.163639839	0	0	0	0	0	0.026763525	0	0	0	0.630854521	0	0	0	0	0	0.064997132	0	0	0	17.01777863	1.257885682	0	0.512330338	0	0	0.072643854
LDD5PR3	0.061492211	0.150314294	0	0	0	0	1.202514348	0	0	0.150314294	0.088822083	0	3.39573654	0	0.068324679	1.243509156	0.027329872	0	0.116151954	0	0	0.040994807	0	0	0	0	0	0.655916917	0	0.170811697	0	0	0	0	0	0	0.416780541	0	0	0.102487018	0	0.184476633	0	0.696911725	0	0	0	0	0	0	0	0	0	10.82262913	0	0	0	0	0	0.273298715	0	0.177644165	0	0	7.167258814	0	1.954085816	0	0	0	0	0.122984422	0	0	0.068324679	0	0	0	0	0	0	0	0	0	0	0	0	0	0.170811697	0	0	0.300628587	0	0.075157147	0.765236403	5.192675594	0	0.280131183	0	0	0	0.191309101	0	0.068324679	0	0	0	0	0	0.307461055	0.252801312	0.09565455	0	0	0	3.505056026	0	0	0	0.047827275	0	0.915550697	0	0	0	0	0.020497404	0	0	0	0	0.109319486	0	0	6.900792566	0	0	0	0	8.321945887	0	0	0	0	0.12981689	0	0	0	0	0	0	0	0	0	0	0.075157147	0	0	0	0.314293523	12.98168899	0	0.218638972	0	0	0.054659743	0	0	0	0	0	0	0	0	0	0	0	0	2.459688439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0204974	1.708116972	0	0.157146761	0	0	0
WTD10PR1	0	0	0	0	0	0	0	0	0	0	0.075609602	0	2.79755529	0	0.025203201	1.606704051	0.226828807	0	0	0	0.063008002	0.189024006	0.031504001	0	0	0	0	3.099993699	0	0.189024006	0	0	0	0	0	0	0.226828807	0.069308802	0	0.522966417	0	0.403251213	0	1.26016004	0	0	0	0	0.075609602	0	0	0	0	20.14995904	0	0	0	0	0	1.083737635	0	0	0	0	0.850608027	0	0.018902401	0	0	0	0	0.018902401	0	0	0	0	0	0	0	0	0	0	0	0	0.245731208	0	0	0	0	0	0	0	0	0.056707202	0.453657615	9.67802911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025203201	0	0	0	0	1.279062441	0	0	0	0	0	0.648982421	0	0	0	0	0	0	0	0	0	0	0	0	0.157520005	0	0	0	0	20.57211266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.296137609	3.604057715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.57110453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.825404826	12.04712999	0.554470418	0	0	0	0	0
WTD10PR2	0	0	0	0	0	0	0	0	0	0	0.502036563	0	7.2558492	0	0.09472388	3.542673108	0.066306716	0	0	0	0.132613432	0.274699252	0	0	0	0	0	0.748318651	0	0.369423132	0	0	0	0	0	0	0.170502984	0.028417164	0	0.056834328	0	1.269299991	0	0.871459695	0	0	0	0	0.09472388	0	0	0	0	5.257175334	0	0	0	0	0	0	0	0	0	0	1.543999242	0	0.056834328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.293644028	0	0	0	0	0	0	0	0	1.146158947	0.492564175	11.71734394	0	0	0	0	0	0	0	0	0	0.04736194	0	0	0	0	0.028417164	0	0	0	0	1.468220138	0	0	0.028417164	0	0	0.520981339	0	0	0	0	0	0	0	0	0	0	0	0	0.28417164	0	0	0	0	19.58889836	0	0	0.123141044	0	0	0	0	0	0	0	0	0	0	0	0	0.04736194	0	0	0	0.14208582	4.80250071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.70531401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.75390736	0.33153358	0	0	0.14208582	0	0
WTD10PR3	0	0	0	0	0	0	0.026097736	0	0	0	0.672016703	0.019573302	5.676257585	0	0.117439812	8.840608077	0.339270568	0	0	0	0	0.06524434	0.052195472	0	0	0	0	1.291837933	0	0.254452926	0	0	0	0	0	0	0.071768774	0.03262217	0	0.48933255	0	0.782932081	0	1.898610296	0	0	0	0	0.045671038	0	0	0	0	12.2985581	0	0	0	0	0	0	0	0	0	0	0.22835519	0	0.045671038	0	0	0	0	0	0	0.019573302	0	0	0	0	0	0	0	0	0	0	1.011287271	0	0	0	0	0	0	0.182684152	0	0.548052456	0.469759248	21.67416977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03262217	0	0	0	0	0.045671038	0	0	0.019573302	0	0	1.102629347	0	0	0	0	0	0	0	0	0	0.03262217	0	0	0.150061982	0	0	0	0	8.716643831	0	0	0	0	0	0	0.039146604	0	0	0	0	0	0	0	0	0.06524434	0	0	0	0.189208586	3.366607947	0.058719906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.88999804	0	0.632870099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110915378	9.90409082	0	0	0	0.48933255	0	0
WTD5PR1	0	0	0	0	0	0	0	0	0	0	0.076804916	0	4.531490015	0	0	2.841781874	0	0	0	0	0	0.204813108	0.332821301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.204813108	0	0.460829493	0	2.176139273	0	0	0	0	0	0	0	0	0	2.304147465	0	0.102406554	0	0	0	0.972862263	0	0	0	0	1.382488479	0	0.409626216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.384024578	0	0	0	13.64567332	0	0.358422939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.683563748	0	0	0	0	0	0.281618024	0	0	0	0	0	0	0	0	0	0	0	0	0.307219662	0	0	0	0	22.99027138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.588837686	0	0	0	6.477214542	0.844854071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.742447517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.95238095	0.742447517	0	0	0	0	0
