Group	Acetobacter	Achromobacter	Acinetobacter	Agathobaculum	Agrobacterium	Agromyces_B_382064	Alcaligenes	Alcanivorax_A	Aliarcobacter	Alkaliphilus_B	Aminipila	Amphibacillus_B_287853	Anaerocolumna	Anaerosalibacter	Anaerosphaera_226805	Anaerosporobacter	Anaerotignum_189125	Anaerovorax	Aquabacter	Atopostipes	Bacillus_A	Bacillus_P_294101	Bacteroides_E	Bacteroides_H	Bifidobacterium_387352	Bifidobacterium_388775	Bilophila	Blautia_A_142742	Brachybacterium	Brevibacillus_D	Brevibacterium	Brevundimonas	CABMKH01	Cellulomonas	Cellulosimicrobium	Chryseobacterium_796614	Citrobacter_A_692098	Clostridioides_A	Clostridium_B	Clostridium_E	Clostridium_H	Clostridium_J	Clostridium_L	Clostridium_T	Comamonas_F_589250	Companilactobacillus	Coprosoma	Corticimicrobacter	Corynebacterium	Cupriavidus	Cytobacillus_298193	Desulfovibrio_R_446353	Dietzia	Dysgonomonas	Elizabethkingia	Empedobacter_790298	Empedobacter_790305	Empedobacter_790330	Enteractinococcus	Enterococcus_A	Enterococcus_B	Enterococcus_C	Enterococcus_D	Enterococcus_G	Enterococcus_H_360604	Erysipelatoclostridium	Erysipelothrix	Eubacterium_J	Fimimorpha	Fimivivens	Flaviflexus	Flavobacterium	Franconibacter	Fusobacterium_A	Globicatella	Gluconobacter_A_506042	Gluconobacter_C	Glutamicibacter	Gordonia_B_376796	Gulosibacter	GWA2-37-10	Halopseudomonas_641337	Herbaspirillum	Heyndrickxia	Ignatzschineria	Irregularibacter	JAAYNZ01	JC017	Kerstersia	Ketogulonicigenium	Klebsiella_711353	Klebsiella_724518	Kurthia	Lachnoclostridium_A_184689	Lachnotalea	Lacrimispora	Lacticaseibacillus	Lactiplantibacillus	Lactobacillus	Lactococcus_A_343306	Lactococcus_A_343473	Lactococcus_A_346120	Lampropedia	Lapidilactobacillus	Latilactobacillus	Lederbergia_302195	Leminorella	Lentilactobacillus	Leucobacter	Leuconostoc_B	Levilactobacillus	Ligilactobacillus	Limosilactobacillus	Liquorilactobacillus	Loigolactobacillus	Lysinibacillus_304693	Macrococcus_B	Mammaliicoccus_319276	Massilibacillus	Metasolibacillus_304750	Methylobacterium	Morganella	Nocardiopsis_A_393323	Novosphingobium_485351	Oceanobacillus	Ochrobactrum_A_499024	Ochrobactrum_A_499060	Ochrobactrum_A_499075	Ochrobactrum_A_499084	Ornithinibacillus_287146	Oxalophagus	Paenalcaligenes	Paenibacillus_A	Paenibacillus_AB	Paenibacillus_C	Paenibacillus_D_363757	Paenibacillus_D_364430	Paenibacillus_D_364450	Paenibacillus_G_363720	Paenibacillus_J_366884	Paenibacillus_S_363727	Paenibacillus_T	Paenibacillus_V	Paenirhodobacter_493197	Paenirhodobacter_493297	Paenisporosarcina_303918	Paenochrobactrum	Pandoraea	Paracaedibacter_A_512622	Paraclostridium	Paracoccus	Paucilactobacillus	Pauljensenia	Pediococcus	Peptoniphilus_B_226804	Peptostreptococcus	Phascolarctobacterium_A	Phytobacter	Populibacterium	Proteus	Providencia_A_732258	Pseudochrobactrum	Pseudoclavibacter_A_383750	Pseudogracilibacillus	Pseudomonas_A	Pseudomonas_E_647464	Pseudomonas_E_650325	Pseudomonas_E_650326	Pseudomonas_F	Psychrobacter	QFOI01	Rarobacter	Rhodococcus_C_375578	Robinsoniella	Rouxiella_729010	Rummeliibacillus	Savagea	Schleiferilactobacillus	Scrofimicrobium	Secundilactobacillus	Sedimentibacter	Serratia_B	Serratia_D_727245	Serratia_D_727363	Sphingobacterium	Sphingobium_A_485959	Sporosarcina	Staphylococcus	Stenotrophomonas_A_615274	Streptococcus	Sutterella	Thermoactinomyces_A	Tissierella_A	Tissierella_B_224123	Tissierella_B_224124	Turicibacter	UBA1258	UBA945	Unclassified	Vagococcus_B	Vagococcus_C	Weissella_A_338544	Wohlfahrtiimonas	Xanthobacter_502409	Xanthomonas_B
LDD10PKMR1	0.094768764	0.15794794	0.031589588	0	0	0	0.056861259	0	0.416982563	0	0	0	0.164265858	0	0.037907506	0.777103867	0	0	0	0	0	0	0.101086682	0	0	0	0	2.565074551	0	2.223907	0	0	0	0	0	0	0	0	0	0	0.012635835	0	0	0.416982563	2.097548648	0	0	0	0.391710892	0.02527167	0	0	0	2.3313116	0	1.105635583	0.151630023	0	0	0	0	0	0	0	7.063431893	0	0	0	0	0	0	1.010866818	0	0	0	0	0	0	0	0	0	0	0	0.037907506	0.075815011	0	0	0	0	0.044225423	0	0.606520091	0	0	0	0.063179176	0	0.044225423	0	0	0	0	0	0.037907506	0	0	0	0	0.151630023	0	0.082132929	0.02527167	0	0	0	0.050543341	0	0	0	0	0	1.77533485	0	0	0	0	0	0	0	0	0	0	0	0	0.094768764	0	0	0	0	0.631791761	0	0.739196361	0	0	0	0	0.347485469	0.227445034	0	0	0	0	0	0	0	0	0	0	0	0.208491281	3.531715946	3.146322972	0	0	0	0.13267627	0	0.063179176	0	0	0	0	0	0	0	0	0	0	24.34293657	0	1.143543088	0	0	0	13.17285823	0	0	0	0.151630023	0	0	0	0	0	0	0	0	0	27.63457165	0.202173364	0	0	0	0	0
LDD10PKMR2	0.026883527	0.235230862	0.349485853	0	0	0	0.033604409	0	5.598494522	0	0	0.053767054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.85106526	0	1.47187311	0	0	0	0	0	0	0	0	0	0.100813227	0	0	0	0.37636938	1.633174272	0	0	0	0.235230862	0	0	0	0	5.504402178	0	1.619732509	0.11425499	0	0	0	0	0	0	0	8.790913368	0	0	0	0	0	0	0.698971705	0.322602325	0	0	0	0	0	0	0	0.141138517	0	0	0	0	0	0	0	0	0.120975872	0	0.241951744	0	0	0	0.194905572	0	0	0	0	0	0	0	0.026883527	0	0	0	0	0.141138517	0	0.040325291	0	0	0	0	0.168022044	0	0	0	0	0	0.638483769	0	0	0	0	0	0	0	0	0	0.053767054	0	0	0	0	0	0	0	0.033604409	0	0.389811143	0	0	0	0	0.645204651	0	0	0	0	0	0	0	0	0.040325291	0	0	0	0.094092345	2.957187983	2.829491229	0	0	0	0.100813227	0	0.356206734	0.080650581	0	0	0	0	0	0	0	0	0	21.49337993	0	3.488137644	0	0	0	11.86907722	0	0	0	0.047046172	0	0	0	0	0	0.067208818	0	0	0.060487936	22.48807043	0.174742926	0	0	0	0	0
LDD10PKMR3	0.184487662	0.288261972	0.588054424	0	0	0.06533938	0.023060958	0	6.69920824	0	0	0.026904451	0.092243831	0	0.053808902	0.964716735	0	0	0	0	0	0.011530479	0.057652394	0	0	0	0	4.150972404	0	0.730263664	0	0	0	0	0	0	0.073026366	0	0	0	0.019217465	0	0	0.230609578	4.546852179	0	0	0	0.138365747	0	0	0	0	2.210008456	0	1.771850258	0.203705127	0	0	0.538089015	0	0	0	0	7.121992467	0	0	0	0	0	0	5.557690829	0	0.007686986	0	0	0	0	0	0	0	0	0	0	0.080713352	0	0	0	0	0.088400338	0	0.157583212	0	0	0	0.176800676	0	0.030747944	0	0	0	0	0	0.046121916	0	0	0	0	0.096087324	0	0.030747944	0.107617803	0	0	0	0.053808902	0	0	0	0	0	0.7648551	0	0	0	0	0	0	0	0	0	0.026904451	0	0	0.092243831	0	0	0	0	0.169113691	0	0.322853409	0	0	0	0	0.772542086	0.073026366	0	0	0	0	0	0	0	0.019217465	0	0	0	0.157583212	0.495810593	3.597509417	0	0	0	0.184487662	0	0.914751326	0.226766085	0	0	0	0	0	0	0	0	0	12.25689907	0	4.727496349	0	0	0	18.22968714	0.015373972	0	0	0.4919671	0	0	0	0	0	0.026904451	0	0	0	18.32193097	0.887846875	0	0	0	0	0
LDD5PKMR1	14.3801216	0.052868094	0.079302141	0	0	0	0	0	0	0	0	0	0	0	0.052868094	0	0	0	0	0	0.021147238	0.100449379	0	0	0	0	0	0.121596616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.274914089	0	0	0	0	0.253766852	0	0	0	0	0.010573619	0	0	0	0	0	0.169177901	0	0	0	0	1.956119482	0	0	0	0	0	0	0.021147238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.257203278	0	0	0	0	0	14.28495903	0.021147238	0	0	0	0	0.851176315	0	0	0	0	0	0.052868094	6.952154375	10.57890563	0	0	0.459952419	0.116309807	0	0	0	0	0	0.465239228	0	0	0	0	0	0	0	0	0	0	0	0	0.063441713	0	0	0	0	0.042294475	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126883426	0	0.042294475	0	0	0	0.206185567	24.12899815	0	0	0	0	0.058154904	0	0	0	0	0	0	0	0	0	0	0	0	0.042294475	0	0.026434047	0	0	0	0	0	0	0	0	0	0	0.121596616	0	0	0.031720856	0	0	0	14.05233941	0.142743854	0	0.380650278	0	0	0
LDD5PKMR2	21.0031081	0.034061396	0	0	0	0	0.034061396	0	0	0	0	0	0	0	0.051092093	0	0	0	0	0	0	0.097926513	0	0	0	0	0	0.225656746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025546047	0	0	0	0	0.412994422	0	0	0	0	0	0	0	0	0	0	0.07663814	0	0	0	0	2.465193511	0	0	0	0	0	0	0	0	0.012773023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.481670711	0	0	0	0	0	5.884106101	0.03831907	0	0	0	0	0.817473496	0	0	0	0	0	0.046834419	10.95925406	5.390215864	0	0	0.476859539	0.123472559	0	0	0	0	0	0.613105122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029803721	0	0	0	0	0	0	0	0	0	0	0	0	0	0.136245583	0	0.072380466	0	0	0	0.085153489	31.89423937	0	0	0	0	0.055349768	0	0	0	0	0	0	0	0	0	0	0	0	0.034061396	0.349129306	0	0	0	0	0	0	0	0	0	0	0	0.046834419	0	0	0.11495721	0	0	0	16.5027462	0.068122791	0	0.340613957	0	0	0
LDD5PKMR3	14.58478716	0.08051962	0.048311772	0	0	0	0.037575823	0	0	0	0	0	0	0	0.032207848	0	0	0	0	0	0	0.209351012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.413334049	0	0	0	0	0	0	0.032207848	0	0	0	1.51913683	0	0	0	0	7.370229213	0	0	0	0	0	0	0.016103924	0	0.037575823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.57474905	0	0	0	0	0	7.300445542	0.032207848	0	0	0	0	0.220086961	0	0	0	0	0	0.042943797	3.537495303	3.698534543	0	0	0.134199367	0.091255569	0	0	0	0	0	0.848139997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.096623544	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069783671	0	0.037575823	0	0	0	0.547533416	13.45214451	0	0	0	0	0.134199367	0	0	0	0	0	0	0	0	0	0	0	0	0.064415696	0	0	0	0	0	0	0	0	0	0	0	0	0.026839873	0	0	0.037575823	0	0	0	27.31225509	0.069783671	0	0.289870632	0	0	0
WTD10PKMR1	0.062055912	1.812032641	0.310279562	0	0.269943219	0	0.012411182	0	0	0	0	0	0.27614881	0	0.021719569	3.642682057	0	0	0	0	0	0.102392255	0	0	0	0	0	2.584628751	0	2.026125539	0	0.021719569	0	0	0	0	0.217195693	0.04964473	0	0.471624934	0	0	0	0.999100189	3.835055385	0	0	0	0.046541934	0	0	0	0	4.675912998	0.034130752	1.718948773	0	0.009308387	0	0	0	0	0.124111825	0	3.270346582	0	0	0	0	0	0	1.948555649	0.937044277	0.027925161	0	0	0	0	0	0	0.021719569	0	0.009308387	0	0.074467095	0	0	0	0	0.179962146	0	2.503956064	0	0	0	0.496447299	0	0.040336343	0	0	0	0	0	0.024822365	0	0.018616774	0	0	0.338204722	0	0.037233547	0.232709671	0	0	0	0	0	0	0.031027956	0	0	1.495547488	0	1.722051568	0	0.04964473	0	0.825343635	0	0	0	0	0	0.07756989	0.245120854	0	0	0	0.034130752	0.698129014	0.636073102	2.63427348	0.055850321	0	0.186167737	0.012411182	0.27614881	0.279251606	0.012411182	0	0	0	0	0	0	0	0	0	0	0.390952248	1.960966831	1.942350057	0	0	0	0.617456328	0.018616774	1.036333737	0	0	0	0.07756989	0	0	0	0	0	0	9.668311148	0	1.787210276	0	0	0	6.460020478	0	0	0	0.480933321	0	0	0	0	0	0	0	0	0.058953117	31.43442241	0	0	0.012411182	0	1.296968569	0
WTD10PKMR2	0.026415427	0	0.378621115	0	0.052830853	0	0.035220569	0	0	0	0	0.061635995	0	0	0.044025711	0.123271991	0	0.642775381	0	0.176102844	0	0.132077133	0	0	0	0	0	4.939684776	0	0	0	0	0	0	0	0.378621115	0.730826803	0	0	0.396231399	0	0	0	1.822664436	0.246543982	0	0	0	0.167297702	0	0	0	0	10.74227349	0	0.088051422	0	0	0	1.972351853	0	0.246543982	0.449062252	0	3.125825482	0.308179977	0	0	0	0	0	0.088051422	7.959848552	0.035220569	0	0	0	0	0.105661706	0	0	0.044025711	0.123271991	0	0.105661706	0	0	0	0	0.140882275	0	3.046579202	0	0	0	0.563529101	0.422646826	0.114466849	0	0	0	0	0	0.369815973	0	0.035220569	0	0	0.105661706	0	0.123271991	1.540899886	0	0	0	0	0	0	0	0	0	1.796249009	0	0.105661706	0	0	0	0.202518271	0	0	0	0.193713128	0	0	0	0	0	0	0	0.088051422	0	0.096856564	0	0	0	0	0	0	0	0.052830853	0	0	0	0	0	0	0	0	0	0.123271991	1.171083913	0.140882275	0	0	0	0	0	0.044025711	0	0	2.800035221	0	0	0	0	0	0	0	26.15127234	0	4.085585982	0	0	0	0.88051422	0	0	0	0	0	0	0	0	0	0	0	0	0	19.85559567	0	0	0	0	0	0
WTD10PKMR3	0.0287047	0.853964837	1.155364191	0	0.810907786	0.057409401	0	0.021528525	0	0	0	0	0.516684607	0	0	0	0	0	0	0	0	0.222461428	0	0	0	0	0	5.382131324	0	0	0	0.050233226	0	0	0	0	0	0	0	0.444922856	0	0	0	0	0.595622533	0	0	0	0	0	0	0	0	0.243989953	0	0	0	0	0	2.935055615	0	0	0.868317187	0	4.119124507	0	0	0	0	0	0	3.358449946	0.279870829	0	0	0	0	0	0	0	0	0	0	0	0.078937926	0	0	0	0	0	0	2.612127736	0	0	0	0.624327234	0	0.043057051	0	0	0	0	0	0.0287047	0	0	0	0	0.071761751	0	0.064585576	0.796555436	0	0	0	0.0287047	0	0	0	0	0	3.710082526	0	0.301399354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.086114101	0	0	0	0	0.071761751	0	1.004664514	0.344456405	0	0	0	0	0	0	0	0	0	0.179404377	0	0.70326516	1.062073915	1.664872623	0	0	0	0	0	1.198421241	0	0	0	0	0	0	0	0	0	0	15.33548619	0	7.319698601	0	0	0	10.51309652	0.165052027	0	0	1.643344098	0	0	0	0	0	0	0	0	0	28.40330104	0	0	0	0	0	0
WTD5PKMR1	17.12583485	0	0.030358227	0	0	0	0	0	0	0	0	0	0	0	0.026563449	0	0	0	0	0	0	0.35291439	0	0	0	0	0	0.166970249	0	0	0	0	0	0	0	0.015179114	0	0	0	0	0	0	0	0.030358227	0	0	0	0	0	0	0	0	0	0	0	0.030358227	0	0	0	0	0	0	0	0	3.494990893	0	0	0	0	0	0	0.007589557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.73345477	0.034153005	0	0	0	0.037947784	12.71630237	0	0	0	0	0	0.060716454	0	0	0	0.030358227	0	0	6.614298725	6.048876746	0	0	0.185944141	0	0	0	0	0	0	0.273224044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075895568	0	0	0	0	0	0	0	0	0	0	0	0	0	0.242865817	0	0.136612022	0	0	0	0.056921676	6.246205222	0	0	0	0	0.333940498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011384335	0	0	0	0	0	0	0	0	0	0	0	0	0	27.57285974	0	0	6.306921676	0	0	0
