Group	Acetobacter	Achromobacter	Acinetobacter	Agathobaculum	Agrobacterium	Agromyces_B_382064	Alcaligenes	Alcanivorax_A	Aliarcobacter	Alkaliphilus_B	Aminipila	Amphibacillus_B_287853	Anaerocolumna	Anaerosalibacter	Anaerosphaera_226805	Anaerosporobacter	Anaerotignum_189125	Anaerovorax	Aquabacter	Atopostipes	Bacillus_A	Bacillus_P_294101	Bacteroides_E	Bacteroides_H	Bifidobacterium_387352	Bifidobacterium_388775	Bilophila	Blautia_A_142742	Brachybacterium	Brevibacillus_D	Brevibacterium	Brevundimonas	CABMKH01	Cellulomonas	Cellulosimicrobium	Chryseobacterium_796614	Citrobacter_A_692098	Clostridioides_A	Clostridium_B	Clostridium_E	Clostridium_H	Clostridium_J	Clostridium_L	Clostridium_T	Comamonas_F_589250	Companilactobacillus	Coprosoma	Corticimicrobacter	Corynebacterium	Cupriavidus	Cytobacillus_298193	Desulfovibrio_R_446353	Dietzia	Dysgonomonas	Elizabethkingia	Empedobacter_790298	Empedobacter_790305	Empedobacter_790330	Enteractinococcus	Enterococcus_A	Enterococcus_B	Enterococcus_C	Enterococcus_D	Enterococcus_G	Enterococcus_H_360604	Erysipelatoclostridium	Erysipelothrix	Eubacterium_J	Fimimorpha	Fimivivens	Flaviflexus	Flavobacterium	Franconibacter	Fusobacterium_A	Globicatella	Gluconobacter_A_506042	Gluconobacter_C	Glutamicibacter	Gordonia_B_376796	Gulosibacter	GWA2-37-10	Halopseudomonas_641337	Herbaspirillum	Heyndrickxia	Ignatzschineria	Irregularibacter	JAAYNZ01	JC017	Kerstersia	Ketogulonicigenium	Klebsiella_711353	Klebsiella_724518	Kurthia	Lachnoclostridium_A_184689	Lachnotalea	Lacrimispora	Lacticaseibacillus	Lactiplantibacillus	Lactobacillus	Lactococcus_A_343306	Lactococcus_A_343473	Lactococcus_A_346120	Lampropedia	Lapidilactobacillus	Latilactobacillus	Lederbergia_302195	Leminorella	Lentilactobacillus	Leucobacter	Leuconostoc_B	Levilactobacillus	Ligilactobacillus	Limosilactobacillus	Liquorilactobacillus	Loigolactobacillus	Lysinibacillus_304693	Macrococcus_B	Mammaliicoccus_319276	Massilibacillus	Metasolibacillus_304750	Methylobacterium	Morganella	Nocardiopsis_A_393323	Novosphingobium_485351	Oceanobacillus	Ochrobactrum_A_499024	Ochrobactrum_A_499060	Ochrobactrum_A_499075	Ochrobactrum_A_499084	Ornithinibacillus_287146	Oxalophagus	Paenalcaligenes	Paenibacillus_A	Paenibacillus_AB	Paenibacillus_C	Paenibacillus_D_363757	Paenibacillus_D_364430	Paenibacillus_D_364450	Paenibacillus_G_363720	Paenibacillus_J_366884	Paenibacillus_S_363727	Paenibacillus_T	Paenibacillus_V	Paenirhodobacter_493197	Paenirhodobacter_493297	Paenisporosarcina_303918	Paenochrobactrum	Pandoraea	Paracaedibacter_A_512622	Paraclostridium	Paracoccus	Paucilactobacillus	Pauljensenia	Pediococcus	Peptoniphilus_B_226804	Peptostreptococcus	Phascolarctobacterium_A	Phytobacter	Populibacterium	Proteus	Providencia_A_732258	Pseudochrobactrum	Pseudoclavibacter_A_383750	Pseudogracilibacillus	Pseudomonas_A	Pseudomonas_E_647464	Pseudomonas_E_650325	Pseudomonas_E_650326	Pseudomonas_F	Psychrobacter	QFOI01	Rarobacter	Rhodococcus_C_375578	Robinsoniella	Rouxiella_729010	Rummeliibacillus	Savagea	Schleiferilactobacillus	Scrofimicrobium	Secundilactobacillus	Sedimentibacter	Serratia_B	Serratia_D_727245	Serratia_D_727363	Sphingobacterium	Sphingobium_A_485959	Sporosarcina	Staphylococcus	Stenotrophomonas_A_615274	Streptococcus	Sutterella	Thermoactinomyces_A	Tissierella_A	Tissierella_B_224123	Tissierella_B_224124	Turicibacter	UBA1258	UBA945	Unclassified	Vagococcus_B	Vagococcus_C	Weissella_A_338544	Wohlfahrtiimonas	Xanthobacter_502409	Xanthomonas_B
LDD10RIBR1	0.252824099	0	0.080688542	0	0	0	0.102205487	0	0.037654653	0	0	0.053792361	0	0	0.059171598	0	0	0	0	0	0	0	0	0	0	0	0	0.672404519	0	0	0	0	0	0	0	0	0	0	0	0	0.016137708	0	0	0.075309306	0.919849381	0	0	0	0.182894029	0	0	0	0	3.410435718	0	1.586874664	0	0	0	0.344271114	0	0.059171598	0.602474449	0	1.597633136	0	0	0	0	0	0	1.199569661	0	0	0	0	0	0	0	0	0	0	0.086067778	0	0.06993007	0	0	0	0	0	0	0.27972028	0	0	0	0.053792361	0	0.484131253	0.107584723	0	0	0	0	0.381925767	0	0	0	0	0.086067778	0	0.580957504	0	0	0	0.075309306	0.043033889	0	0	0	0	0	23.68477676	0	0	0	0	0	0	0	0	0.064550834	0.021516945	0	0	0	0	0	0	0	0	0	0	0	0	0.155997848	0	0.355029586	0	0	0	0	0	0	0	0	0	0	0.4464766	0	0.263582571	0.640129102	0	0.123722431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.20064551	0	0.032275417	0	0	0	11.26949973	0	0	0	0	0	0	0	0	0	0.048413125	0	0	0	15.99246907	0.172135557	0	0.010758472	0.016137708	0	0
LDD10RIBR2	0.897089556	0	0.030582599	0	0	0	0.433253479	0	0.41796218	0	0	0.050970998	0	0	0.025485499	0	0	0	0	0	0	0	0.056068097	0	0	0	0	1.039808349	0	0	0	0	0	0	0	0	0.280340486	0	0	0	0	0	0	1.478158928	0.305825985	0	0	0	0.137621693	0	0	0	0	9.169682451	0	11.94760181	0	0	0	0	0	0.091747796	1.095876446	0	1.136653244	0	0	0	0	0	0	2.263112289	0	0.030582599	0	0	0	0	0	0	0	0	0	0	0.076456496	0	0	0	0	0	0	5.362148937	0	0	0	0.642234569	0	1.202915541	0.19878689	0	0	0	0	2.100005097	0	0	0	0	0.41796218	0.045873898	2.737142566	0.025485499	0	0	0.183495591	0.101941995	0	0	0	0	0	3.27233804	0	0	0	0	0	0	0	0	0	0.025485499	0	0	0.101941995	0	0	0	0	0.061165197	0	0	0	0	0.0101942	0	0.713593965	0	0	0.035679698	0	0	0	0	0	0.056068097	0	0.305825985	0	0.188592691	0.530098374	0	0.122330394	0	0	0.056068097	0	0	0	0	0	0	0	0	0	0	0	0	27.60589225	0	0.045873898	0	0	0	4.521127478	0	0	0	0	0	0	0	0	0	0.030582599	0	0	0	17.98766502	0.066262297	0	0.280340486	0	0	0
LDD10RIBR3	0.067861788	0	1.945371261	0	0	0	0.022620596	0	0.028275745	0	0	0.039586043	0	0	0.05655149	0	0	0	0	0	0	0	0	0	0	0	0	0.248826557	0	0	0	0	0	0	0	2.375162586	0.243171408	0	0	0	0.011310298	0.022620596	0	0.079172086	0	0	0	0	0.831306905	0	0	0	0	0.163999321	0	0.180964768	0	0.045241192	0	0.271447153	0	0.203585364	0.944409885	0	2.081094837	0	0	0	0	0	0	0.107447831	0	0	0	0	0	0	0	0	0.130068427	0	0	0	0.05655149	0	0	0	0	0	0	0.989651077	0	0	0	0	0	1.289373975	0.084827235	0	0	0	0	0.588135497	0	0	0	0	0.079172086	0	1.594752022	0	0	0	0	0.067861788	0	0	0	0	0	3.545778431	0	0	0	0	0	0	0	0	0	0.045241192	0	0	0	0	0	0	0	0.067861788	0	0	0	0	0	0	0.107447831	0	0	0.033930894	0	0	0	0	0	0	0	0	0	0.237516259	0.68992818	0	0.226205961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.40027145	0	0	0	0	0	27.89685008	0	0	0	0	0	0	0	0	0	0.05655149	0	0	0	17.60447888	0.147033874	0	0.090482384	0	0	0
LDD5RIBR1	1.245801527	0	0	0	0	0	0.054961832	0	0	0	0	0	0	0	0.024427481	0	0	0	0	0	0	0.030534351	0	0	0	0	0	0	0	0	0	0	0	0	0	0.207633588	0	0	0	0	0	0.01221374	0	0.036641221	0	0	0	0	0.195419847	0	0	0	0	0	0	0	0	0	0	0.396946565	0.445801527	0	0	0	19.10229008	0	0	0	0	0	0	0	0	0.036641221	0	1.581679389	0	0	0	0	0.091603053	0	0	0	0	0	0	0	0	0	0	1.770992366	0	0	0	0.048854962	0	16.43358779	0.366412214	0	0	0	0	0.983206107	0	0	0	0	0	0.030534351	6.583206107	0.189312977	0	0	0.152671756	0.079389313	0	0	0	0	0	2.845801527	0	0	0	0	0	0	0	0	0	0	0	0	0.152671756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.453435115	0	0.042748092	0	0	0	2.94351145	11.66412214	0	0	0	0	0.054961832	0	0	0	0	0	0	0	0	0	0	0	0	1.832061069	0	0	0	0	0	0.164885496	0	0	0	0	0	0	0	0	0	0.048854962	0	0	0	28.15267176	0.360305344	0	0.183206107	0	0	0
LDD5RIBR2	0.21373693	0.040436717	0.098203454	0	0	0	0	0	0	0	0	0	0	0	0.057766738	0	0	0	0	0	0.092426781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034660043	0	0	0	0	0.242620299	0	0	0	0	0	0	0	0	0	0	0.207960256	1.045577956	0	0	0	15.63745595	0	0	0	0	0	0	0	0	0	0	4.286291953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.010917913	0	0	0	0	0	27.26012362	0.5949974	0	0	0	0	1.571255271	0	0	0	0	0	0.086650107	11.66888106	0.219513604	0	0	0.161746866	0.150193519	0	0	0	0	0	1.992952458	0	0	0	0	0	0	0	0	0	0	0	0	0.12131015	0	0	0	0	0.109756802	0	0	0	0	0	0	0	0	0	0	0	0	0	3.044307088	0	0.04621339	0	0	0	1.715672116	4.315175322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075096759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028883369	0	0	0	23.08358847	0.259950321	0	0.525677315	0	0	0
LDD5RIBR3	0.051381594	0.051381594	0	0	0	0	0.074217858	0	0	0	0	0	0	0	0.08563599	0	0	0	0	0	0.11418132	0	0.017127198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039963462	0	0	0	0	0.176981046	0	0	0	0	0.022836264	0	0.034254396	0	0	0	0.262617036	2.466316511	0	0	0	8.580726193	0	0.011418132	0	0	0	0	0	0	0.022836264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222653574	0	0	0	0.05709066	0	34.77963005	0.19981731	0	0.022836264	0	0	0.850650834	0	0	0	0	0	0.593742864	12.86823476	0.365380224	0	0	0.176981046	0.14272665	0	0	0	0	0	5.463576159	0	0	0	0	0	0	0	0	0	0	0	0	0.108472254	0	0	0	0	0.097054122	0	0	0	0	0	0	0	0	0	0	0	0	0	1.455811829	0	0.079926924	0	0	0	2.203699475	9.979447362	0	0	0	0	0.079926924	0	0	0	0	0	0	0	0	0	0	0	0	0.325416762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045672528	0	0	0	16.08814798	0.725051382	0	1.056177209	0	0	0
WTD10RIBR1	0.295	0	0.1	0	0	0	0.05	0	0	0	0	0.01	0	0	0.045	0	0	0	0	0	0	0	0	0	0	0	0	1.645	0	0	0	0.025	0	0	0	0	0.105	0	0	0	0	0.015	0	0.19	0	0	0	0	0.125	0	0	0	0	7.245	0	0.76	0	2.745	0	0.37	0	0.155	0.175	0	2.605	0	0	0.085	0	0	0	0.22	0	0.035	0	0	0	0	0	0	0.08	0	0	0	0.165	0	0	0	0	0	0	0.225	0	0	0	0.1	0.1	0.92	0	0	0	0	0	1.925	0	0	0	0	0.035	0.06	2.54	0.02	0	0	0.195	0	0	0	0	0	0	13.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045	0	0	0	0	1.055	0	0.095	0	0	0	0	0	0	0	0	0	0	0	0	0.74	0.79	0.09	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	47.87	0	0.03	0	0	0	1.87	0	0	0	0.02	0	0	0	0	0	0	0	0	0	10.29	0	0	0.395	0	0	0
WTD10RIBR2	0.31931658	0.05805756	0.049763623	0.02902878	0	0	0.510077134	0	0	0	0	0.024881811	0	0	0	0.680102845	0.190760554	0	0	0	0.08708634	0	0	0	0.024881811	0	0	1.8205192	0	0	0	0.020734843	0	0	0	0	0.31931658	0	0	0.016587874	0	0	0	2.405241768	0	0	0	0	0.074645434	0	0	0	0	0.870863399	0	0	0	4.802189599	0	0.26125902	0.078792403	0.281993862	0.476901385	0	3.827651986	0	0	0.775483122	0	0	0	4.088911006	0	0	0	0	0	0	0	0	0	0	0	0	0.120262088	0	0	0	0	0	0	0.713278593	0	0	0	0.700837688	0.033175749	0.526665008	0	0	0	0	0	1.364352658	0	0	0	0	0.510077134	0	1.654640458	0.053910591	0	0	0.194907523	0	0	0	0	0	0	1.546819275	0	0	0	0	0	0	0	0	0.136849963	0	0	0	0	0	0	0	0	0.103674214	0	0	0	0	0.062204528	0	0.389815045	0	0	0	0	0	0.157584806	0	0	0	0	0	0	0.522518039	4.487019988	0.132702994	1.696110143	0	0	0	0	0	0	0	0	0.045616654	0	0	0	0	0	0	43.89980924	0	0	0	0	0	4.503607863	0	0	0	0	0	0	0	0	0	0	0	0	0	14.34851124	0	0	0	0	0	0
WTD10RIBR3	0.282007896	0	0.084602369	0	0	0	0.056401579	0	0	0	0	0	0	0	0	0.056401579	0	0	0	0	0	0	0	0	0	0	0	0.972927242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.183305133	0	0	0	0	0.296108291	0	0	0	0	2.481669487	0	1.536943034	0	8.840947547	0	0	0	0	0.423011844	0	2.467569092	0	0	0	0	0	0	1.677946983	0	0.084602369	0	0	0	0	0	0	0	0	0	0	0.169204738	0	0	0	0	0	0	0.253807107	0	0	0	0	0	0.564015792	0	0	0	0	0	2.143260011	0	0	0	0	0	0	3.567399887	0.056401579	0	0	0.437112239	0	0	0	0	0	0	0.564015792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.098702764	0	0	0	0	0	0	0.535815003	0	0	0	0	0	0	0	0	0	0	0	0	0.169204738	0.676818951	0	0.211505922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.22899041	0	0.02820079	0	0	0	2.763677383	0	0	0	0	0	0	0	0	0	0	0	0	0	14.9464185	0	0	0.141003948	0	0	0
WTD5RIBR1	0	0	0.038270188	0	0	0	0	0	0	0	0	0	0	0	0.047837734	0	0	0	0	0	0.258323766	0.200918485	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019135094	0	0	0	0	0	0	0	0.057405281	0	0	0	0	0.038270188	0	0	0	0	0	0	0	0	0.15308075	0	0	3.310371221	0	0	0	3.922694221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.415996938	0	0	0	0	0	30.29085343	0	0	0	0	0	0.114810563	0	0	0	0	0.047837734	0.047837734	6.247608113	0.334864141	0	0	1.444699579	0	0	0	0	0	0	10.66781477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.076540375	0	0	0	0	0	0	0	0	0	0	0	0	0	3.539992346	0	0.133945656	0	0	0	8.878683506	5.070799847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.086107922	0	0	0	0	0	0.057405281	0	0	0	0	0	0	0	0	0	0	0	0	0	23.41178722	0	0	0.086107922	0	0	0
