Group	Acetobacter	Achromobacter	Acinetobacter	Agathobaculum	Agrobacterium	Agromyces_B_382064	Alcaligenes	Alcanivorax_A	Aliarcobacter	Alkaliphilus_B	Aminipila	Amphibacillus_B_287853	Anaerocolumna	Anaerosalibacter	Anaerosphaera_226805	Anaerosporobacter	Anaerotignum_189125	Anaerovorax	Aquabacter	Atopostipes	Bacillus_A	Bacillus_P_294101	Bacteroides_E	Bacteroides_H	Bifidobacterium_387352	Bifidobacterium_388775	Bilophila	Blautia_A_142742	Brachybacterium	Brevibacillus_D	Brevibacterium	Brevundimonas	CABMKH01	Cellulomonas	Cellulosimicrobium	Chryseobacterium_796614	Citrobacter_A_692098	Clostridioides_A	Clostridium_B	Clostridium_E	Clostridium_H	Clostridium_J	Clostridium_L	Clostridium_T	Comamonas_F_589250	Companilactobacillus	Coprosoma	Corticimicrobacter	Corynebacterium	Cupriavidus	Cytobacillus_298193	Desulfovibrio_R_446353	Dietzia	Dysgonomonas	Elizabethkingia	Empedobacter_790298	Empedobacter_790305	Empedobacter_790330	Enteractinococcus	Enterococcus_A	Enterococcus_B	Enterococcus_C	Enterococcus_D	Enterococcus_G	Enterococcus_H_360604	Erysipelatoclostridium	Erysipelothrix	Eubacterium_J	Fimimorpha	Fimivivens	Flaviflexus	Flavobacterium	Franconibacter	Fusobacterium_A	Globicatella	Gluconobacter_A_506042	Gluconobacter_C	Glutamicibacter	Gordonia_B_376796	Gulosibacter	GWA2-37-10	Halopseudomonas_641337	Herbaspirillum	Heyndrickxia	Ignatzschineria	Irregularibacter	JAAYNZ01	JC017	Kerstersia	Ketogulonicigenium	Klebsiella_711353	Klebsiella_724518	Kurthia	Lachnoclostridium_A_184689	Lachnotalea	Lacrimispora	Lacticaseibacillus	Lactiplantibacillus	Lactobacillus	Lactococcus_A_343306	Lactococcus_A_343473	Lactococcus_A_346120	Lampropedia	Lapidilactobacillus	Latilactobacillus	Lederbergia_302195	Leminorella	Lentilactobacillus	Leucobacter	Leuconostoc_B	Levilactobacillus	Ligilactobacillus	Limosilactobacillus	Liquorilactobacillus	Loigolactobacillus	Lysinibacillus_304693	Macrococcus_B	Mammaliicoccus_319276	Massilibacillus	Metasolibacillus_304750	Methylobacterium	Morganella	Nocardiopsis_A_393323	Novosphingobium_485351	Oceanobacillus	Ochrobactrum_A_499024	Ochrobactrum_A_499060	Ochrobactrum_A_499075	Ochrobactrum_A_499084	Ornithinibacillus_287146	Oxalophagus	Paenalcaligenes	Paenibacillus_A	Paenibacillus_AB	Paenibacillus_C	Paenibacillus_D_363757	Paenibacillus_D_364430	Paenibacillus_D_364450	Paenibacillus_G_363720	Paenibacillus_J_366884	Paenibacillus_S_363727	Paenibacillus_T	Paenibacillus_V	Paenirhodobacter_493197	Paenirhodobacter_493297	Paenisporosarcina_303918	Paenochrobactrum	Pandoraea	Paracaedibacter_A_512622	Paraclostridium	Paracoccus	Paucilactobacillus	Pauljensenia	Pediococcus	Peptoniphilus_B_226804	Peptostreptococcus	Phascolarctobacterium_A	Phytobacter	Populibacterium	Proteus	Providencia_A_732258	Pseudochrobactrum	Pseudoclavibacter_A_383750	Pseudogracilibacillus	Pseudomonas_A	Pseudomonas_E_647464	Pseudomonas_E_650325	Pseudomonas_E_650326	Pseudomonas_F	Psychrobacter	QFOI01	Rarobacter	Rhodococcus_C_375578	Robinsoniella	Rouxiella_729010	Rummeliibacillus	Savagea	Schleiferilactobacillus	Scrofimicrobium	Secundilactobacillus	Sedimentibacter	Serratia_B	Serratia_D_727245	Serratia_D_727363	Sphingobacterium	Sphingobium_A_485959	Sporosarcina	Staphylococcus	Stenotrophomonas_A_615274	Streptococcus	Sutterella	Thermoactinomyces_A	Tissierella_A	Tissierella_B_224123	Tissierella_B_224124	Turicibacter	UBA1258	UBA945	Unclassified	Vagococcus_B	Vagococcus_C	Weissella_A_338544	Wohlfahrtiimonas	Xanthobacter_502409	Xanthomonas_B
LDD10SBMR1	0	0.074000987	0	0	0	0	0.037000493	0	0.016444664	0	0	0.698898208	0	0	0	0	0	0	0	0.037000493	0	0.02055583	0.049333991	0	0	0	0	0.041111659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.23186976	0	0	0	0	0.135668476	0	0.032889327	0	0	0	0.164446637	0.094556816	0	0	0	14.6110837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.245847722	0	0	0	0	0	0	0	0	0	0	0.053445157	0	0.02055583	0	0	0	0	0	0.028778161	0	0	0	0	0	0	0	0	0	0	0	1.656799868	0	0	0	0	0	18.36457819	0	0	0	0	0	0	0	0	0	0.032889327	0	0	0.152113139	0	0	0	0	0	0	0	0	0	0	0.09044565	0.012333498	0	0	0.016444664	0	0	0	0	0	0.012333498	0	0	0	0.497451077	1.33201776	0	0	0.012333498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.005262292	0	0.024666996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.04472949	0.152113139	0	0	0	0	0
LDD10SBMR2	0	0	0	0	0	0	0.081180291	0	0.010588734	0	0	2.061273472	0	0	0.024707045	0	0	0	0	0.19765636	0	0	0.028236623	0	0	0	0	0.052943668	0	0	0	0	0	0	0	0	0.24707045	0	0	0	0	0.007059156	0	0	0	0	0	0	3.222504588	0	0	0	0	0.112946492	0	0.014118311	0	0	0	0.130594381	0	0	0	0	15.7842722	0	0	0	0	0	0	0.010588734	0	0	0	0	0	0	0	0.035295779	0	0	0	0	0.130594381	0	0	0	0	0	0	0	0	0	0	0	0	0.024707045	0	0	0	0	0	0.021177467	0	0.060002824	0	0	0	0	0	0	0	0	0	1.182408584	0	0	0	0	0	19.16913737	0	0	0	0	0	0	0	0	0	0.021177467	0	0	0.134123959	0	0	0	0	0.095298602	0	0	0	0	0	0.236481717	0	0	0	0.021177467	0	0	0	0	0	0	0	0	0	1.062402937	0.889453621	0.021177467	0	0.077650713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.559085133	0	0.042354934	0	0	0	0.04941409	0	0	0	0	0	0	0	0	0	0	0	0	0	49.04701398	0.134123959	0	0	0	0	0
LDD10SBMR3	0	0	0	0	0	0	0.039635355	0	0.022019642	0	0	4.787070066	0	0	0.039635355	0	0	0	0	0.092482494	0	0	0.035231426	0	0	0	0	0.035231426	0	0	0	0	0	0	0	0	0.167349276	0	0	0	0	0	0	0	0	0	0	0	11.71885322	0	0	0	0	0.110098208	0	0	0	0	0	0.079270709	0	0	0.198176774	0	12.68771744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066058925	0	0	0	0	0.49323997	0	0	0	0	0	0	0.092482494	0	0	0	0.057251068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039635355	0	0	0	0	1.175848857	0	0	0	0	0	19.98502664	0	0	0	0	0	0	0	0.02642357	0	0	0	0	0	0	0	0	0	0.096886423	0	0	0	0	0	0.02642357	0	0	0	0	0	0	0	0	0	0.017615713	0	0	0	0.400757476	1.202272427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.919187916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.17672964	0.193772845	0	0.017615713	0	0	0
LDD5SBMR1	0.078957758	13.43268851	0	0	0	0	0.069088038	0	0	0	0	0	0	0	0.059218318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039478879	0	0	0	0	0.898144493	0	0	0	0	0.019739439	0	0	0	0	0	1.253454402	4.895380971	0	3.62218713	0	10.69877615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.816423214	0	0	0	0	0	6.58310304	0.039478879	0	0	0	0	0.266482432	0	0	0	0	0.069088038	0	1.253454402	0.6514015	0	0	0	2.161468614	0	0	0	0	0	1.510067114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.088827477	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32570075	0	0.078957758	0	0	0	6.109356494	14.70588235	0	0	0	0	0.098697197	0	0	0	0	0	0	0	0	0	0	0	0	0.078957758	0	0	0	0	0	0.049348598	0	0	0	0.078957758	0	0	0	0	0	0.049348598	0	0	0	21.25937623	0.819186735	0	3.839320963	0	0	0
LDD5SBMR2	0.116144019	13.94950792	0.189498136	0	0	0	13.05091998	0	0	0	0	0	0	0	0.030564215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128369705	0	0	0	0	0	0	0	0	0	0	0	1.393728223	0	0	0	0	0	0	0	0	0	0	1.002506266	2.610183997	0	2.567394095	0	9.481019622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.061434073	0	0	0	0	0	5.220367993	0.024451372	0	0	0	0	0.061128431	0	0	0	0	0.091692646	0	1.094198912	0.244513723	0	0	0	1.253132832	0	0	0	0	0	1.350938321	0	0	0	0	0	0	0	0	0	0	0	0	0.110031175	0	0	0	0	0.085579803	0	0	0	0	0	0	0	0	0	0	0	0	0	0.299529311	0	0.067241274	0	0	0	6.974753958	9.493245308	0	0	0	0	0.097805489	0	0	0	0	0	0	0	0	0	0	0	0	0.048902745	0	0	0	0	0	0.635735681	0	0	0	1.791063023	0	0	0	0	0	0.024451372	0	0	0	18.45467327	0.947490678	0	2.047802433	0	0	0
LDD5SBMR3	0.098795925	7.434393331	0.074096944	0	0	0	5.884532263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024698981	0	0	0	0	22.64279098	0	0	0	0	0	0	0	0	0	0	0.345785736	1.383142945	0	2.846557579	0	5.952454461	0	0	0	0	0	0	17.81414017	0	0	0	0	0	0	0	0.111145415	0	0	0	0	0	0	0	0	0	0	0	3.976535968	0	0	0	0	0	2.432849645	0	0	0	0	0	0.129669651	0	0	0	0	3.828342081	0.037048472	0.64217351	0.117320161	0	0	0	0.778017907	0	0	0	0	0	0.765668416	0	0	0	0	0	0	0	0	0	0	0	0	0.117320161	0	0	0	0	0.018524236	0	0	0	0	0	0	0	0	0	0	0	0	0	0.259339302	0	0.074096944	0	0	0	0.94473603	4.167953072	0	0	0	0	0.067922198	0	0	0	0	0	0	0	0	0	0	0	0	0.092621179	0	0	0	0	0	0.043223217	0	0	0	0.623649274	0	0	0	0	0	0	0	0	0	13.78820624	0.808891633	0	1.673355974	0	0	0
WTD10SBMR1	0	0	0	0	0	0	0.018049727	0	0	0	0	5.595415369	0	0	0.018049727	0	0	0	0	0.221109156	0	0.040611886	0	0	0	0	0	0.045124317	0	0	0	0.058661613	0	0	0	0	0	0	0	0	0	0	0	0.031587022	0	0	0	0	18.0361897	0	0	0	0	0.063174044	0	0	0	0.009024863	0	0	0.234646451	0	0.198546997	0	7.55832318	0	0.906998782	0	0	0	0	0.090248635	0	0.022562159	0	0	0	0	0	0	0	0	0	0	1.913271062	0	0	0	0	0	0	0	0	0	0	0.07671134	0	0.126348089	0	0	0	0	0	0	0	0.203059429	0	0	0.212084292	0	0.108298362	0.045124317	0	0	0	2.111818059	0	0	0	0	0	7.06646812	0	0	0	0	0	0	0	0.162447543	0	0.081223771	0	0	0.058661613	0	0	0.022562159	0	0.112810794	0	0	0	0	0	0.546004242	0.02707459	0	0	0	0	0	0	0	0	0	0	0	0	1.173232255	1.11005821	0.054149181	0	0.063174044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.313884752	0	0	0	0	0	0	0	0.451243175	0	0	0	0	0	0	0	0	0	0	0	46.38779838	0.424168584	0	0	0	0	0
WTD10SBMR2	0	0	0.015561296	0	0	0	0.774952538	0	0	0	0	6.2151816	0	0	0.015561296	0.021785814	0	0	0	0.031122592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012449037	0	0.009336778	0	0	0	0	0	0	0	0	5.87283309	0	0	0	0	0.121378108	0	0	0	0.018673555	0.031122592	0	0.161837478	0	0.305001401	0	3.429709626	0	0.404593695	0	0	0	0	0.024898074	0	0	0	0	0	0	0	0	0	0	0	0	21.41545548	0.009336778	0	0	0	0	0	0.056020665	0	0.012449037	0	0.07780648	0	0.099592294	0	0	0	0	0	0.012449037	0	0.071581961	0	0	0	0	0.065357443	0.031122592	0	0	0	0.099592294	0	0	0	0.080918739	0	7.043042545	0	0	0	0	0	0	0	0.031122592	0	0.015561296	0	0	0	0	0	0	0	0.112041331	0	0	0	0	0	0.283215586	0	0	0	0	0	0	0	0.024898074	0	0	0	0	0	2.393327316	6.968348324	0.031122592	0	0.161837478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72633905	0	0	0	0	0	0.052908406	0	0.264542031	0	0	0	0	0	0	0	0	0	0	0	40.1201332	0.273878809	0	0	0	0	0
WTD10SBMR3	0	0	0	0	0	0	0	0	0	0	0	3.219388678	0	0	0.022608067	0	0	0	0	0.090432266	0	0.05425936	0.01356484	0	0	0	0	0	0	0	0	0.018086453	0	0	0	0	0	0.596852957	0	0	0	0	0	0.018086453	0	0	0	0	0.203472599	0	0	0	0	0.04069452	0	0	0	0	0	0.226080666	0.646590704	0	0.935973956	0	4.982817869	0	1.049014288	0	0	0	0.036172906	0.397901971	0	0.018086453	0	0	0	0	0	0	0	0	0	0	44.23494303	0	0	0	0	0	0	0.085910653	0	0	0	0.063302586	0	0.0678242	0	0	0	0	0	0	0	0	0	0	0	0	0.045216133	0.022608067	0	0	0	0.162778079	0	0	0	0	0	6.257912823	0	0	0	0	0	0	0	0.022608067	0	0.063302586	0	0	0.036172906	0	0	0	0	0.063302586	0	0	0	0	0	0.180864532	0	0	0	0	0	0	0	0	0	0	0	0	0	1.442394646	2.400976668	0.022608067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.343642612	0	0	0	0	0	0.022608067	0	0	0	0	0	0	0	0	0	0	0	0	0	31.06800506	0.822933623	0	0	0	0	0
WTD5SBMR1	0	0	0.044845284	0	0	0	0.094673377	0	0	0	0	0	0	0	0.039862474	0	0	0	0	0	0	0.104638995	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029896856	0	0	0	0	0	0	0	0.059793712	0	0	0	0	3.473018088	0	0	0	0	0	0	1.390203797	0	14.14121282	0	0.622851163	2.526284319	0	1.430066271	0	2.670785789	0	0	0	0	0	0	1.748966067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.660471374	0	0	0	0	0.044845284	10.06029199	0	0	0	0	0	0	0	0	0	0	0.154467089	0	1.021475908	0.089690568	0	0	0.084707758	2.979719966	0	0	0	0	0	2.541232747	0	0	0	0	0	0	0	0	0	0	0	0	0.049828093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.832129154	0	0.14450147	0	0	0	0.782301061	32.25870746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014948428	0	0	0	0	0	0.104638995	0	0	0	0.06975933	0	0	0	0	0	0	0	0	0	14.72918431	0	0	0	0	0	0
