Diet,Age,Between Line,Within Line
RIB,D10,0.40291412,0.461044942
RIB,D10,0.438982045,0.428801631
RIB,D10,0.450514542,0.447809629
RIB,D10,0.459736072,0.299486995
RIB,D10,0.440000873,0.263374563
RIB,D10,0.422113763,0.268334723
RIB,D10,0.476412808,0
RIB,D10,0.471585976,0
RIB,D10,0.44573017,0
RIB,D5,0.48906134,0.250247209
RIB,D5,0.500208594,0.369466475
RIB,D5,0.469744195,0.243217817
RIB,D5,0.422967198,0.544422179
RIB,D5,0.578462245,0.243520006
RIB,D5,0.471048157,0.478034009
RIB,D5,0.419593235,0
RIB,D5,0.539291041,0
RIB,D5,0.469772884,0
P,D10,0.748477187,0.35971665
P,D10,0.734863637,0.362985703
P,D10,0.709647829,0.574502879
P,D10,0.717674806,0.349428974
P,D10,0.658036556,0
P,D10,0.734247529,0.375386067
P,D10,0.759122808,0.400168234
P,D10,0.734966414,0
P,D10,0.735686547,0
P,D5,0.835588102,0.563874106
P,D5,0.775994619,0
P,D5,0.793223304,0.548055496
P,D5,0.792002588,0.488153666
P,D5,0.649437506,0.246375746
P,D5,0.730551501,0.324769652
P,D5,0.712718095,0.387773246
P,D5,0.638363272,0
P,D5,0.659668109,0
PKM,D10,0.585504849,0.261889264
PKM,D10,0.604931907,0
PKM,D10,0.643678221,0.390674028
PKM,D10,0.54633033,0.401510076
PKM,D10,0.532781466,0.595751435
PKM,D10,0.676475264,0
PKM,D10,0.502587762,0.588104677
PKM,D10,0.518460965,0.548409866
PKM,D10,0.585565311,0
PKM,D5,0.457086925,0.333645754
PKM,D5,0.476656119,0
PKM,D5,0.668845854,0.412574342
PKM,D5,0.516959242,0.434548565
PKM,D5,0.538387264,0.438717942
PKM,D5,0.698613808,0
PKM,D5,0.498003245,0.501716678
PKM,D5,0.391558556,0.483955295
PKM,D5,0.566759428,0
OKA,D10,0.560856812,0.525866671
OKA,D10,0.622613422,0
OKA,D10,0.721260018,0.459265305
OKA,D10,0.605820963,0.468966737
OKA,D10,0.555368814,0.715477776
OKA,D10,0.454444182,0
OKA,D10,0.526713013,0.58922675
OKA,D10,0.534136715,0.343156562
OKA,D10,0.518049147,0
OKA,D5,0.672903603,0.685463901
OKA,D5,0.596952235,0
OKA,D5,0.657816524,0.469443014
OKA,D5,0.774259427,0.662896824
OKA,D5,0.774068894,0.591696191
OKA,D5,0.759416095,0
OKA,D5,0.722770165,0.522304679
OKA,D5,0.57302,0.537000075
OKA,D5,0.727076824,0
M,D10,0.650367873,0.411436036
M,D10,0.686240137,0
M,D10,0.690555822,0.694054136
M,D10,0.467173769,0
M,D10,0.514086283,0.504698652
M,D10,0.690599168,0.468012294
M,D10,0.438058102,0.626037489
M,D10,0.466715328,0.436498186
M,D10,0.707806904,0
M,D5,0.601960983,0.097572676
M,D5,0.599497025,0
M,D5,0.599757722,0.30001901
M,D5,0.604128655,0
M,D5,0.597985301,0.142642003
M,D5,0.608253076,0.162941448
M,D5,0.64793939,0.153607105
M,D5,0.633548027,0.215480455
M,D5,0.634706748,0
MLP,D10,0.570941538,0.458882563
MLP,D10,0.646686709,0
MLP,D10,0.710641666,0.680790416
MLP,D10,0.678688707,0
MLP,D10,0.759837064,0.518743032
MLP,D10,0.672981536,0.554868933
MLP,D10,0.553547753,0.340244016
MLP,D10,0.642507555,0.642864601
MLP,D10,0.682342626,0
MLP,D5,0.707214727,0.459125705
MLP,D5,0.723318411,0
MLP,D5,0.668045396,0.324168016
MLP,D5,0.653069434,0
MLP,D5,0.629814325,0.392855462
MLP,D5,0.622111063,0.367815554
MLP,D5,0.64851659,0.276670456
MLP,D5,0.676536788,0.336848155
MLP,D5,0.632859887,0
SBM,D10,0.494388512,0.280245383
SBM,D10,0.402951794,0
SBM,D10,0.448792678,0.440483961
SBM,D10,0.566280922,0
SBM,D10,0.524810962,0.145649294
SBM,D10,0.501215828,0.233268556
SBM,D10,0.634001702,0.521001734
SBM,D10,0.623835019,0.342549258
SBM,D10,0.607890084,0
SBM,D5,0.628677632,0.216611563
SBM,D5,0.702449856,0
SBM,D5,0.661030751,0.427035823
SBM,D5,0.631658796,0
SBM,D5,0.700697762,0
SBM,D5,0.660597377,0.540094184
SBM,D5,0.751135587,0.480883437
SBM,D5,0.798365862,0.354076248
SBM,D5,0.787156671,0.311091277
MHP,D10,0.635600884,0.61175891
MHP,D10,0.813771249,0
MHP,D10,0.780234543,0.500863017
MHP,D10,0.543314511,0
MHP,D10,0.656074884,0.509569504
MHP,D10,0.624300192,0.535773948
MHP,D10,0.512878843,0.421482778
MHP,D10,0.733763799,0.328750767
MHP,D10,0.717121084,0
MHP,D5,0.86494603,0.718166118
MHP,D5,0.646086052,0
MHP,D5,0.825450561,0.51649096
MHP,D5,0.438616434,0
MHP,D5,0.543969542,0.511832235
MHP,D5,0.614364826,0.701413339
MHP,D5,0.870922784,0.504809797
MHP,D5,0.639428494,0.391592904
MHP,D5,0.842329797,0
CF,D10,0.657651643,0.5403035
CF,D10,0.552376444,0
CF,D10,0.45096188,0.578898242
CF,D10,0.611991883,0
CF,D10,0.589136839,0.684258748
CF,D10,0.726065527,0.513591639
CF,D10,0.690161669,0.595558843
CF,D10,0.682932083,0.672859199
CF,D10,0.673010064,0
CF,D5,0.324723781,0.657239065
CF,D5,0.328685692,0
CF,D5,0.854837678,0.197486905
CF,D5,0.858380291,0
CF,D5,0.591101513,0.318140771
CF,D5,0.579129305,0.470523107
CF,D5,0,0
CF,D5,0,0
CF,D5,0,0
NUS,D10,0.461539984,0.439859075
NUS,D10,0.506141794,0
NUS,D10,0.463310337,0.119026207
NUS,D10,0.457945558,0
NUS,D10,0.483583215,0.119319865
NUS,D10,0.461838642,0.443167848
NUS,D10,0.545774357,0.154561497
NUS,D10,0.492943664,0.187160926
NUS,D10,0.538825825,0
NUS,D5,0.580840933,0.340991543
NUS,D5,0.531289926,0
NUS,D5,0.697517442,0.267206042
NUS,D5,0.697384047,0
NUS,D5,0.687593906,0.484702502
NUS,D5,0.67642989,0.443148483
NUS,D5,0.641039059,0.672540473
NUS,D5,0.608509314,0.653923945
NUS,D5,0.481359497,0
