,line,replicate,diet,substrate ,age,Unclassified,Actinobacteriota,Bacteroidota,Campylobacterota,Chloroflexota,Desulfobacterota_I,Firmicutes_A,Firmicutes_C,Firmicutes_D,Fusobacteriota,Patescibacteria,Proteobacteria
LDD0R1,LD,1,D0,Fresh,D0,0.016663195,0.441574672,0.108310769,0,0,0,0.41241408,0,79.44178296,0,0,19.57925432
LDD0R2,LD,2,D0,Fresh,D0,0.072727273,0.145454545,0,0,0,0,0.363636364,0,81.16363636,0,0,18.25454545
LDD0R3,LD,3,D0,Fresh,D0,0.016708438,0.038986355,0,0,0,0,0.417710944,0,72.26399332,0,0,27.26260095
WTD0R1,WT,1,D0,Fresh,D0,0.049488618,0.012372154,0.074232926,0,0,0,4.387990762,0,89.10425602,0,0,6.371659518
WTD0R2,WT,2,D0,Fresh,D0,0.264550265,0.04899079,0,0,0,0,7.524985303,0,67.59259259,0,0,24.56888105
WTD0R3,WT,3,D0,Fresh,D0,0,0,0.045616654,0,0,0,5.162975865,0,84.83868292,0,0,9.952724558
LDD10MR1,LD,1,M,Meat,D10,0.528334043,0.391989774,0.178951853,0.017043034,0,0,0.110779719,0,41.36344269,0,0,57.40945888
LDD10MR2,LD,2,M,Meat,D10,0,0.377317809,0.150927124,0,0,0,0.323415265,0,42.94954722,0.010780509,0,56.18801207
LDD10MR3,LD,3,M,Meat,D10,0.567166019,0.548671475,0.086307873,0.012329696,0,0,0.240429073,0,32.93261821,0.018494544,0,65.59398311
LDD5MR1,LD,1,M,Meat,D5,0.00993098,0.253239982,0.054620388,0,0,0,0.511445454,0,40.80143006,0,0,58.36933313
LDD5MR2,LD,2,M,Meat,D5,0.019661817,0.18351029,0.026215756,0,0,0,0.262157557,0,45.20907065,0.019661817,0,54.27972211
LDD5MR3,LD,3,M,Meat,D5,0.017325768,0.320526703,0.069303071,0,0,0,0.255555074,0,38.9180058,0.02165721,0,60.39762637
WTD10MR1,WT,1,M,Meat,D10,0,0.799915427,0.07047713,0,0,0,0.225526817,0,67.14708577,0,0,31.75699486
WTD10MR2,WT,2,M,Meat,D10,18.47158218,1.209677419,0.499231951,0,0,0,0.038402458,0,37.78801843,0,0,41.99308756
WTD10MR3,WT,3,M,Meat,D10,0,0.352276504,0.059820538,0,0,0,0.099700897,0,53.34662679,0,0,46.14157527
WTD5MR1,WT,1,M,Meat,D5,0.170573615,0,0.462985526,0,0,0,0.282664847,0,53.42365612,0,0,45.66011989
WTD5MR2,WT,2,M,Meat,D5,0.329105795,0.040134853,1.854230214,0,0,0,0.369240649,0,53.82083802,0,0,43.58645047
WTD5MR3,WT,3,M,Meat,D5,0.084352594,0,0.326866301,0,0,0,0.20033741,0,55.90468157,0,0,43.48376213
LDD10MHPR1,LD,1,MHP,Meat,D10,2.189781022,0.561482313,3.649635036,0,0,0,7.796582979,0,32.65420711,0.056148231,0,53.09216331
LDD10MHPR2,LD,2,MHP,Meat,D10,1.297115825,0.862200519,3.815046544,0.015260186,0,0,15.16862506,0,33.89287349,0,0,44.94887838
LDD10MHPR3,LD,3,MHP,Meat,D10,0.011196954,0.410554996,3.564363826,0.007464636,0,0,17.84048072,0,25.44321278,0.130631135,0,52.59209495
LDD5MHPR1,LD,1,MHP,Meat,D5,0.162513543,0.167438196,0.132965626,0,0,0,2.61006599,0,32.83758495,0.078794445,0,64.01063725
LDD5MHPR2,LD,2,MHP,Meat,D5,0,0.104793455,0.56791292,0,0,0,45.40599013,0.013521736,18.55858292,11.95997566,0,23.38922318
LDD5MHPR3,LD,3,MHP,Meat,D5,0.510893182,0.129191379,0.510893182,0,0,0,2.530976569,0,33.09648247,0.334723119,0,62.8868401
WTD10MHPR1,WT,1,MHP,Meat,D10,1.954242135,0.428979981,0.81029552,0,0,0,0.905624404,0,52.09723546,0,0,43.8036225
WTD10MHPR2,WT,2,MHP,Meat,D10,0.184098493,0.276147739,1.88700955,0,0,0,4.176734553,0,29.62835117,0,0,63.8476585
WTD10MHPR3,WT,3,MHP,Meat,D10,0.215786485,0.772288472,0.823395798,0,0,0,3.08915389,0,40.57353776,0.022714367,0,54.50312323
WTD5MHPR1,WT,1,MHP,Meat,D5,0.096339114,0.035032405,0.186839493,0,0,0,44.33642786,0,23.08051614,0,0,32.26484498
WTD5MHPR2,WT,2,MHP,Meat,D5,0.241658541,0,0.919998304,0,0,0,38.55937593,0,30.97468945,0.012718871,0,29.29155891
